# YHDA_VERSION=0.5
# TEST_SERVICE=HFK
# PLANT_TYPE=EDUEDT
# STEP_ID=FREQ_SUPPORT_LOWER
# STEP_NAME=Frekans Destek Rezervi — negatif yön
# TESIS_ADI=YHDA Örnek HFK EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=20
# HFK_RESERVE_MW=20
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
time_s;frequency_hz;active_power_mw;soc_pct;stored_energy_mwh;dc_power_mw;rocof_hz_s;trigger;tie_line_flow_mw;voltage_kv
-2,000000;50;-0,034733;65,000000;130,000000;-0,039988;-0,000288;0;1600,295466;153,998600
-1,980000;50;-0,014778;65,000000;130,000000;-0,029486;-0,011023;0;1599,895152;154,026602
-1,960000;50;0,018203;65,000000;130,000000;0,047579;-0,001906;0;1600,311607;154,014273
-1,940000;50;0,031092;65,000000;130,000000;0,054164;-0,019760;0;1599,947327;154,000628
-1,920000;50;0,067437;65,000000;130,000000;0,071634;0,002116;0;1599,982872;154,012416
-1,900000;50;-0,036316;65,000000;130,000000;-0,082820;0,005586;0;1599,993262;154,007387
-1,880000;50;0,002996;65,000000;130,000000;0,036940;0,009005;0;1600,239190;154,019017
-1,860000;50;-0,044036;65,000000;130,000000;-0,042318;-0,006344;0;1599,954184;154,022072
-1,840000;50;-0,006088;65,000000;130,000000;-0,052759;-0,021347;0;1600,111368;153,969528
-1,820000;50;-0,021809;65,000000;130,000000;0,008756;0,019594;0;1599,646982;154,012744
-1,800000;50;0,019473;65,000000;130,000000;-0,047082;0,011451;0;1599,947281;154,016985
-1,780000;50;-0,025028;65,000000;130,000000;-0,055483;0,018774;0;1599,700856;153,991116
-1,760000;50;-0,043756;65,000000;130,000000;-0,092601;-0,003665;0;1600,072258;153,996082
