# YHDA_VERSION=0.7.1
# TEST_SERVICE=HFK
# PLANT_TYPE=EDUEDT
# STEP_ID=FREQ_SUPPORT_RAISE
# STEP_NAME=Frekans Destek Rezervi — pozitif yön
# TESIS_ADI=YHDA Örnek HFK EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=20
# HFK_RESERVE_MW=20
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
# YDA_VERSION=0.7.1
ZAMAN;SIRA_NO;frequency_hz;active_power_mw;soc_pct;stored_energy_mwh;dc_power_mw;rocof_hz_s;trigger;tie_line_flow_mw;voltage_kv
16.8.2026 08:59:58,0s;1;50;0,025571;65,000000;130,000000;0,095047;0,009736;0;1600,270036;154,026134
16.8.2026 08:59:58,02s;2;50;0,009153;65,000000;130,000000;0,011204;0,011598;0;1600,071357;153,984793
16.8.2026 08:59:58,04s;3;50;-0,021392;65,000000;130,000000;-0,023763;0,005259;0;1600,121282;153,968780
16.8.2026 08:59:58,06s;4;50;0,021714;65,000000;130,000000;0,013710;-0,014370;0;1599,979192;153,997298
16.8.2026 08:59:58,08s;5;50;0,001554;65,000000;130,000000;-0,018124;-0,005078;0;1600,033254;153,956981
16.8.2026 08:59:58,1s;6;50;0,014939;65,000000;130,000000;-0,030304;0,007966;0;1600,279222;153,998219
16.8.2026 08:59:58,12s;7;50;0,056363;65,000000;129,999999;0,069761;0,018400;0;1600,180146;154,016858
16.8.2026 08:59:58,14s;8;50;-0,033901;65,000000;130,000000;-0,004404;-0,012678;0;1599,828036;153,937067
16.8.2026 08:59:58,16s;9;50;0,082655;65,000000;129,999999;0,073199;-0,002047;0;1600,055866;153,978968
16.8.2026 08:59:58,18s;10;50;-0,041681;65,000000;129,999999;-0,080943;0,024523;0;1599,747488;153,995580
16.8.2026 08:59:58,2s;11;50;0,002257;65,000000;129,999999;-0,039764;-0,019311;0;1599,786652;153,984503
16.8.2026 08:59:58,22s;12;50;0,035626;65,000000;129,999999;0,045748;0,026033;0;1599,933775;154,013555
16.8.2026 08:59:58,24s;13;50;-0,011009;65,000000;129,999999;-0,019836;0,016942;0;1599,923014;154,021558
16.8.2026 08:59:58,26s;14;50;0,008492;65,000000;129,999999;0,037603;-0,017349;0;1599,738286;153,967648
16.8.2026 08:59:58,28s;15;50;-0,040646;65,000000;129,999999;-0,025502;-0,009939;0;1600,083395;153,969720
16.8.2026 08:59:58,3s;16;50;0,010306;65,000000;129,999999;0,024644;-0,008778;0;1600,249359;154,023183
16.8.2026 08:59:58,32s;17;50;-0,022238;65,000000;129,999999;-0,041156;0,002560;0;1599,779202;153,995290
16.8.2026 08:59:58,34s;18;50;-0,030673;65,000000;130,000000;-0,029249;-0,012157;0;1599,793816;154,000611
16.8.2026 08:59:58,36s;19;50;0,037485;65,000000;129,999999;0,036358;-0,001849;0;1600,193109;153,999208
16.8.2026 08:59:58,38s;20;50;0,050163;65,000000;129,999999;0,041436;0,001428;0;1599,811791;153,968468
16.8.2026 08:59:58,4s;21;50;0,009519;65,000000;129,999999;-0,030440;-0,009969;0;1600,613357;153,959115
16.8.2026 08:59:58,42s;22;50;0,041164;64,999999;129,999999;0,036142;-0,013468;0;1599,546057;154,001538
16.8.2026 08:59:58,44s;23;50;0,012049;64,999999;129,999999;0,010912;-0,005991;0;1600,113261;154,002787
16.8.2026 08:59:58,46s;24;50;-0,024523;64,999999;129,999999;-0,008774;-0,024641;0;1599,995712;153,992828
16.8.2026 08:59:58,48s;25;50;-0,003895;64,999999;129,999999;0,021367;0,003456;0;1599,713957;154,024108
16.8.2026 08:59:58,5s;26;50;0,021018;64,999999;129,999999;-0,001333;0,016857;0;1600,177587;154,010194
16.8.2026 08:59:58,52s;27;50;0,015265;64,999999;129,999999;0,015472;0,023885;0;1599,678685;154,004315
16.8.2026 08:59:58,54s;28;50;-0,010045;64,999999;129,999999;-0,026689;-0,003740;0;1600,282667;154,021540
16.8.2026 08:59:58,56s;29;50;0,024210;64,999999;129,999999;0,053840;-0,004478;0;1599,844050;153,987056
16.8.2026 08:59:58,58s;30;50;-0,063162;65,000000;129,999999;-0,071504;-0,020826;0;1600,562266;153,991572
16.8.2026 08:59:58,6s;31;50;-0,033966;65,000000;129,999999;-0,009717;-0,001343;0;1599,990215;154,018958
16.8.2026 08:59:58,62s;32;50;0,051675;64,999999;129,999999;0,131190;0,012726;0;1599,986033;153,990414
16.8.2026 08:59:58,64s;33;50;0,067767;64,999999;129,999999;0,109133;0,008914;0;1599,990472;153,989347
16.8.2026 08:59:58,66s;34;50;0,012433;64,999999;129,999998;0,002334;0,009759;0;1599,794520;154,037341
