# YHDA_VERSION=0.6.2
# TEST_SERVICE=HFK
# PLANT_TYPE=EDUEDT
# STEP_ID=SYNC_SUPPORT_LOWER
# STEP_NAME=Senkron Bağlantı Destek Rezervi — negatif yön
# TESIS_ADI=YHDA Örnek HFK EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=20
# HFK_RESERVE_MW=20
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
ZAMAN;SIRA_NO;frequency_hz;active_power_mw;soc_pct;stored_energy_mwh;dc_power_mw;rocof_hz_s;trigger;tie_line_flow_mw;voltage_kv
16.8.2026 08:59:58,0s;1;50,000567;0,017041;65,000000;130,000000;-0,002094;-0,009324;0;1600,447762;154,021382
16.8.2026 08:59:58,02s;2;49,999586;0,019299;65,000000;130,000000;-0,040921;-0,003956;0;1600,536356;154,011733
16.8.2026 08:59:58,04s;3;49,999922;-0,091172;65,000000;130,000000;-0,059473;0,005005;0;1599,611625;154,000452
16.8.2026 08:59:58,06s;4;49,999537;-0,042439;65,000000;130,000001;-0,011272;-0,012561;0;1600,013295;153,969414
16.8.2026 08:59:58,08s;5;49,999744;-0,026502;65,000000;130,000001;-0,024291;0,004477;0;1599,986573;154,025997
16.8.2026 08:59:58,1s;6;49,999785;0,009927;65,000000;130,000001;-0,022433;0,000744;0;1600,319876;154,000515
16.8.2026 08:59:58,12s;7;50,000117;-0,078364;65,000001;130,000001;-0,161321;-0,006031;0;1599,810666;153,993338
16.8.2026 08:59:58,14s;8;50,000344;-0,054929;65,000001;130,000001;-0,044879;0,042900;0;1599,971847;153,991137
16.8.2026 08:59:58,16s;9;50,000099;0,004244;65,000001;130,000001;-0,005876;0,018353;0;1599,874016;154,001892
16.8.2026 08:59:58,18s;10;49,999790;0,022159;65,000001;130,000001;-0,009204;0,011544;0;1600,065627;153,980489
16.8.2026 08:59:58,2s;11;50,000208;-0,019674;65,000001;130,000001;-0,023553;0,014936;0;1600,467152;153,993515
16.8.2026 08:59:58,22s;12;50,000347;-0,067659;65,000001;130,000002;-0,049353;0,004796;0;1600,124798;154,009504
16.8.2026 08:59:58,24s;13;50,000249;-0,085186;65,000001;130,000002;-0,183265;0,010549;0;1599,526809;153,983931
16.8.2026 08:59:58,26s;14;50,000226;-0,019438;65,000001;130,000002;0,011267;0,000547;0;1599,965097;153,957398
16.8.2026 08:59:58,28s;15;49,999951;-0,012480;65,000001;130,000002;-0,047475;-0,002239;0;1599,759540;154,002972
