# YHDA_VERSION=0.6.5
# TEST_SERVICE=HFK
# PLANT_TYPE=EDUEDT
# STEP_ID=SYNC_SUPPORT_RAISE
# STEP_NAME=Senkron Bağlantı Destek Rezervi — pozitif yön
# TESIS_ADI=YHDA Örnek HFK EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=20
# HFK_RESERVE_MW=20
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
ZAMAN;SIRA_NO;frequency_hz;active_power_mw;soc_pct;stored_energy_mwh;dc_power_mw;rocof_hz_s;trigger;tie_line_flow_mw;voltage_kv
16.8.2026 08:59:58,0s;1;50,000214;-0,006780;65,000000;130,000000;-0,015854;-0,018925;0;1600,038829;154,035488
16.8.2026 08:59:58,02s;2;49,999711;-0,037650;65,000000;130,000000;-0,042510;-0,019962;0;1600,124336;153,994873
16.8.2026 08:59:58,04s;3;49,999469;0,037181;65,000000;130,000000;0,078925;0,026709;0;1600,226702;154,012439
16.8.2026 08:59:58,06s;4;49,999472;-0,059748;65,000000;130,000000;-0,114669;-0,005004;0;1599,733583;153,989210
16.8.2026 08:59:58,08s;5;50,000896;0,033985;65,000000;130,000000;0,028344;-0,003063;0;1599,782032;153,967691
16.8.2026 08:59:58,1s;6;49,999197;0,003351;65,000000;130,000000;-0,010804;-0,020795;0;1600,043461;154,025114
16.8.2026 08:59:58,12s;7;50,000126;0,044126;65,000000;130,000000;0,111867;0,016471;0;1599,990739;153,976796
16.8.2026 08:59:58,14s;8;49,999412;-0,000876;65,000000;130,000000;-0,058939;0,025090;0;1600,489717;154,008784
16.8.2026 08:59:58,16s;9;50,000196;-0,012443;65,000000;130,000000;-0,015536;0,004174;0;1600,065893;154,028045
16.8.2026 08:59:58,18s;10;49,999931;0,000254;65,000000;130,000000;-0,057814;-0,007688;0;1600,072392;153,959824
