# YHDA_VERSION=0.7.2
# TEST_SERVICE=PFK
# PLANT_TYPE=DGKCS
# STEP_ID=HASSASIYET
# STEP_NAME=Hassasiyet Testi — Birleşik Frekans Adımları
# TESIS_ADI=YHDA Örnek DGKÇS
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.2
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=800.0
# UNIT_PNOM_MW=800.0
# RPMAX_MW=50.0
# RPMIN_MW=40.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=690.0
# PSET_MIN_MW=230.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# SENSITIVITY_SEGMENTS=SENS_49_990,SENS_49_995,SENS_50_005,SENS_50_010
# DATA_CLASS=ÖRNEK / SENTETİK
# YDA_VERSION=0.7.2
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;fuel_valve_pct
16.8.2026 09:00:00,0s;1;50,000016;50,000000;689,959226;690,000000;57,957907
16.8.2026 09:00:00,1s;2;49,999940;50,000000;690,002702;690,000000;58,010351
16.8.2026 09:00:00,2s;3;49,999694;50,000000;690,036054;690,000000;58,023682
16.8.2026 09:00:00,3s;4;50,000155;50,000000;690,039429;690,000000;57,982249
16.8.2026 09:00:00,4s;5;50,000347;50,000000;689,999524;690,000000;57,960122
16.8.2026 09:00:00,5s;6;49,999733;50,000000;690,048469;690,000000;58,010731
16.8.2026 09:00:00,6s;7;49,999665;50,000000;690,022446;690,000000;58,021688
16.8.2026 09:00:00,7s;8;49,999842;50,000000;689,931454;690,000000;58,009355
16.8.2026 09:00:00,8s;9;50,000061;50,000000;689,987559;690,000000;57,986936
16.8.2026 09:00:00,9s;10;49,999553;50,000000;690,018698;690,000000;58,012433
16.8.2026 09:00:01,0s;11;49,999915;50,000000;690,039795;690,000000;58,005055
16.8.2026 09:00:01,1s;12;49,999586;50,000000;689,947650;690,000000;57,967639
16.8.2026 09:00:01,2s;13;50,000030;50,000000;689,949314;690,000000;58,057763
16.8.2026 09:00:01,3s;14;50,000026;50,000000;690,056243;690,000000;57,997617
16.8.2026 09:00:01,4s;15;49,999747;50,000000;689,917039;690,000000;58,031811
16.8.2026 09:00:01,5s;16;49,999830;50,000000;689,999216;690,000000;57,989656
16.8.2026 09:00:01,6s;17;49,999838;50,000000;689,983215;690,000000;58,043159
16.8.2026 09:00:01,7s;18;50,000223;50,000000;690,004366;690,000000;57,982458
16.8.2026 09:00:01,8s;19;49,999605;50,000000;689,943511;690,000000;57,995051
16.8.2026 09:00:01,9s;20;50,000318;50,000000;690,047143;690,000000;58,010499
16.8.2026 09:00:02,0s;21;50,000158;50,000000;689,994564;690,000000;58,001844
16.8.2026 09:00:02,1s;22;50,000062;50,000000;689,955329;690,000000;57,976605
16.8.2026 09:00:02,2s;23;50,000136;50,000000;690,085818;690,000000;57,971884
16.8.2026 09:00:02,3s;24;50,000104;50,000000;689,936999;690,000000;57,987335
16.8.2026 09:00:02,4s;25;50,000280;50,000000;690,023237;690,000000;58,021355
16.8.2026 09:00:02,5s;26;50,000217;50,000000;689,939659;690,000000;57,987251
16.8.2026 09:00:02,6s;27;50,000155;50,000000;690,076241;690,000000;58,017850
16.8.2026 09:00:02,7s;28;49,999808;50,000000;689,978426;690,000000;58,027018
16.8.2026 09:00:02,8s;29;49,999881;50,000000;690,024703;690,000000;57,996895
16.8.2026 09:00:02,9s;30;50,000185;50,000000;690,037857;690,000000;57,999173
16.8.2026 09:00:03,0s;31;50,000023;50,000000;690,052233;690,000000;57,989635
16.8.2026 09:00:03,1s;32;50,000068;50,000000;689,917275;690,000000;58,017641
16.8.2026 09:00:03,2s;33;50,000331;50,000000;690,003542;690,000000;58,006764
16.8.2026 09:00:03,3s;34;49,999987;50,000000;689,987173;690,000000;58,010527
16.8.2026 09:00:03,4s;35;50,000078;50,000000;690,117988;690,000000;57,990145
16.8.2026 09:00:03,5s;36;49,999987;50,000000;689,946898;690,000000;57,975306
16.8.2026 09:00:03,6s;37;50,000235;50,000000;689,951795;690,000000;57,980096
16.8.2026 09:00:03,7s;38;49,999542;50,000000;690,076320;690,000000;57,964696
16.8.2026 09:00:03,8s;39;50,000313;50,000000;690,043140;690,000000;57,998523
16.8.2026 09:00:03,9s;40;49,999796;50,000000;690,145336;690,000000;57,993880
