# YHDA_VERSION=0.7.2
# TEST_SERVICE=PFK
# PLANT_TYPE=DGKCS
# STEP_ID=MAKSIMUM_REZERV
# STEP_NAME=Maksimum rezerv — birleşik −200/+200 mHz olayları
# TESIS_ADI=YHDA Örnek DGKÇS
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.2
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=800.0
# UNIT_PNOM_MW=800.0
# RPMAX_MW=50.0
# RPMIN_MW=40.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=690.0
# PSET_MIN_MW=230.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# YDA_VERSION=0.7.2
# EVENT_SEQUENCE=NEG200,POS200
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;fuel_valve_pct
16.8.2026 09:00:00,0s;1;49,997439;50,000000;689,913847;690,000000;57,906442
16.8.2026 09:00:00,1s;2;49,997322;50,000000;690,003556;690,000000;57,978825
16.8.2026 09:00:00,2s;3;49,997566;50,000000;689,972552;690,000000;57,934928
16.8.2026 09:00:00,3s;4;49,997459;50,000000;690,029313;690,000000;57,946766
16.8.2026 09:00:00,4s;5;49,997229;50,000000;689,851322;690,000000;58,028051
16.8.2026 09:00:00,5s;6;49,997458;50,000000;690,105311;690,000000;58,011829
16.8.2026 09:00:00,6s;7;49,997346;50,000000;690,024748;690,000000;58,023143
16.8.2026 09:00:00,7s;8;49,997045;50,000000;689,801512;690,000000;57,932663
16.8.2026 09:00:00,8s;9;49,997587;50,000000;690,112628;690,000000;58,016386
16.8.2026 09:00:00,9s;10;49,997429;50,000000;690,092953;690,000000;58,096862
16.8.2026 09:00:01,0s;11;49,997972;50,000000;690,060449;690,000000;57,909583
16.8.2026 09:00:01,1s;12;49,997037;50,000000;690,012794;690,000000;57,914319
16.8.2026 09:00:01,2s;13;49,997292;50,000000;689,936402;690,000000;58,037651
16.8.2026 09:00:01,3s;14;49,997598;50,000000;689,917901;690,000000;57,990320
16.8.2026 09:00:01,4s;15;49,997431;50,000000;689,924008;690,000000;58,049079
16.8.2026 09:00:01,5s;16;49,997802;50,000000;689,741931;690,000000;57,955592
16.8.2026 09:00:01,6s;17;49,997425;50,000000;690,123896;690,000000;57,987872
16.8.2026 09:00:01,7s;18;49,997525;50,000000;689,864840;690,000000;58,067059
16.8.2026 09:00:01,8s;19;49,997245;50,000000;690,080370;690,000000;58,056126
16.8.2026 09:00:01,9s;20;49,997609;50,000000;689,961337;690,000000;57,951875
16.8.2026 09:00:02,0s;21;49,997520;50,000000;689,908962;690,000000;58,030720
16.8.2026 09:00:02,1s;22;49,997751;50,000000;689,997860;690,000000;57,981261
16.8.2026 09:00:02,2s;23;49,997413;50,000000;690,105557;690,000000;58,027631
16.8.2026 09:00:02,3s;24;49,998311;50,000000;690,062456;690,000000;57,988567
16.8.2026 09:00:02,4s;25;49,997888;50,000000;690,121046;690,000000;58,002935
16.8.2026 09:00:02,5s;26;49,997859;50,000000;690,132277;690,000000;58,012502
16.8.2026 09:00:02,6s;27;49,997307;50,000000;689,841787;690,000000;58,001438
16.8.2026 09:00:02,7s;28;49,997962;50,000000;689,850739;690,000000;57,988564
16.8.2026 09:00:02,8s;29;49,997819;50,000000;690,047474;690,000000;58,002051
16.8.2026 09:00:02,9s;30;49,998210;50,000000;689,908998;690,000000;58,012311
16.8.2026 09:00:03,0s;31;49,997747;50,000000;689,901269;690,000000;58,021582
16.8.2026 09:00:03,1s;32;49,997969;50,000000;689,761843;690,000000;57,988972
16.8.2026 09:00:03,2s;33;49,997812;50,000000;690,018403;690,000000;57,939907
16.8.2026 09:00:03,3s;34;49,997675;50,000000;690,069842;690,000000;57,969393
16.8.2026 09:00:03,4s;35;49,997722;50,000000;689,815379;690,000000;57,957849
16.8.2026 09:00:03,5s;36;49,997453;50,000000;689,994401;690,000000;58,106631
16.8.2026 09:00:03,6s;37;49,997876;50,000000;690,081381;690,000000;57,973917
16.8.2026 09:00:03,7s;38;49,997974;50,000000;690,104496;690,000000;57,948420
16.8.2026 09:00:03,8s;39;49,997837;50,000000;690,073078;690,000000;57,950776
16.8.2026 09:00:03,9s;40;49,997775;50,000000;689,766181;690,000000;58,067724
16.8.2026 09:00:04,0s;41;49,997260;50,000000;689,988287;690,000000;58,075200
16.8.2026 09:00:04,1s;42;49,998034;50,000000;689,837791;690,000000;58,013919
16.8.2026 09:00:04,2s;43;49,997724;50,000000;690,133532;690,000000;58,009199
16.8.2026 09:00:04,3s;44;49,998087;50,000000;690,037643;690,000000;57,975152
16.8.2026 09:00:04,4s;45;49,998039;50,000000;690,066438;690,000000;58,003648
16.8.2026 09:00:04,5s;46;49,997654;50,000000;689,877150;690,000000;57,975041
16.8.2026 09:00:04,6s;47;49,997788;50,000000;690,157247;690,000000;58,007035
16.8.2026 09:00:04,7s;48;49,997775;50,000000;690,043402;690,000000;58,001349
16.8.2026 09:00:04,8s;49;49,997517;50,000000;689,820452;690,000000;58,003919
16.8.2026 09:00:04,9s;50;49,997574;50,000000;690,019611;690,000000;58,034181
16.8.2026 09:00:05,0s;51;49,997746;50,000000;689,888779;690,000000;57,987545
16.8.2026 09:00:05,1s;52;49,998042;50,000000;690,183425;690,000000;57,999123
16.8.2026 09:00:05,2s;53;49,998017;50,000000;690,049657;690,000000;57,967104
16.8.2026 09:00:05,3s;54;49,997998;50,000000;689,848501;690,000000;57,985739
16.8.2026 09:00:05,4s;55;49,997910;50,000000;689,985186;690,000000;57,992098
16.8.2026 09:00:05,5s;56;49,998345;50,000000;690,063692;690,000000;58,009554
16.8.2026 09:00:05,6s;57;49,997973;50,000000;689,828907;690,000000;58,052881
16.8.2026 09:00:05,7s;58;49,997809;50,000000;689,955168;690,000000;57,944025
16.8.2026 09:00:05,8s;59;49,998294;50,000000;690,077378;690,000000;57,939378
16.8.2026 09:00:05,9s;60;49,998485;50,000000;689,870117;690,000000;58,015661
16.8.2026 09:00:06,0s;61;49,998112;50,000000;690,019091;690,000000;58,080365
16.8.2026 09:00:06,1s;62;49,997617;50,000000;690,087680;690,000000;57,969624
16.8.2026 09:00:06,2s;63;49,998196;50,000000;689,911957;690,000000;58,043373
16.8.2026 09:00:06,3s;64;49,998061;50,000000;689,893495;690,000000;58,022573
16.8.2026 09:00:06,4s;65;49,997922;50,000000;689,586733;690,000000;57,965552
16.8.2026 09:00:06,5s;66;49,998058;50,000000;689,884126;690,000000;57,981475
16.8.2026 09:00:06,6s;67;49,997723;50,000000;689,990610;690,000000;58,065211
16.8.2026 09:00:06,7s;68;49,998284;50,000000;689,979483;690,000000;58,019975
16.8.2026 09:00:06,8s;69;49,998415;50,000000;690,048749;690,000000;58,033104
16.8.2026 09:00:06,9s;70;49,998298;50,000000;689,830624;690,000000;58,008781
