# YHDA_VERSION=0.7.0
# TEST_SERVICE=PFK
# PLANT_TYPE=DGKCS
# STEP_ID=MINIMUM_REZERV
# STEP_NAME=Minimum rezerv — birleşik −200/+200 mHz olayları
# TESIS_ADI=YHDA Örnek DGKÇS
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=800.0
# UNIT_PNOM_MW=800.0
# RPMAX_MW=50.0
# RPMIN_MW=40.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=690.0
# PSET_MIN_MW=230.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# YDA_VERSION=0.7.0
# EVENT_SEQUENCE=NEG200,POS200
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;fuel_valve_pct
16.8.2026 09:00:00,0s;1;49,997304;50,000000;229,929466;230,000000;57,951908
16.8.2026 09:00:00,1s;2;49,996999;50,000000;230,097256;230,000000;57,970213
16.8.2026 09:00:00,2s;3;49,997230;50,000000;230,079176;230,000000;57,993585
16.8.2026 09:00:00,3s;4;49,997184;50,000000;229,889859;230,000000;57,945578
16.8.2026 09:00:00,4s;5;49,997275;50,000000;230,007217;230,000000;57,989761
16.8.2026 09:00:00,5s;6;49,997250;50,000000;229,981400;230,000000;57,984050
16.8.2026 09:00:00,6s;7;49,997430;50,000000;230,045034;230,000000;57,937272
16.8.2026 09:00:00,7s;8;49,997531;50,000000;230,026546;230,000000;57,953583
16.8.2026 09:00:00,8s;9;49,997374;50,000000;229,909382;230,000000;58,039585
16.8.2026 09:00:00,9s;10;49,997146;50,000000;230,054677;230,000000;57,927899
16.8.2026 09:00:01,0s;11;49,997217;50,000000;230,118979;230,000000;58,019208
16.8.2026 09:00:01,1s;12;49,997254;50,000000;230,084868;230,000000;57,995694
16.8.2026 09:00:01,2s;13;49,997624;50,000000;229,910791;230,000000;58,061343
16.8.2026 09:00:01,3s;14;49,997192;50,000000;230,171695;230,000000;58,000598
16.8.2026 09:00:01,4s;15;49,997327;50,000000;230,042605;230,000000;57,969073
16.8.2026 09:00:01,5s;16;49,997267;50,000000;229,794050;230,000000;58,009081
16.8.2026 09:00:01,6s;17;49,997470;50,000000;229,950588;230,000000;58,012932
16.8.2026 09:00:01,7s;18;49,997609;50,000000;229,828104;230,000000;57,933703
16.8.2026 09:00:01,8s;19;49,997499;50,000000;229,851911;230,000000;57,972421
16.8.2026 09:00:01,9s;20;49,997396;50,000000;229,973195;230,000000;58,050986
16.8.2026 09:00:02,0s;21;49,997519;50,000000;230,075072;230,000000;58,045280
16.8.2026 09:00:02,1s;22;49,997763;50,000000;230,010346;230,000000;57,975401
16.8.2026 09:00:02,2s;23;49,997516;50,000000;230,086358;230,000000;58,017065
16.8.2026 09:00:02,3s;24;49,998225;50,000000;229,937266;230,000000;57,904652
16.8.2026 09:00:02,4s;25;49,997454;50,000000;230,042593;230,000000;57,970158
16.8.2026 09:00:02,5s;26;49,997720;50,000000;229,876958;230,000000;58,017060
16.8.2026 09:00:02,6s;27;49,997801;50,000000;229,786402;230,000000;58,019383
16.8.2026 09:00:02,7s;28;49,997701;50,000000;230,096796;230,000000;57,976717
16.8.2026 09:00:02,8s;29;49,996963;50,000000;230,065474;230,000000;58,000794
16.8.2026 09:00:02,9s;30;49,997843;50,000000;229,969608;230,000000;58,054087
16.8.2026 09:00:03,0s;31;49,997827;50,000000;230,040780;230,000000;57,978911
16.8.2026 09:00:03,1s;32;49,997537;50,000000;230,136826;230,000000;57,974922
16.8.2026 09:00:03,2s;33;49,997546;50,000000;229,847934;230,000000;57,983093
16.8.2026 09:00:03,3s;34;49,997544;50,000000;229,985488;230,000000;58,014944
16.8.2026 09:00:03,4s;35;49,997694;50,000000;229,960429;230,000000;57,938769
16.8.2026 09:00:03,5s;36;49,997366;50,000000;229,954568;230,000000;58,000662
16.8.2026 09:00:03,6s;37;49,997649;50,000000;230,021196;230,000000;58,014292
16.8.2026 09:00:03,7s;38;49,998024;50,000000;230,028132;230,000000;57,992409
16.8.2026 09:00:03,8s;39;49,997891;50,000000;230,214632;230,000000;57,965174
