# YHDA_VERSION=0.6.3
# TEST_SERVICE=PFK
# PLANT_TYPE=DGKCS
# STEP_ID=RES_MAX_NEG200
# STEP_NAME=Maksimum çıkış gücü — Δf = -200 mHz / 49,8 Hz
# TESIS_ADI=YHDA Örnek DGKÇS
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.3
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=800.0
# UNIT_PNOM_MW=800.0
# RPMAX_MW=50.0
# RPMIN_MW=40.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=690.0
# PSET_MIN_MW=230.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;fuel_valve_pct
16.8.2026 08:59:40,0s;1;49,997439;50,000000;689,913847;690,000000;57,906442
16.8.2026 08:59:40,1s;2;49,997322;50,000000;690,003556;690,000000;57,978825
16.8.2026 08:59:40,2s;3;49,997566;50,000000;689,972552;690,000000;57,934928
16.8.2026 08:59:40,3s;4;49,997459;50,000000;690,029313;690,000000;57,946766
16.8.2026 08:59:40,4s;5;49,997229;50,000000;689,851322;690,000000;58,028051
16.8.2026 08:59:40,5s;6;49,997458;50,000000;690,105311;690,000000;58,011829
16.8.2026 08:59:40,6s;7;49,997346;50,000000;690,024748;690,000000;58,023143
16.8.2026 08:59:40,7s;8;49,997045;50,000000;689,801512;690,000000;57,932663
16.8.2026 08:59:40,8s;9;49,997587;50,000000;690,112628;690,000000;58,016386
16.8.2026 08:59:40,9s;10;49,997429;50,000000;690,092953;690,000000;58,096862
16.8.2026 08:59:41,0s;11;49,997972;50,000000;690,060449;690,000000;57,909583
16.8.2026 08:59:41,1s;12;49,997037;50,000000;690,012794;690,000000;57,914319
16.8.2026 08:59:41,2s;13;49,997292;50,000000;689,936402;690,000000;58,037651
16.8.2026 08:59:41,3s;14;49,997598;50,000000;689,917901;690,000000;57,990320
16.8.2026 08:59:41,4s;15;49,997431;50,000000;689,924008;690,000000;58,049079
16.8.2026 08:59:41,5s;16;49,997802;50,000000;689,741931;690,000000;57,955592
16.8.2026 08:59:41,6s;17;49,997425;50,000000;690,123896;690,000000;57,987872
16.8.2026 08:59:41,7s;18;49,997525;50,000000;689,864840;690,000000;58,067059
