# YHDA_VERSION=0.5
# TEST_SERVICE=PFK
# PLANT_TYPE=DGKCS
# STEP_ID=RES_MAX_POS200
# STEP_NAME=Maksimum çıkış gücü — Δf = +200 mHz / 50,2 Hz
# TESIS_ADI=YHDA Örnek DGKÇS
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=800.0
# UNIT_PNOM_MW=800.0
# RPMAX_MW=50.0
# RPMIN_MW=40.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=690.0
# PSET_MIN_MW=230.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;fuel_valve_pct
-20,000000;49,996963;50,000000;689,924990;690,000000;57,947940
-19,900000;49,997366;50,000000;689,843033;690,000000;57,934920
-19,800000;49,997291;50,000000;689,850045;690,000000;57,994147
-19,700000;49,997230;50,000000;690,016720;690,000000;57,989044
-19,600000;49,997242;50,000000;690,227227;690,000000;58,011395
-19,500000;49,997017;50,000000;690,048092;690,000000;58,080872
-19,400000;49,997088;50,000000;690,047984;690,000000;58,049391
-19,300000;49,997296;50,000000;690,046091;690,000000;58,038040
-19,200000;49,997441;50,000000;689,850679;690,000000;57,988901
-19,100000;49,997478;50,000000;689,927341;690,000000;58,036099
-19,000000;49,997794;50,000000;690,106279;690,000000;57,966522
-18,900000;49,997791;50,000000;690,053266;690,000000;58,024824
-18,800000;49,997201;50,000000;690,189746;690,000000;57,957543
-18,700000;49,997672;50,000000;689,847645;690,000000;58,021452
-18,600000;49,997547;50,000000;690,033478;690,000000;58,015985
-18,500000;49,997547;50,000000;690,088535;690,000000;57,998378
-18,400000;49,997700;50,000000;689,995163;690,000000;57,969455
-18,300000;49,997361;50,000000;690,119359;690,000000;58,036556
-18,200000;49,996759;50,000000;689,858727;690,000000;58,077914
-18,100000;49,997545;50,000000;689,956551;690,000000;58,018760
-18,000000;49,997528;50,000000;690,047366;690,000000;58,029247
-17,900000;49,997405;50,000000;690,028765;690,000000;57,957727
-17,800000;49,997769;50,000000;690,100210;690,000000;57,958733
-17,700000;49,997513;50,000000;690,088307;690,000000;58,010843
-17,600000;49,997879;50,000000;689,871291;690,000000;57,925277
-17,500000;49,997777;50,000000;689,884718;690,000000;57,997735
-17,400000;49,997911;50,000000;689,816404;690,000000;58,008307
-17,300000;49,997273;50,000000;690,163033;690,000000;58,028133
-17,200000;49,997521;50,000000;690,233419;690,000000;57,956121
-17,100000;49,997369;50,000000;689,965025;690,000000;57,996482
-17,000000;49,997706;50,000000;690,054786;690,000000;58,019936
-16,900000;49,997530;50,000000;690,138284;690,000000;58,007890
-16,800000;49,997499;50,000000;689,953078;690,000000;58,012035
-16,700000;49,997716;50,000000;690,083853;690,000000;58,012735
-16,600000;49,997522;50,000000;689,922817;690,000000;58,032930
-16,500000;49,998002;50,000000;690,187259;690,000000;58,024330
-16,400000;49,998071;50,000000;690,077557;690,000000;57,922652
-16,300000;49,998029;50,000000;689,804320;690,000000;57,971442
-16,200000;49,997721;50,000000;690,032180;690,000000;57,884987
-16,100000;49,997930;50,000000;690,095571;690,000000;57,995952
-16,000000;49,997184;50,000000;690,142212;690,000000;57,990664
-15,900000;49,997870;50,000000;690,159274;690,000000;58,022445
-15,800000;49,997670;50,000000;689,817446;690,000000;57,969377
-15,700000;49,998016;50,000000;689,941864;690,000000;57,963230
-15,600000;49,997459;50,000000;689,900690;690,000000;58,043489
-15,500000;49,997898;50,000000;690,083421;690,000000;57,981126
-15,400000;49,998231;50,000000;690,018503;690,000000;57,974617
-15,300000;49,997751;50,000000;689,694838;690,000000;57,984513
-15,200000;49,998086;50,000000;690,149992;690,000000;58,000230
-15,100000;49,997519;50,000000;689,918531;690,000000;58,045212
-15,000000;49,997668;50,000000;690,066460;690,000000;58,016178
-14,900000;49,998407;50,000000;690,085609;690,000000;57,976775
-14,800000;49,998292;50,000000;689,978081;690,000000;57,935697
-14,700000;49,998313;50,000000;689,966262;690,000000;57,887789
-14,600000;49,998180;50,000000;689,910076;690,000000;58,045547
-14,500000;49,997732;50,000000;690,000312;690,000000;57,960612
-14,400000;49,998182;50,000000;689,832047;690,000000;58,042874
-14,300000;49,997803;50,000000;689,858232;690,000000;57,986874
-14,200000;49,998095;50,000000;689,921230;690,000000;58,019257
-14,100000;49,998273;50,000000;689,975750;690,000000;57,992319
-14,000000;49,998291;50,000000;689,850356;690,000000;58,021743
-13,900000;49,998008;50,000000;690,075446;690,000000;57,974337
-13,800000;49,997760;50,000000;689,935518;690,000000;57,982681
-13,700000;49,998011;50,000000;690,108723;690,000000;57,996930
-13,600000;49,997686;50,000000;690,055976;690,000000;57,984529
-13,500000;49,997461;50,000000;690,063019;690,000000;57,944407
-13,400000;49,997755;50,000000;689,925142;690,000000;57,969690
-13,300000;49,998240;50,000000;689,941912;690,000000;57,966049
-13,200000;49,998352;50,000000;690,104122;690,000000;58,020631
-13,100000;49,998200;50,000000;689,976337;690,000000;58,025437
-13,000000;49,998232;50,000000;689,954703;690,000000;58,018157
-12,900000;49,998395;50,000000;690,138934;690,000000;57,985089
-12,800000;49,998567;50,000000;689,910481;690,000000;57,984183
-12,700000;49,998219;50,000000;690,050631;690,000000;57,938893
-12,600000;49,998496;50,000000;690,055643;690,000000;58,026651
-12,500000;49,998158;50,000000;690,145126;690,000000;58,070403
-12,400000;49,998368;50,000000;689,789407;690,000000;58,021785
-12,300000;49,997837;50,000000;690,160165;690,000000;58,012998
-12,200000;49,998277;50,000000;689,770364;690,000000;58,021785
-12,100000;49,998162;50,000000;690,108424;690,000000;58,003601
-12,000000;49,999039;50,000000;689,842004;690,000000;58,029614
-11,900000;49,998286;50,000000;690,069178;690,000000;57,991125
-11,800000;49,998071;50,000000;690,106438;690,000000;57,983142
-11,700000;49,998497;50,000000;690,027430;690,000000;57,996755
-11,600000;49,998171;50,000000;689,932175;690,000000;58,062087
-11,500000;49,998171;50,000000;689,816589;690,000000;58,021949
-11,400000;49,998258;50,000000;689,937225;690,000000;57,972439
-11,300000;49,998712;50,000000;690,006009;690,000000;57,985304
-11,200000;49,998074;50,000000;690,015794;690,000000;57,982646
-11,100000;49,998330;50,000000;690,121036;690,000000;57,984795
-11,000000;49,999108;50,000000;690,034921;690,000000;57,971018
-10,900000;49,998366;50,000000;689,942878;690,000000;58,007859
-10,800000;49,998855;50,000000;690,122739;690,000000;57,971409
-10,700000;49,998666;50,000000;689,932565;690,000000;58,095917
-10,600000;49,998361;50,000000;690,081560;690,000000;58,028989
-10,500000;49,998239;50,000000;689,674434;690,000000;58,053231
-10,400000;49,998113;50,000000;690,164103;690,000000;57,938808
-10,300000;49,998534;50,000000;690,110640;690,000000;57,952039
-10,200000;49,998494;50,000000;690,209951;690,000000;58,018017
-10,100000;49,998874;50,000000;690,194244;690,000000;57,994806
-10,000000;49,998505;50,000000;690,077946;690,000000;58,061591
-9,900000;49,998445;50,000000;689,816238;690,000000;57,968413
-9,800000;49,998607;50,000000;689,958062;690,000000;58,005865
-9,700000;49,998622;50,000000;690,183523;690,000000;58,044978
-9,600000;49,998682;50,000000;689,922686;690,000000;58,033494
-9,500000;49,998108;50,000000;690,153891;690,000000;57,999843
-9,400000;49,998585;50,000000;690,283542;690,000000;57,955245
-9,300000;49,998684;50,000000;690,090188;690,000000;58,039617
-9,200000;49,998726;50,000000;689,930779;690,000000;58,029502
-9,100000;49,998326;50,000000;690,143114;690,000000;58,011764
-9,000000;49,998665;50,000000;689,991383;690,000000;57,950177
-8,900000;49,999005;50,000000;689,842336;690,000000;57,979150
-8,800000;49,998907;50,000000;690,044755;690,000000;58,021562
-8,700000;49,998398;50,000000;690,138041;690,000000;57,995968
-8,600000;49,998559;50,000000;689,777750;690,000000;57,925200
-8,500000;49,998907;50,000000;690,018914;690,000000;58,014238
-8,400000;49,999003;50,000000;690,000728;690,000000;57,979604
-8,300000;49,999008;50,000000;690,143035;690,000000;58,016054
-8,200000;49,999310;50,000000;690,084267;690,000000;58,043802
-8,100000;49,998819;50,000000;690,095194;690,000000;58,030022
-8,000000;49,998747;50,000000;689,850841;690,000000;58,037094
-7,900000;49,999403;50,000000;690,142068;690,000000;57,978962
-7,800000;49,998757;50,000000;689,833389;690,000000;58,010106
