# YHDA_VERSION=0.6.2
# TEST_SERVICE=PFK
# PLANT_TYPE=DGKCS
# STEP_ID=RES_MIN_POS200
# STEP_NAME=Minimum çıkış gücü — Δf = +200 mHz / 50,2 Hz
# TESIS_ADI=YHDA Örnek DGKÇS
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=800.0
# UNIT_PNOM_MW=800.0
# RPMAX_MW=50.0
# RPMIN_MW=40.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=690.0
# PSET_MIN_MW=230.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;fuel_valve_pct
16.8.2026 08:59:40,0s;1;49,997526;50,000000;229,994177;230,000000;57,855371
16.8.2026 08:59:40,1s;2;49,997629;50,000000;229,881546;230,000000;57,975048
16.8.2026 08:59:40,2s;3;49,997085;50,000000;230,233995;230,000000;58,038388
16.8.2026 08:59:40,3s;4;49,996903;50,000000;229,986361;230,000000;58,018602
16.8.2026 08:59:40,4s;5;49,997241;50,000000;229,977474;230,000000;57,921995
16.8.2026 08:59:40,5s;6;49,997482;50,000000;230,034436;230,000000;57,979862
16.8.2026 08:59:40,6s;7;49,997488;50,000000;229,945382;230,000000;58,034262
16.8.2026 08:59:40,7s;8;49,997710;50,000000;230,107237;230,000000;57,969140
16.8.2026 08:59:40,8s;9;49,997670;50,000000;229,863723;230,000000;57,946013
16.8.2026 08:59:40,9s;10;49,997972;50,000000;229,768939;230,000000;58,067678
16.8.2026 08:59:41,0s;11;49,997363;50,000000;229,972913;230,000000;58,091062
16.8.2026 08:59:41,1s;12;49,997501;50,000000;229,976792;230,000000;58,012249
16.8.2026 08:59:41,2s;13;49,997421;50,000000;229,942106;230,000000;57,941536
16.8.2026 08:59:41,3s;14;49,997187;50,000000;230,108181;230,000000;57,983960
16.8.2026 08:59:41,4s;15;49,997139;50,000000;229,915269;230,000000;58,028128
16.8.2026 08:59:41,5s;16;49,997320;50,000000;230,009676;230,000000;58,028005
16.8.2026 08:59:41,6s;17;49,997651;50,000000;230,030644;230,000000;57,927683
16.8.2026 08:59:41,7s;18;49,997397;50,000000;230,027354;230,000000;58,002363
16.8.2026 08:59:41,8s;19;49,997609;50,000000;229,891376;230,000000;57,957767
16.8.2026 08:59:41,9s;20;49,997903;50,000000;230,074529;230,000000;57,947044
16.8.2026 08:59:42,0s;21;49,997741;50,000000;229,801513;230,000000;58,022968
16.8.2026 08:59:42,1s;22;49,997393;50,000000;229,962183;230,000000;58,008198
16.8.2026 08:59:42,2s;23;49,997394;50,000000;229,987629;230,000000;58,036748
16.8.2026 08:59:42,3s;24;49,997561;50,000000;229,909162;230,000000;58,019461
16.8.2026 08:59:42,4s;25;49,997727;50,000000;229,927904;230,000000;58,037887
16.8.2026 08:59:42,5s;26;49,997203;50,000000;229,885941;230,000000;58,015899
16.8.2026 08:59:42,6s;27;49,997938;50,000000;229,816155;230,000000;58,009361
16.8.2026 08:59:42,7s;28;49,997549;50,000000;230,068752;230,000000;58,007129
16.8.2026 08:59:42,8s;29;49,997855;50,000000;229,965186;230,000000;57,953522
16.8.2026 08:59:42,9s;30;49,997642;50,000000;229,919137;230,000000;58,001556
16.8.2026 08:59:43,0s;31;49,997430;50,000000;230,053461;230,000000;58,005544
16.8.2026 08:59:43,1s;32;49,997331;50,000000;230,199397;230,000000;58,003126
16.8.2026 08:59:43,2s;33;49,997725;50,000000;230,011759;230,000000;57,949079
16.8.2026 08:59:43,3s;34;49,997870;50,000000;229,729306;230,000000;57,965261
16.8.2026 08:59:43,4s;35;49,997864;50,000000;230,115379;230,000000;57,972423
16.8.2026 08:59:43,5s;36;49,997474;50,000000;229,942335;230,000000;58,062356
16.8.2026 08:59:43,6s;37;49,997553;50,000000;229,966936;230,000000;57,993403
16.8.2026 08:59:43,7s;38;49,998182;50,000000;230,066710;230,000000;57,996219
16.8.2026 08:59:43,8s;39;49,997713;50,000000;229,981312;230,000000;58,013752
16.8.2026 08:59:43,9s;40;49,998266;50,000000;230,236662;230,000000;58,002835
16.8.2026 08:59:44,0s;41;49,997915;50,000000;230,048366;230,000000;57,986963
16.8.2026 08:59:44,1s;42;49,998116;50,000000;229,933623;230,000000;57,980667
16.8.2026 08:59:44,2s;43;49,997419;50,000000;230,011893;230,000000;58,020364
16.8.2026 08:59:44,3s;44;49,997921;50,000000;229,937383;230,000000;58,013757
