# YHDA_VERSION=0.6.1
# TEST_SERVICE=PFK
# PLANT_TYPE=EDUEDT
# STEP_ID=BESS_MAX_ENERGY_NEG200
# STEP_NAME=Maksimum enerji seviyesi — Δf = -200 mHz
# TESIS_ADI=YHDA Örnek EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=100.0
# UNIT_PNOM_MW=100.0
# RPMAX_MW=20.0
# RPMIN_MW=5.0
# DROOP_PERCENT=4
# DEADBAND_MHZ=10
# PSET_MAX_MW=20.0
# PSET_MIN_MW=-20.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=70
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;stored_energy_mwh;soc_pct;dc_power_mw
-20,000000;49,999891;50;-10,027014;-10;140,000279;70,000139;-10,172815
-19,900000;49,999918;50;-9,954287;-10;140,000555;70,000278;-10,066091
-19,800000;50,000133;50;-9,999115;-10;140,000833;70,000416;-10,133002
-19,700000;49,999799;50;-9,980505;-10;140,001110;70,000555;-10,099578
-19,600000;49,999885;50;-9,989413;-10;140,001388;70,000694;-10,108687
-19,500000;49,999763;50;-9,969454;-10;140,001664;70,000832;-10,099455
-19,400000;49,999941;50;-9,961081;-10;140,001941;70,000971;-10,076351
-19,300000;50,000253;50;-9,998810;-10;140,002219;70,001109;-10,089467
-19,200000;49,999640;50;-10,007736;-10;140,002497;70,001248;-10,116911
-19,100000;50,000045;50;-10,021386;-10;140,002775;70,001388;-10,114551
-19,000000;49,999780;50;-10,031328;-10;140,003054;70,001527;-10,155593
-18,900000;50,000034;50;-10,000265;-10;140,003332;70,001666;-10,112392
-18,800000;50,000069;50;-9,954332;-10;140,003608;70,001804;-10,040876
-18,700000;50,000162;50;-10,035340;-10;140,003887;70,001943;-10,167357
-18,600000;50,000023;50;-10,007656;-10;140,004165;70,002082;-10,126327
-18,500000;49,999854;50;-10,004556;-10;140,004443;70,002221;-10,164145
-18,400000;50,000131;50;-10,003699;-10;140,004721;70,002360;-10,101074
-18,300000;49,999990;50;-10,012961;-10;140,004999;70,002499;-10,137946
-18,200000;50,000061;50;-9,978591;-10;140,005276;70,002638;-10,123485
-18,100000;49,999705;50;-9,964622;-10;140,005553;70,002776;-10,069343
