# YHDA_VERSION=0.7.0
# TEST_SERVICE=PFK
# PLANT_TYPE=EDUEDT
# STEP_ID=BESS_MIN_ENERGY_POS200
# STEP_NAME=Minimum enerji seviyesi — Δf = +200 mHz
# TESIS_ADI=YHDA Örnek EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=100.0
# UNIT_PNOM_MW=100.0
# RPMAX_MW=20.0
# RPMIN_MW=5.0
# DROOP_PERCENT=4
# DEADBAND_MHZ=10
# PSET_MAX_MW=20.0
# PSET_MIN_MW=-20.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=70
# YDA_VERSION=0.7.0
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;stored_energy_mwh;soc_pct;dc_power_mw
16.8.2026 08:59:40,0s;1;50,000266;50;10,008971;10;69,999722;34,999861;10,112559
16.8.2026 08:59:40,1s;2;49,999620;50;10,051534;10;69,999443;34,999721;10,160960
16.8.2026 08:59:40,2s;3;49,999792;50;10,039730;10;69,999164;34,999582;10,148422
16.8.2026 08:59:40,3s;4;49,999911;50;9,988412;10;69,998886;34,999443;10,109959
16.8.2026 08:59:40,4s;5;49,999660;50;10,044727;10;69,998607;34,999304;10,141592
16.8.2026 08:59:40,5s;6;50,000076;50;10,017115;10;69,998329;34,999165;10,128162
16.8.2026 08:59:40,6s;7;50,000231;50;9,985845;10;69,998052;34,999026;10,096925
16.8.2026 08:59:40,7s;8;49,999928;50;9,954717;10;69,997775;34,998888;10,057622
16.8.2026 08:59:40,8s;9;49,999821;50;9,957146;10;69,997499;34,998749;10,047442
16.8.2026 08:59:40,9s;10;49,999959;50;9,984307;10;69,997221;34,998611;10,126329
16.8.2026 08:59:41,0s;11;50,000352;50;10,025380;10;69,996943;34,998471;10,141815
16.8.2026 08:59:41,1s;12;49,999658;50;9,992775;10;69,996665;34,998333;10,135587
16.8.2026 08:59:41,2s;13;50,000568;50;9,951836;10;69,996389;34,998194;10,081684
16.8.2026 08:59:41,3s;14;49,999951;50;10,013177;10;69,996111;34,998055;10,147726
16.8.2026 08:59:41,4s;15;49,999974;50;10,022389;10;69,995832;34,997916;10,146433
16.8.2026 08:59:41,5s;16;49,999964;50;10,037023;10;69,995553;34,997777;10,168360
16.8.2026 08:59:41,6s;17;49,999959;50;9,955947;10;69,995277;34,997638;10,093132
16.8.2026 08:59:41,7s;18;50,000022;50;9,988193;10;69,994999;34,997500;10,112245
16.8.2026 08:59:41,8s;19;50,000065;50;10,025834;10;69,994721;34,997360;10,158684
16.8.2026 08:59:41,9s;20;50,000247;50;10,024255;10;69,994443;34,997221;10,145872
16.8.2026 08:59:42,0s;21;50,000152;50;9,971061;10;69,994166;34,997083;10,078232
16.8.2026 08:59:42,1s;22;50,000022;50;10,046430;10;69,993886;34,996943;10,181540
16.8.2026 08:59:42,2s;23;49,999850;50;9,992952;10;69,993609;34,996804;10,107317
