# YHDA_VERSION=0.5
# TEST_SERVICE=PFK
# PLANT_TYPE=EDUEDT
# STEP_ID=BESS_SENS_NEG10
# STEP_NAME=Hassasiyet — -10 mHz
# TESIS_ADI=YHDA Örnek EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=100.0
# UNIT_PNOM_MW=100.0
# RPMAX_MW=20.0
# RPMIN_MW=5.0
# DROOP_PERCENT=4
# DEADBAND_MHZ=10
# PSET_MAX_MW=20.0
# PSET_MIN_MW=-20.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=70
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;stored_energy_mwh;soc_pct;dc_power_mw
-20,000000;50,000030;50;-9,958806;-10;140,000277;70,000138;-10,056951
-19,900000;50,000043;50;-10,009644;-10;140,000555;70,000277;-10,130678
-19,800000;50,000025;50;-10,007988;-10;140,000833;70,000416;-10,109055
-19,700000;50,000199;50;-10,019745;-10;140,001111;70,000556;-10,122558
-19,600000;49,999728;50;-9,985655;-10;140,001388;70,000694;-10,041699
-19,500000;50,000118;50;-10,015395;-10;140,001667;70,000833;-10,124697
-19,400000;49,999903;50;-9,976800;-10;140,001944;70,000972;-10,074539
-19,300000;49,999934;50;-10,017095;-10;140,002222;70,001111;-10,148181
-19,200000;49,999849;50;-10,024341;-10;140,002500;70,001250;-10,156584
-19,100000;50,000015;50;-10,033813;-10;140,002779;70,001390;-10,156654
-19,000000;49,999896;50;-9,984212;-10;140,003056;70,001528;-10,131969
-18,900000;50,000092;50;-10,018835;-10;140,003335;70,001667;-10,120383
-18,800000;49,999909;50;-9,993560;-10;140,003612;70,001806;-10,116357
-18,700000;49,999792;50;-9,998290;-10;140,003890;70,001945;-10,116297
-18,600000;49,999940;50;-9,978492;-10;140,004167;70,002084;-10,090581
-18,500000;49,999939;50;-9,994613;-10;140,004445;70,002222;-10,117786
-18,400000;50,000006;50;-10,006036;-10;140,004723;70,002361;-10,140523
-18,300000;50,000321;50;-9,980801;-10;140,005000;70,002500;-10,078316
-18,200000;49,999891;50;-10,006598;-10;140,005278;70,002639;-10,127077
-18,100000;50,000133;50;-9,982243;-10;140,005555;70,002778;-10,100646
-18,000000;49,999979;50;-10,041266;-10;140,005834;70,002917;-10,169135
-17,900000;49,999973;50;-9,982942;-10;140,006112;70,003056;-10,107793
-17,800000;49,999939;50;-10,040949;-10;140,006391;70,003195;-10,175679
-17,700000;49,999988;50;-9,964217;-10;140,006667;70,003334;-10,086462
-17,600000;50,000066;50;-10,021276;-10;140,006946;70,003473;-10,159409
-17,500000;50,000071;50;-10,021839;-10;140,007224;70,003612;-10,125808
-17,400000;49,999516;50;-10,001125;-10;140,007502;70,003751;-10,127546
-17,300000;49,999990;50;-9,970461;-10;140,007779;70,003889;-10,082180
-17,200000;49,999732;50;-10,028914;-10;140,008057;70,004029;-10,144163
-17,100000;49,999890;50;-9,957120;-10;140,008334;70,004167;-10,063376
-17,000000;50,000026;50;-9,964160;-10;140,008611;70,004305;-10,117731
-16,900000;50,000079;50;-9,973257;-10;140,008888;70,004444;-10,138582
-16,800000;49,999681;50;-9,977376;-10;140,009165;70,004582;-10,081758
-16,700000;49,999973;50;-10,029269;-10;140,009444;70,004722;-10,136896
-16,600000;50,000059;50;-10,029137;-10;140,009722;70,004861;-10,187303
-16,500000;50,000122;50;-9,960810;-10;140,009999;70,004999;-10,106955
-16,400000;50,000126;50;-9,998713;-10;140,010277;70,005138;-10,136348
-16,300000;49,999946;50;-9,993398;-10;140,010554;70,005277;-10,111246
-16,200000;49,999590;50;-10,000826;-10;140,010832;70,005416;-10,140086
-16,100000;50,000011;50;-9,993235;-10;140,011110;70,005555;-10,105838
-16,000000;49,999878;50;-9,992339;-10;140,011387;70,005694;-10,128298
-15,900000;49,999727;50;-9,992267;-10;140,011665;70,005832;-10,101243
-15,800000;50,000018;50;-10,012366;-10;140,011943;70,005971;-10,103157
-15,700000;50,000090;50;-9,999407;-10;140,012221;70,006110;-10,088607
-15,600000;49,999725;50;-9,983094;-10;140,012498;70,006249;-10,096603
-15,500000;49,999799;50;-9,984497;-10;140,012775;70,006388;-10,125555
-15,400000;49,999665;50;-9,998072;-10;140,013053;70,006526;-10,092169
-15,300000;49,999612;50;-10,027638;-10;140,013331;70,006666;-10,143900
-15,200000;49,999975;50;-10,021767;-10;140,013610;70,006805;-10,123085
-15,100000;49,999696;50;-10,008023;-10;140,013888;70,006944;-10,132509
-15,000000;50,000102;50;-9,944056;-10;140,014164;70,007082;-10,066461
-14,900000;49,999905;50;-9,989800;-10;140,014442;70,007221;-10,134362
-14,800000;50,000127;50;-9,988789;-10;140,014719;70,007360;-10,126772
-14,700000;50,000041;50;-10,004234;-10;140,014997;70,007498;-10,165943
-14,600000;50,000208;50;-9,938303;-10;140,015273;70,007636;-10,042525
-14,500000;50,000000;50;-9,980057;-10;140,015550;70,007775;-10,109309
-14,400000;49,999891;50;-10,018363;-10;140,015829;70,007914;-10,125143
-14,300000;50,000316;50;-10,009641;-10;140,016107;70,008053;-10,150579
-14,200000;50,000133;50;-9,964102;-10;140,016383;70,008192;-10,110376
-14,100000;49,999983;50;-9,971076;-10;140,016660;70,008330;-10,072307
-14,000000;49,999831;50;-10,027711;-10;140,016939;70,008469;-10,173035
-13,900000;50,000212;50;-10,011846;-10;140,017217;70,008608;-10,120669
-13,800000;49,999948;50;-9,982592;-10;140,017494;70,008747;-10,082859
-13,700000;49,999996;50;-9,971139;-10;140,017771;70,008886;-10,099619
-13,600000;49,999924;50;-10,003116;-10;140,018049;70,009025;-10,087505
-13,500000;50,000018;50;-9,989040;-10;140,018327;70,009163;-10,107908
