# YHDA_VERSION=0.6.1
# TEST_SERVICE=PFK
# PLANT_TYPE=EDUEDT
# STEP_ID=BESS_SENS_NEG20
# STEP_NAME=Hassasiyet — -20 mHz
# TESIS_ADI=YHDA Örnek EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=100.0
# UNIT_PNOM_MW=100.0
# RPMAX_MW=20.0
# RPMIN_MW=5.0
# DROOP_PERCENT=4
# DEADBAND_MHZ=10
# PSET_MAX_MW=20.0
# PSET_MIN_MW=-20.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=70
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;stored_energy_mwh;soc_pct;dc_power_mw
-20,000000;49,999999;50;-9,982982;-10;140,000277;70,000139;-10,071027
-19,900000;50,000332;50;-10,033530;-10;140,000556;70,000278;-10,172269
-19,800000;50,000320;50;-9,981279;-10;140,000833;70,000417;-10,088223
-19,700000;50,000150;50;-9,962732;-10;140,001110;70,000555;-10,085474
-19,600000;49,999742;50;-9,977677;-10;140,001387;70,000694;-10,087554
-19,500000;49,999976;50;-10,015741;-10;140,001665;70,000833;-10,123670
-19,400000;49,999971;50;-10,001822;-10;140,001943;70,000972;-10,173885
-19,300000;50,000054;50;-9,994884;-10;140,002221;70,001110;-10,102864
-19,200000;50,000268;50;-9,976734;-10;140,002498;70,001249;-10,081125
-19,100000;50,000089;50;-9,992371;-10;140,002776;70,001388;-10,097860
-19,000000;50,000213;50;-10,015330;-10;140,003054;70,001527;-10,152850
-18,900000;49,999893;50;-10,042461;-10;140,003333;70,001666;-10,187899
-18,800000;50,000132;50;-10,021043;-10;140,003611;70,001806;-10,140502
-18,700000;50,000020;50;-10,026100;-10;140,003890;70,001945;-10,131779
-18,600000;50,000102;50;-10,037980;-10;140,004168;70,002084;-10,200049
-18,500000;49,999903;50;-10,045861;-10;140,004447;70,002224;-10,145475
-18,400000;49,999778;50;-9,958002;-10;140,004724;70,002362;-10,102437
-18,300000;50,000151;50;-10,009901;-10;140,005002;70,002501;-10,120378
-18,200000;49,999616;50;-9,988052;-10;140,005280;70,002640;-10,116781
-18,100000;49,999964;50;-10,026143;-10;140,005558;70,002779;-10,156589
-18,000000;49,999784;50;-9,985293;-10;140,005835;70,002918;-10,096089
-17,900000;50,000010;50;-9,985156;-10;140,006113;70,003056;-10,120625
-17,800000;49,999961;50;-10,041054;-10;140,006392;70,003196;-10,160641
-17,700000;49,999998;50;-9,995121;-10;140,006669;70,003335;-10,122762
