# YHDA_VERSION=0.6.0
# TEST_SERVICE=PFK
# PLANT_TYPE=EDUEDT
# STEP_ID=BESS_SENS_POS10
# STEP_NAME=Hassasiyet — +10 mHz
# TESIS_ADI=YHDA Örnek EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=100.0
# UNIT_PNOM_MW=100.0
# RPMAX_MW=20.0
# RPMIN_MW=5.0
# DROOP_PERCENT=4
# DEADBAND_MHZ=10
# PSET_MAX_MW=20.0
# PSET_MIN_MW=-20.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=70
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;stored_energy_mwh;soc_pct;dc_power_mw
-20,000000;49,999868;50;10,030142;10;69,999721;34,999861;10,108065
-19,900000;49,999725;50;9,969116;10;69,999444;34,999722;10,065314
-19,800000;49,999591;50;9,993922;10;69,999167;34,999583;10,112800
-19,700000;49,999889;50;9,984477;10;69,998890;34,999445;10,099048
-19,600000;50,000261;50;10,055722;10;69,998610;34,999305;10,172402
-19,500000;49,999765;50;10,022957;10;69,998332;34,999166;10,131894
-19,400000;50,000080;50;10,019309;10;69,998053;34,999027;10,140592
-19,300000;50,000179;50;10,023132;10;69,997775;34,998888;10,132711
-19,200000;49,999960;50;9,986630;10;69,997498;34,998749;10,137310
-19,100000;49,999973;50;10,015322;10;69,997219;34,998610;10,106054
-19,000000;49,999790;50;9,992481;10;69,996942;34,998471;10,112038
-18,900000;49,999857;50;10,019525;10;69,996664;34,998332;10,152702
-18,800000;50,000445;50;9,977381;10;69,996386;34,998193;10,090486
-18,700000;50,000041;50;10,004006;10;69,996108;34,998054;10,113679
-18,600000;50,000154;50;9,973735;10;69,995831;34,997916;10,100000
-18,500000;49,999792;50;9,958182;10;69,995555;34,997777;10,071842
-18,400000;49,999835;50;9,991871;10;69,995277;34,997639;10,124614
-18,300000;50,000347;50;9,973946;10;69,995000;34,997500;10,063060
-18,200000;50,000074;50;9,985831;10;69,994723;34,997361;10,121670
-18,100000;49,999938;50;9,966589;10;69,994446;34,997223;10,106366
-18,000000;50,000009;50;10,038053;10;69,994167;34,997084;10,123220
