# YHDA_VERSION=0.6.3
# TEST_SERVICE=PFK
# PLANT_TYPE=EDUEDT
# STEP_ID=HASSASIYET
# STEP_NAME=Hassasiyet Testi — Birleşik Frekans Adımları
# TESIS_ADI=YHDA Örnek EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.3
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=100.0
# UNIT_PNOM_MW=100.0
# RPMAX_MW=20.0
# RPMIN_MW=5.0
# DROOP_PERCENT=4
# DEADBAND_MHZ=10
# PSET_MAX_MW=20.0
# PSET_MIN_MW=-20.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=70
# SENSITIVITY_SEGMENTS=BESS_SENS_NEG10,BESS_SENS_NEG20,BESS_SENS_POS10,BESS_SENS_POS20
# DATA_CLASS=ÖRNEK / SENTETİK
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;stored_energy_mwh;soc_pct;dc_power_mw
16.8.2026 09:00:00,0s;1;50,000030;50;-9,958806;-10;140,000277;70,000138;-10,056951
16.8.2026 09:00:00,1s;2;50,000043;50;-10,009644;-10;140,000555;70,000277;-10,130678
16.8.2026 09:00:00,2s;3;50,000025;50;-10,007988;-10;140,000833;70,000416;-10,109055
16.8.2026 09:00:00,3s;4;50,000199;50;-10,019745;-10;140,001111;70,000556;-10,122558
16.8.2026 09:00:00,4s;5;49,999728;50;-9,985655;-10;140,001388;70,000694;-10,041699
16.8.2026 09:00:00,5s;6;50,000118;50;-10,015395;-10;140,001667;70,000833;-10,124697
16.8.2026 09:00:00,6s;7;49,999903;50;-9,976800;-10;140,001944;70,000972;-10,074539
16.8.2026 09:00:00,7s;8;49,999934;50;-10,017095;-10;140,002222;70,001111;-10,148181
16.8.2026 09:00:00,8s;9;49,999849;50;-10,024341;-10;140,002500;70,001250;-10,156584
16.8.2026 09:00:00,9s;10;50,000015;50;-10,033813;-10;140,002779;70,001390;-10,156654
16.8.2026 09:00:01,0s;11;49,999896;50;-9,984212;-10;140,003056;70,001528;-10,131969
16.8.2026 09:00:01,1s;12;50,000092;50;-10,018835;-10;140,003335;70,001667;-10,120383
16.8.2026 09:00:01,2s;13;49,999909;50;-9,993560;-10;140,003612;70,001806;-10,116357
16.8.2026 09:00:01,3s;14;49,999792;50;-9,998290;-10;140,003890;70,001945;-10,116297
16.8.2026 09:00:01,4s;15;49,999940;50;-9,978492;-10;140,004167;70,002084;-10,090581
16.8.2026 09:00:01,5s;16;49,999939;50;-9,994613;-10;140,004445;70,002222;-10,117786
16.8.2026 09:00:01,6s;17;50,000006;50;-10,006036;-10;140,004723;70,002361;-10,140523
16.8.2026 09:00:01,7s;18;50,000321;50;-9,980801;-10;140,005000;70,002500;-10,078316
16.8.2026 09:00:01,8s;19;49,999891;50;-10,006598;-10;140,005278;70,002639;-10,127077
16.8.2026 09:00:01,9s;20;50,000133;50;-9,982243;-10;140,005555;70,002778;-10,100646
16.8.2026 09:00:02,0s;21;49,999979;50;-10,041266;-10;140,005834;70,002917;-10,169135
16.8.2026 09:00:02,1s;22;49,999973;50;-9,982942;-10;140,006112;70,003056;-10,107793
16.8.2026 09:00:02,2s;23;49,999939;50;-10,040949;-10;140,006391;70,003195;-10,175679
16.8.2026 09:00:02,3s;24;49,999988;50;-9,964217;-10;140,006667;70,003334;-10,086462
16.8.2026 09:00:02,4s;25;50,000066;50;-10,021276;-10;140,006946;70,003473;-10,159409
16.8.2026 09:00:02,5s;26;50,000071;50;-10,021839;-10;140,007224;70,003612;-10,125808
16.8.2026 09:00:02,6s;27;49,999516;50;-10,001125;-10;140,007502;70,003751;-10,127546
16.8.2026 09:00:02,7s;28;49,999990;50;-9,970461;-10;140,007779;70,003889;-10,082180
16.8.2026 09:00:02,8s;29;49,999732;50;-10,028914;-10;140,008057;70,004029;-10,144163
16.8.2026 09:00:02,9s;30;49,999890;50;-9,957120;-10;140,008334;70,004167;-10,063376
16.8.2026 09:00:03,0s;31;50,000026;50;-9,964160;-10;140,008611;70,004305;-10,117731
16.8.2026 09:00:03,1s;32;50,000079;50;-9,973257;-10;140,008888;70,004444;-10,138582
16.8.2026 09:00:03,2s;33;49,999681;50;-9,977376;-10;140,009165;70,004582;-10,081758
16.8.2026 09:00:03,3s;34;49,999973;50;-10,029269;-10;140,009444;70,004722;-10,136896
16.8.2026 09:00:03,4s;35;50,000059;50;-10,029137;-10;140,009722;70,004861;-10,187303
16.8.2026 09:00:03,5s;36;50,000122;50;-9,960810;-10;140,009999;70,004999;-10,106955
16.8.2026 09:00:03,6s;37;50,000126;50;-9,998713;-10;140,010277;70,005138;-10,136348
16.8.2026 09:00:03,7s;38;49,999946;50;-9,993398;-10;140,010554;70,005277;-10,111246
16.8.2026 09:00:03,8s;39;49,999590;50;-10,000826;-10;140,010832;70,005416;-10,140086
16.8.2026 09:00:03,9s;40;50,000011;50;-9,993235;-10;140,011110;70,005555;-10,105838
16.8.2026 09:00:04,0s;41;49,999878;50;-9,992339;-10;140,011387;70,005694;-10,128298
16.8.2026 09:00:04,1s;42;49,999727;50;-9,992267;-10;140,011665;70,005832;-10,101243
16.8.2026 09:00:04,2s;43;50,000018;50;-10,012366;-10;140,011943;70,005971;-10,103157
16.8.2026 09:00:04,3s;44;50,000090;50;-9,999407;-10;140,012221;70,006110;-10,088607
16.8.2026 09:00:04,4s;45;49,999725;50;-9,983094;-10;140,012498;70,006249;-10,096603
16.8.2026 09:00:04,5s;46;49,999799;50;-9,984497;-10;140,012775;70,006388;-10,125555
16.8.2026 09:00:04,6s;47;49,999665;50;-9,998072;-10;140,013053;70,006526;-10,092169
16.8.2026 09:00:04,7s;48;49,999612;50;-10,027638;-10;140,013331;70,006666;-10,143900
16.8.2026 09:00:04,8s;49;49,999975;50;-10,021767;-10;140,013610;70,006805;-10,123085
16.8.2026 09:00:04,9s;50;49,999696;50;-10,008023;-10;140,013888;70,006944;-10,132509
16.8.2026 09:00:05,0s;51;50,000102;50;-9,944056;-10;140,014164;70,007082;-10,066461
16.8.2026 09:00:05,1s;52;49,999905;50;-9,989800;-10;140,014442;70,007221;-10,134362
16.8.2026 09:00:05,2s;53;50,000127;50;-9,988789;-10;140,014719;70,007360;-10,126772
16.8.2026 09:00:05,3s;54;50,000041;50;-10,004234;-10;140,014997;70,007498;-10,165943
16.8.2026 09:00:05,4s;55;50,000208;50;-9,938303;-10;140,015273;70,007636;-10,042525
16.8.2026 09:00:05,5s;56;50,000000;50;-9,980057;-10;140,015550;70,007775;-10,109309
16.8.2026 09:00:05,6s;57;49,999891;50;-10,018363;-10;140,015829;70,007914;-10,125143
16.8.2026 09:00:05,7s;58;50,000316;50;-10,009641;-10;140,016107;70,008053;-10,150579
16.8.2026 09:00:05,8s;59;50,000133;50;-9,964102;-10;140,016383;70,008192;-10,110376
16.8.2026 09:00:05,9s;60;49,999983;50;-9,971076;-10;140,016660;70,008330;-10,072307
16.8.2026 09:00:06,0s;61;49,999831;50;-10,027711;-10;140,016939;70,008469;-10,173035
16.8.2026 09:00:06,1s;62;50,000212;50;-10,011846;-10;140,017217;70,008608;-10,120669
16.8.2026 09:00:06,2s;63;49,999948;50;-9,982592;-10;140,017494;70,008747;-10,082859
16.8.2026 09:00:06,3s;64;49,999996;50;-9,971139;-10;140,017771;70,008886;-10,099619
16.8.2026 09:00:06,4s;65;49,999924;50;-10,003116;-10;140,018049;70,009025;-10,087505
16.8.2026 09:00:06,5s;66;50,000018;50;-9,989040;-10;140,018327;70,009163;-10,107908
16.8.2026 09:00:06,6s;67;49,999807;50;-9,987222;-10;140,018604;70,009302;-10,081125
16.8.2026 09:00:06,7s;68;49,999985;50;-9,983849;-10;140,018881;70,009441;-10,102512
16.8.2026 09:00:06,8s;69;49,999820;50;-10,029219;-10;140,019160;70,009580;-10,139438
16.8.2026 09:00:06,9s;70;49,999766;50;-10,008487;-10;140,019438;70,009719;-10,127404
16.8.2026 09:00:07,0s;71;50,000012;50;-9,999571;-10;140,019716;70,009858;-10,118049
16.8.2026 09:00:07,1s;72;50,000187;50;-9,967400;-10;140,019993;70,009996;-10,110483
16.8.2026 09:00:07,2s;73;49,999614;50;-9,989301;-10;140,020270;70,010135;-10,132427
16.8.2026 09:00:07,3s;74;50,000100;50;-9,977704;-10;140,020547;70,010274;-10,072126
16.8.2026 09:00:07,4s;75;49,999880;50;-9,989569;-10;140,020825;70,010412;-10,118988
16.8.2026 09:00:07,5s;76;49,999996;50;-10,006235;-10;140,021103;70,010551;-10,151524
16.8.2026 09:00:07,6s;77;49,999995;50;-10,017090;-10;140,021381;70,010690;-10,167534
16.8.2026 09:00:07,7s;78;50,000184;50;-10,000540;-10;140,021659;70,010829;-10,125166
16.8.2026 09:00:07,8s;79;50,000116;50;-9,989573;-10;140,021936;70,010968;-10,078054
16.8.2026 09:00:07,9s;80;50,000220;50;-10,018507;-10;140,022214;70,011107;-10,162804
16.8.2026 09:00:08,0s;81;49,999843;50;-10,014818;-10;140,022493;70,011246;-10,104905
16.8.2026 09:00:08,1s;82;50,000275;50;-9,998360;-10;140,022770;70,011385;-10,104102
16.8.2026 09:00:08,2s;83;49,999614;50;-9,957714;-10;140,023047;70,011523;-10,043995
16.8.2026 09:00:08,3s;84;50,000222;50;-9,996066;-10;140,023325;70,011662;-10,105035
16.8.2026 09:00:08,4s;85;49,999820;50;-9,972433;-10;140,023602;70,011801;-10,087347
16.8.2026 09:00:08,5s;86;50,000223;50;-10,029034;-10;140,023880;70,011940;-10,136502
16.8.2026 09:00:08,6s;87;50,000176;50;-10,032358;-10;140,024159;70,012079;-10,175062
16.8.2026 09:00:08,7s;88;49,999937;50;-9,978298;-10;140,024436;70,012218;-10,089843
16.8.2026 09:00:08,8s;89;49,999893;50;-9,966236;-10;140,024713;70,012356;-10,102336
16.8.2026 09:00:08,9s;90;49,999870;50;-9,991518;-10;140,024990;70,012495;-10,089143
16.8.2026 09:00:09,0s;91;50,000026;50;-10,036770;-10;140,025269;70,012635;-10,144923
16.8.2026 09:00:09,1s;92;50,000073;50;-9,996031;-10;140,025547;70,012773;-10,137560
16.8.2026 09:00:09,2s;93;50,000124;50;-10,028906;-10;140,025826;70,012913;-10,122656
16.8.2026 09:00:09,3s;94;49,999813;50;-10,048431;-10;140,026105;70,013052;-10,148263
16.8.2026 09:00:09,4s;95;49,999805;50;-10,025606;-10;140,026383;70,013192;-10,142853
16.8.2026 09:00:09,5s;96;50,000069;50;-10,004079;-10;140,026661;70,013331;-10,117224
16.8.2026 09:00:09,6s;97;49,999997;50;-9,995581;-10;140,026939;70,013469;-10,139419
16.8.2026 09:00:09,7s;98;49,999856;50;-10,038141;-10;140,027218;70,013609;-10,157747
16.8.2026 09:00:09,8s;99;50,000385;50;-10,034198;-10;140,027496;70,013748;-10,155343
16.8.2026 09:00:09,9s;100;50,000022;50;-9,972145;-10;140,027773;70,013887;-10,078946
16.8.2026 09:00:10,0s;101;50,000180;50;-9,992375;-10;140,028051;70,014025;-10,155591
16.8.2026 09:00:10,1s;102;49,999753;50;-10,011885;-10;140,028329;70,014164;-10,135311
16.8.2026 09:00:10,2s;103;49,999975;50;-10,048569;-10;140,028608;70,014304;-10,170549
16.8.2026 09:00:10,3s;104;50,000202;50;-10,022580;-10;140,028886;70,014443;-10,128903
16.8.2026 09:00:10,4s;105;49,999971;50;-10,012857;-10;140,029165;70,014582;-10,136949
16.8.2026 09:00:10,5s;106;49,999929;50;-9,970021;-10;140,029442;70,014721;-10,129430
16.8.2026 09:00:10,6s;107;50,000163;50;-10,011565;-10;140,029720;70,014860;-10,164729
16.8.2026 09:00:10,7s;108;50,000025;50;-10,046512;-10;140,029999;70,014999;-10,153199
16.8.2026 09:00:10,8s;109;50,000123;50;-10,027848;-10;140,030277;70,015139;-10,165645
16.8.2026 09:00:10,9s;110;50,000100;50;-10,000752;-10;140,030555;70,015278;-10,119039
16.8.2026 09:00:11,0s;111;49,999953;50;-9,999725;-10;140,030833;70,015416;-10,124213
16.8.2026 09:00:11,1s;112;49,999933;50;-10,003012;-10;140,031111;70,015555;-10,137045
