# YHDA_VERSION=0.6.2
# TEST_SERVICE=PFK
# PLANT_TYPE=HES
# STEP_ID=HASSASIYET
# STEP_NAME=Hassasiyet — 49,990 Hz
# TESIS_ADI=YHDA Örnek HES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=500.0
# UNIT_PNOM_MW=500.0
# RPMAX_MW=25.0
# RPMIN_MW=25.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=460.0
# PSET_MIN_MW=140.0
# UNIT_NOMINAL_SPEED_RPM=150
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# SENSITIVITY_SEGMENTS=SENS_49_990,SENS_49_995,SENS_50_005,SENS_50_010
# DATA_CLASS=ÖRNEK / SENTETİK
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;guide_vane_pct
16.8.2026 09:00:00,0s;1;49,999961;50,000000;459,972474;460,000000;55,025363
16.8.2026 09:00:00,1s;2;50,000326;50,000000;459,974707;460,000000;54,987212
16.8.2026 09:00:00,2s;3;49,999985;50,000000;460,023001;460,000000;55,001172
16.8.2026 09:00:00,3s;4;49,999664;50,000000;460,017224;460,000000;54,995348
16.8.2026 09:00:00,4s;5;49,999776;50,000000;459,924269;460,000000;55,002814
16.8.2026 09:00:00,5s;6;50,000188;50,000000;460,042470;460,000000;55,003872
16.8.2026 09:00:00,6s;7;50,000125;50,000000;459,980101;460,000000;55,011605
16.8.2026 09:00:00,7s;8;49,999946;50,000000;459,988408;460,000000;55,022345
16.8.2026 09:00:00,8s;9;50,000001;50,000000;459,985729;460,000000;55,030701
16.8.2026 09:00:00,9s;10;50,000154;50,000000;460,015396;460,000000;55,007544
16.8.2026 09:00:01,0s;11;49,999775;50,000000;460,000514;460,000000;54,986346
16.8.2026 09:00:01,1s;12;50,000179;50,000000;460,060382;460,000000;55,019635
16.8.2026 09:00:01,2s;13;50,000273;50,000000;459,967316;460,000000;55,014499
16.8.2026 09:00:01,3s;14;50,000066;50,000000;460,016363;460,000000;54,980956
16.8.2026 09:00:01,4s;15;49,999899;50,000000;460,034084;460,000000;54,992346
16.8.2026 09:00:01,5s;16;49,999850;50,000000;460,025237;460,000000;55,022522
16.8.2026 09:00:01,6s;17;49,999872;50,000000;460,023549;460,000000;55,027969
16.8.2026 09:00:01,7s;18;49,999927;50,000000;460,019953;460,000000;54,989813
16.8.2026 09:00:01,8s;19;50,000051;50,000000;460,043139;460,000000;54,954552
16.8.2026 09:00:01,9s;20;50,000171;50,000000;459,945292;460,000000;54,985320
16.8.2026 09:00:02,0s;21;49,999954;50,000000;459,985183;460,000000;55,021638
16.8.2026 09:00:02,1s;22;49,999996;50,000000;460,026219;460,000000;55,018438
16.8.2026 09:00:02,2s;23;49,999899;50,000000;459,993319;460,000000;54,980223
16.8.2026 09:00:02,3s;24;50,000035;50,000000;459,985143;460,000000;54,966001
16.8.2026 09:00:02,4s;25;50,000034;50,000000;460,007948;460,000000;54,997952
16.8.2026 09:00:02,5s;26;50,000233;50,000000;459,975911;460,000000;55,022556
16.8.2026 09:00:02,6s;27;50,000405;50,000000;459,981496;460,000000;54,981454
16.8.2026 09:00:02,7s;28;50,000140;50,000000;459,933101;460,000000;55,020170
16.8.2026 09:00:02,8s;29;50,000412;50,000000;460,041504;460,000000;54,953448
16.8.2026 09:00:02,9s;30;49,999967;50,000000;459,982892;460,000000;55,001996
16.8.2026 09:00:03,0s;31;49,999805;50,000000;459,995218;460,000000;54,984364
16.8.2026 09:00:03,1s;32;49,999768;50,000000;460,006653;460,000000;54,987034
16.8.2026 09:00:03,2s;33;49,999870;50,000000;460,010604;460,000000;55,013301
16.8.2026 09:00:03,3s;34;50,000226;50,000000;459,956756;460,000000;55,012916
16.8.2026 09:00:03,4s;35;49,999980;50,000000;459,987695;460,000000;54,988192
16.8.2026 09:00:03,5s;36;50,000349;50,000000;459,979923;460,000000;54,992444
16.8.2026 09:00:03,6s;37;50,000091;50,000000;459,984614;460,000000;54,994695
16.8.2026 09:00:03,7s;38;50,000089;50,000000;460,036810;460,000000;54,989789
16.8.2026 09:00:03,8s;39;50,000093;50,000000;460,003975;460,000000;55,016515
16.8.2026 09:00:03,9s;40;50,000076;50,000000;459,993944;460,000000;54,955447
16.8.2026 09:00:04,0s;41;50,000053;50,000000;460,009272;460,000000;55,024215
16.8.2026 09:00:04,1s;42;49,999888;50,000000;459,974215;460,000000;54,966894
16.8.2026 09:00:04,2s;43;50,000189;50,000000;459,958862;460,000000;55,033539
16.8.2026 09:00:04,3s;44;50,000127;50,000000;459,997642;460,000000;55,003076
16.8.2026 09:00:04,4s;45;49,999907;50,000000;459,972461;460,000000;54,985065
16.8.2026 09:00:04,5s;46;50,000207;50,000000;459,956498;460,000000;55,027635
16.8.2026 09:00:04,6s;47;49,999753;50,000000;459,963822;460,000000;55,020020
16.8.2026 09:00:04,7s;48;49,999660;50,000000;459,994288;460,000000;54,987499
