# YHDA_VERSION=0.7.2
# TEST_SERVICE=PFK
# PLANT_TYPE=HES
# STEP_ID=MAKSIMUM_REZERV
# STEP_NAME=Maksimum rezerv — birleşik −200/+200 mHz olayları
# TESIS_ADI=YHDA Örnek HES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.2
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=500.0
# UNIT_PNOM_MW=500.0
# RPMAX_MW=25.0
# RPMIN_MW=25.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=460.0
# PSET_MIN_MW=140.0
# UNIT_NOMINAL_SPEED_RPM=150
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# YDA_VERSION=0.7.2
# EVENT_SEQUENCE=NEG200,POS200
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;guide_vane_pct
16.8.2026 09:00:00,0s;1;49,997234;50,000000;460,100916;460,000000;55,055792
16.8.2026 09:00:00,1s;2;49,997501;50,000000;460,105770;460,000000;54,998133
16.8.2026 09:00:00,2s;3;49,997035;50,000000;460,127471;460,000000;55,024537
16.8.2026 09:00:00,3s;4;49,997269;50,000000;460,033121;460,000000;54,928625
16.8.2026 09:00:00,4s;5;49,997042;50,000000;459,987070;460,000000;54,997447
16.8.2026 09:00:00,5s;6;49,997187;50,000000;460,005793;460,000000;55,022188
16.8.2026 09:00:00,6s;7;49,997440;50,000000;460,234474;460,000000;54,984763
16.8.2026 09:00:00,7s;8;49,997848;50,000000;460,026913;460,000000;55,034334
16.8.2026 09:00:00,8s;9;49,997971;50,000000;459,985312;460,000000;55,005409
16.8.2026 09:00:00,9s;10;49,997739;50,000000;459,892445;460,000000;55,013360
16.8.2026 09:00:01,0s;11;49,997140;50,000000;460,058926;460,000000;55,016794
16.8.2026 09:00:01,1s;12;49,997462;50,000000;460,102404;460,000000;54,937158
16.8.2026 09:00:01,2s;13;49,997341;50,000000;460,023846;460,000000;55,076042
16.8.2026 09:00:01,3s;14;49,998091;50,000000;459,961162;460,000000;54,981791
16.8.2026 09:00:01,4s;15;49,997462;50,000000;460,125665;460,000000;55,014817
16.8.2026 09:00:01,5s;16;49,997714;50,000000;459,987730;460,000000;54,972878
16.8.2026 09:00:01,6s;17;49,997401;50,000000;459,911025;460,000000;55,021311
16.8.2026 09:00:01,7s;18;49,997696;50,000000;459,913591;460,000000;55,050787
16.8.2026 09:00:01,8s;19;49,997602;50,000000;460,031623;460,000000;54,981986
16.8.2026 09:00:01,9s;20;49,997306;50,000000;459,885325;460,000000;55,012197
16.8.2026 09:00:02,0s;21;49,997673;50,000000;460,120964;460,000000;54,972757
16.8.2026 09:00:02,1s;22;49,997891;50,000000;459,917761;460,000000;55,009364
16.8.2026 09:00:02,2s;23;49,997733;50,000000;460,075200;460,000000;55,000571
16.8.2026 09:00:02,3s;24;49,997942;50,000000;459,950097;460,000000;54,978011
16.8.2026 09:00:02,4s;25;49,997233;50,000000;459,976590;460,000000;55,053807
16.8.2026 09:00:02,5s;26;49,997985;50,000000;459,932224;460,000000;55,019723
16.8.2026 09:00:02,6s;27;49,997463;50,000000;459,967359;460,000000;54,947542
16.8.2026 09:00:02,7s;28;49,997522;50,000000;459,835847;460,000000;55,011527
16.8.2026 09:00:02,8s;29;49,997671;50,000000;460,038737;460,000000;54,919068
16.8.2026 09:00:02,9s;30;49,997795;50,000000;460,010703;460,000000;54,878135
16.8.2026 09:00:03,0s;31;49,997407;50,000000;459,983716;460,000000;55,031262
16.8.2026 09:00:03,1s;32;49,997867;50,000000;460,095480;460,000000;55,064801
16.8.2026 09:00:03,2s;33;49,997966;50,000000;460,020337;460,000000;54,998585
16.8.2026 09:00:03,3s;34;49,997809;50,000000;460,026421;460,000000;55,052216
16.8.2026 09:00:03,4s;35;49,997976;50,000000;460,002739;460,000000;54,979468
16.8.2026 09:00:03,5s;36;49,997328;50,000000;460,044240;460,000000;54,956176
16.8.2026 09:00:03,6s;37;49,997739;50,000000;459,990813;460,000000;55,013160
16.8.2026 09:00:03,7s;38;49,997703;50,000000;460,170665;460,000000;54,999995
16.8.2026 09:00:03,8s;39;49,997386;50,000000;460,078439;460,000000;54,946527
16.8.2026 09:00:03,9s;40;49,997659;50,000000;460,172176;460,000000;55,023882
16.8.2026 09:00:04,0s;41;49,997615;50,000000;459,968083;460,000000;54,987751
16.8.2026 09:00:04,1s;42;49,998123;50,000000;459,878173;460,000000;55,024674
16.8.2026 09:00:04,2s;43;49,997862;50,000000;460,113335;460,000000;54,956257
16.8.2026 09:00:04,3s;44;49,997948;50,000000;459,993841;460,000000;55,033365
16.8.2026 09:00:04,4s;45;49,997801;50,000000;460,062230;460,000000;55,071776
16.8.2026 09:00:04,5s;46;49,997900;50,000000;459,962141;460,000000;55,016481
16.8.2026 09:00:04,6s;47;49,997946;50,000000;460,151364;460,000000;55,023875
16.8.2026 09:00:04,7s;48;49,997726;50,000000;459,931477;460,000000;54,985106
16.8.2026 09:00:04,8s;49;49,997711;50,000000;460,036118;460,000000;54,952794
16.8.2026 09:00:04,9s;50;49,998451;50,000000;460,115949;460,000000;54,949281
16.8.2026 09:00:05,0s;51;49,998013;50,000000;460,059934;460,000000;55,017800
16.8.2026 09:00:05,1s;52;49,998175;50,000000;460,128156;460,000000;55,039909
16.8.2026 09:00:05,2s;53;49,997721;50,000000;459,902212;460,000000;55,021641
16.8.2026 09:00:05,3s;54;49,997851;50,000000;460,039129;460,000000;55,052882
16.8.2026 09:00:05,4s;55;49,998200;50,000000;459,982099;460,000000;54,951477
16.8.2026 09:00:05,5s;56;49,998151;50,000000;459,856133;460,000000;54,989969
16.8.2026 09:00:05,6s;57;49,997932;50,000000;460,051698;460,000000;55,043985
16.8.2026 09:00:05,7s;58;49,997682;50,000000;459,851071;460,000000;55,024898
16.8.2026 09:00:05,8s;59;49,998080;50,000000;459,880183;460,000000;54,982390
16.8.2026 09:00:05,9s;60;49,998266;50,000000;459,964269;460,000000;54,967764
16.8.2026 09:00:06,0s;61;49,997769;50,000000;460,053421;460,000000;55,008486
16.8.2026 09:00:06,1s;62;49,997779;50,000000;459,983324;460,000000;54,960800
16.8.2026 09:00:06,2s;63;49,997714;50,000000;459,894069;460,000000;55,022494
16.8.2026 09:00:06,3s;64;49,998147;50,000000;459,893481;460,000000;55,000393
16.8.2026 09:00:06,4s;65;49,998022;50,000000;460,073802;460,000000;55,020423
16.8.2026 09:00:06,5s;66;49,998065;50,000000;460,036261;460,000000;54,998841
16.8.2026 09:00:06,6s;67;49,998397;50,000000;460,096496;460,000000;55,061805
16.8.2026 09:00:06,7s;68;49,997559;50,000000;460,002606;460,000000;55,003843
16.8.2026 09:00:06,8s;69;49,998345;50,000000;459,914288;460,000000;55,054282
16.8.2026 09:00:06,9s;70;49,998326;50,000000;459,950503;460,000000;55,010366
16.8.2026 09:00:07,0s;71;49,998066;50,000000;460,004219;460,000000;55,051798
16.8.2026 09:00:07,1s;72;49,998046;50,000000;459,979512;460,000000;54,932035
16.8.2026 09:00:07,2s;73;49,998098;50,000000;460,008451;460,000000;55,032738
16.8.2026 09:00:07,3s;74;49,998483;50,000000;459,999462;460,000000;55,000671
16.8.2026 09:00:07,4s;75;49,998226;50,000000;460,087154;460,000000;55,012157
16.8.2026 09:00:07,5s;76;49,997832;50,000000;460,069265;460,000000;54,945167
16.8.2026 09:00:07,6s;77;49,998607;50,000000;459,921888;460,000000;54,955571
16.8.2026 09:00:07,7s;78;49,998037;50,000000;459,972021;460,000000;55,021369
16.8.2026 09:00:07,8s;79;49,998186;50,000000;460,035462;460,000000;54,975420
16.8.2026 09:00:07,9s;80;49,998287;50,000000;459,883138;460,000000;54,987335
