# YHDA_VERSION=0.7.2
# TEST_SERVICE=PFK
# PLANT_TYPE=HES
# STEP_ID=MINIMUM_REZERV
# STEP_NAME=Minimum rezerv — birleşik −200/+200 mHz olayları
# TESIS_ADI=YHDA Örnek HES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.2
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=500.0
# UNIT_PNOM_MW=500.0
# RPMAX_MW=25.0
# RPMIN_MW=25.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=460.0
# PSET_MIN_MW=140.0
# UNIT_NOMINAL_SPEED_RPM=150
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# YDA_VERSION=0.7.2
# EVENT_SEQUENCE=NEG200,POS200
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;guide_vane_pct
16.8.2026 09:00:00,0s;1;49,997537;50,000000;139,984317;140,000000;55,011882
16.8.2026 09:00:00,1s;2;49,997353;50,000000;139,869902;140,000000;54,971526
16.8.2026 09:00:00,2s;3;49,997103;50,000000;140,012602;140,000000;54,981889
16.8.2026 09:00:00,3s;4;49,997744;50,000000;139,938963;140,000000;54,969710
16.8.2026 09:00:00,4s;5;49,997123;50,000000;140,048797;140,000000;55,000413
16.8.2026 09:00:00,5s;6;49,997193;50,000000;139,876598;140,000000;55,034971
16.8.2026 09:00:00,6s;7;49,997263;50,000000;139,945960;140,000000;54,996072
16.8.2026 09:00:00,7s;8;49,997168;50,000000;140,199465;140,000000;55,021165
16.8.2026 09:00:00,8s;9;49,997486;50,000000;140,107064;140,000000;54,983421
16.8.2026 09:00:00,9s;10;49,997187;50,000000;139,967594;140,000000;54,996322
16.8.2026 09:00:01,0s;11;49,997686;50,000000;140,079247;140,000000;55,058845
16.8.2026 09:00:01,1s;12;49,996924;50,000000;139,882119;140,000000;55,118124
16.8.2026 09:00:01,2s;13;49,997276;50,000000;139,956776;140,000000;55,030842
16.8.2026 09:00:01,3s;14;49,997400;50,000000;140,017614;140,000000;55,023310
16.8.2026 09:00:01,4s;15;49,997346;50,000000;140,169890;140,000000;54,987074
16.8.2026 09:00:01,5s;16;49,997421;50,000000;140,070736;140,000000;55,034492
16.8.2026 09:00:01,6s;17;49,997634;50,000000;140,056651;140,000000;54,923079
16.8.2026 09:00:01,7s;18;49,997690;50,000000;140,036615;140,000000;54,957475
16.8.2026 09:00:01,8s;19;49,997652;50,000000;139,959502;140,000000;54,984608
16.8.2026 09:00:01,9s;20;49,997345;50,000000;140,041627;140,000000;54,964341
16.8.2026 09:00:02,0s;21;49,997145;50,000000;139,998333;140,000000;54,984806
16.8.2026 09:00:02,1s;22;49,997667;50,000000;139,891889;140,000000;55,053272
16.8.2026 09:00:02,2s;23;49,997525;50,000000;139,886330;140,000000;54,981580
16.8.2026 09:00:02,3s;24;49,997575;50,000000;140,036549;140,000000;55,073026
16.8.2026 09:00:02,4s;25;49,997614;50,000000;139,999655;140,000000;55,018381
16.8.2026 09:00:02,5s;26;49,997258;50,000000;140,007243;140,000000;54,990648
16.8.2026 09:00:02,6s;27;49,997540;50,000000;139,910560;140,000000;55,022993
16.8.2026 09:00:02,7s;28;49,997136;50,000000;139,937744;140,000000;54,920440
16.8.2026 09:00:02,8s;29;49,997788;50,000000;140,129943;140,000000;54,975951
16.8.2026 09:00:02,9s;30;49,997858;50,000000;140,016643;140,000000;55,081643
16.8.2026 09:00:03,0s;31;49,997384;50,000000;140,006868;140,000000;55,054666
16.8.2026 09:00:03,1s;32;49,997751;50,000000;140,149679;140,000000;55,016931
16.8.2026 09:00:03,2s;33;49,997885;50,000000;139,915397;140,000000;55,020109
16.8.2026 09:00:03,3s;34;49,997949;50,000000;139,994168;140,000000;55,017357
16.8.2026 09:00:03,4s;35;49,997608;50,000000;140,032930;140,000000;55,017981
16.8.2026 09:00:03,5s;36;49,998268;50,000000;139,949391;140,000000;55,004869
16.8.2026 09:00:03,6s;37;49,997623;50,000000;139,903184;140,000000;54,929320
16.8.2026 09:00:03,7s;38;49,997625;50,000000;139,975614;140,000000;54,981980
16.8.2026 09:00:03,8s;39;49,997856;50,000000;140,064805;140,000000;54,964137
16.8.2026 09:00:03,9s;40;49,997632;50,000000;139,955018;140,000000;54,974882
16.8.2026 09:00:04,0s;41;49,997511;50,000000;140,040546;140,000000;55,007404
16.8.2026 09:00:04,1s;42;49,997542;50,000000;140,113360;140,000000;54,960078
16.8.2026 09:00:04,2s;43;49,997681;50,000000;140,011816;140,000000;55,060392
16.8.2026 09:00:04,3s;44;49,998154;50,000000;139,924341;140,000000;55,038421
16.8.2026 09:00:04,4s;45;49,997494;50,000000;140,071332;140,000000;55,038184
16.8.2026 09:00:04,5s;46;49,998420;50,000000;139,995908;140,000000;55,019887
16.8.2026 09:00:04,6s;47;49,997563;50,000000;139,848408;140,000000;54,961439
16.8.2026 09:00:04,7s;48;49,997649;50,000000;139,924618;140,000000;54,948586
16.8.2026 09:00:04,8s;49;49,998221;50,000000;140,035118;140,000000;54,982543
16.8.2026 09:00:04,9s;50;49,998431;50,000000;139,962219;140,000000;55,022424
16.8.2026 09:00:05,0s;51;49,998033;50,000000;140,009507;140,000000;54,956179
16.8.2026 09:00:05,1s;52;49,997948;50,000000;139,847920;140,000000;54,951384
16.8.2026 09:00:05,2s;53;49,998051;50,000000;140,008242;140,000000;55,015319
16.8.2026 09:00:05,3s;54;49,998482;50,000000;139,917542;140,000000;55,027562
16.8.2026 09:00:05,4s;55;49,998011;50,000000;140,001347;140,000000;54,975344
16.8.2026 09:00:05,5s;56;49,998280;50,000000;140,088726;140,000000;55,052569
16.8.2026 09:00:05,6s;57;49,998327;50,000000;140,055804;140,000000;55,021478
16.8.2026 09:00:05,7s;58;49,997886;50,000000;140,119523;140,000000;54,978216
16.8.2026 09:00:05,8s;59;49,997867;50,000000;140,092084;140,000000;55,017960
16.8.2026 09:00:05,9s;60;49,997914;50,000000;139,908115;140,000000;55,028097
16.8.2026 09:00:06,0s;61;49,998374;50,000000;139,991084;140,000000;55,033881
16.8.2026 09:00:06,1s;62;49,998096;50,000000;140,231818;140,000000;54,961577
16.8.2026 09:00:06,2s;63;49,998369;50,000000;139,992080;140,000000;54,991695
16.8.2026 09:00:06,3s;64;49,998030;50,000000;140,043132;140,000000;54,991370
16.8.2026 09:00:06,4s;65;49,997973;50,000000;140,032714;140,000000;54,960887
16.8.2026 09:00:06,5s;66;49,998337;50,000000;139,953519;140,000000;55,037877
16.8.2026 09:00:06,6s;67;49,997955;50,000000;140,010091;140,000000;55,043167
16.8.2026 09:00:06,7s;68;49,998007;50,000000;139,991007;140,000000;54,966756
16.8.2026 09:00:06,8s;69;49,998042;50,000000;140,042730;140,000000;55,047992
16.8.2026 09:00:06,9s;70;49,997945;50,000000;140,076956;140,000000;55,067082
16.8.2026 09:00:07,0s;71;49,998492;50,000000;139,991512;140,000000;54,936655
16.8.2026 09:00:07,1s;72;49,998193;50,000000;140,127994;140,000000;55,062518
16.8.2026 09:00:07,2s;73;49,998454;50,000000;139,976438;140,000000;55,031866
16.8.2026 09:00:07,3s;74;49,998163;50,000000;140,091245;140,000000;55,095492
16.8.2026 09:00:07,4s;75;49,998127;50,000000;139,950028;140,000000;55,044160
16.8.2026 09:00:07,5s;76;49,998246;50,000000;140,080394;140,000000;55,079323
16.8.2026 09:00:07,6s;77;49,998164;50,000000;139,827789;140,000000;54,966365
16.8.2026 09:00:07,7s;78;49,998619;50,000000;140,102027;140,000000;54,948942
16.8.2026 09:00:07,8s;79;49,998840;50,000000;139,913622;140,000000;55,032634
16.8.2026 09:00:07,9s;80;49,998378;50,000000;140,064124;140,000000;54,995030
16.8.2026 09:00:08,0s;81;49,998250;50,000000;139,953675;140,000000;54,928853
16.8.2026 09:00:08,1s;82;49,998155;50,000000;139,971060;140,000000;55,012473
16.8.2026 09:00:08,2s;83;49,998166;50,000000;139,916049;140,000000;55,002092
16.8.2026 09:00:08,3s;84;49,998457;50,000000;139,862034;140,000000;55,001037
16.8.2026 09:00:08,4s;85;49,998149;50,000000;139,840814;140,000000;55,003794
16.8.2026 09:00:08,5s;86;49,997722;50,000000;140,027355;140,000000;55,043513
16.8.2026 09:00:08,6s;87;49,998665;50,000000;139,983794;140,000000;55,012121
16.8.2026 09:00:08,7s;88;49,999116;50,000000;139,910742;140,000000;55,003877
16.8.2026 09:00:08,8s;89;49,998359;50,000000;140,043084;140,000000;54,950014
16.8.2026 09:00:08,9s;90;49,998321;50,000000;139,895287;140,000000;54,979947
16.8.2026 09:00:09,0s;91;49,998370;50,000000;140,096797;140,000000;55,024624
16.8.2026 09:00:09,1s;92;49,998530;50,000000;139,989415;140,000000;54,942457
16.8.2026 09:00:09,2s;93;49,998167;50,000000;140,004328;140,000000;55,020617
16.8.2026 09:00:09,3s;94;49,998723;50,000000;140,045993;140,000000;55,011218
16.8.2026 09:00:09,4s;95;49,998373;50,000000;139,996561;140,000000;55,020591
16.8.2026 09:00:09,5s;96;49,998003;50,000000;139,938202;140,000000;54,984553
16.8.2026 09:00:09,6s;97;49,998087;50,000000;140,028223;140,000000;55,000155
16.8.2026 09:00:09,7s;98;49,998438;50,000000;139,923629;140,000000;55,029441
16.8.2026 09:00:09,8s;99;49,998332;50,000000;139,918474;140,000000;54,991393
16.8.2026 09:00:09,9s;100;49,998740;50,000000;139,988719;140,000000;55,040310
16.8.2026 09:00:10,0s;101;49,998236;50,000000;139,961707;140,000000;55,045995
16.8.2026 09:00:10,1s;102;49,998655;50,000000;139,946667;140,000000;54,976336
16.8.2026 09:00:10,2s;103;49,998695;50,000000;139,906101;140,000000;54,988230
16.8.2026 09:00:10,3s;104;49,998223;50,000000;139,951740;140,000000;54,979361
16.8.2026 09:00:10,4s;105;49,998531;50,000000;139,984072;140,000000;55,006265
16.8.2026 09:00:10,5s;106;49,998993;50,000000;139,897703;140,000000;54,995929
16.8.2026 09:00:10,6s;107;49,998284;50,000000;140,048634;140,000000;54,943851
16.8.2026 09:00:10,7s;108;49,998774;50,000000;139,996615;140,000000;54,986618
16.8.2026 09:00:10,8s;109;49,998593;50,000000;139,988049;140,000000;55,038637
16.8.2026 09:00:10,9s;110;49,998917;50,000000;140,167969;140,000000;55,026869
16.8.2026 09:00:11,0s;111;49,999028;50,000000;139,907972;140,000000;55,038779
16.8.2026 09:00:11,1s;112;49,998726;50,000000;139,900650;140,000000;54,998069
16.8.2026 09:00:11,2s;113;49,998804;50,000000;139,907971;140,000000;54,989386
16.8.2026 09:00:11,3s;114;49,998618;50,000000;139,915703;140,000000;55,030878
16.8.2026 09:00:11,4s;115;49,998967;50,000000;140,091232;140,000000;55,033144
16.8.2026 09:00:11,5s;116;49,998786;50,000000;139,903949;140,000000;54,962656
16.8.2026 09:00:11,6s;117;49,998852;50,000000;140,078700;140,000000;54,929725
16.8.2026 09:00:11,7s;118;49,998521;50,000000;140,019581;140,000000;55,032981
16.8.2026 09:00:11,8s;119;49,999133;50,000000;139,957981;140,000000;54,984977
16.8.2026 09:00:11,9s;120;49,998597;50,000000;140,009320;140,000000;55,025520
16.8.2026 09:00:12,0s;121;49,998392;50,000000;139,938322;140,000000;54,976235
16.8.2026 09:00:12,1s;122;49,999104;50,000000;140,020694;140,000000;55,014969
16.8.2026 09:00:12,2s;123;49,998589;50,000000;140,078280;140,000000;55,003947
16.8.2026 09:00:12,3s;124;49,999269;50,000000;140,030361;140,000000;55,034421
16.8.2026 09:00:12,4s;125;49,998887;50,000000;140,033073;140,000000;54,997561
16.8.2026 09:00:12,5s;126;49,998720;50,000000;139,806359;140,000000;55,023900
16.8.2026 09:00:12,6s;127;49,999332;50,000000;140,059774;140,000000;55,037469
16.8.2026 09:00:12,7s;128;49,999024;50,000000;140,152446;140,000000;54,982757
16.8.2026 09:00:12,8s;129;49,998675;50,000000;139,861424;140,000000;55,027257
16.8.2026 09:00:12,9s;130;49,999058;50,000000;140,102250;140,000000;54,996857
16.8.2026 09:00:13,0s;131;49,999054;50,000000;139,965333;140,000000;54,985977
16.8.2026 09:00:13,1s;132;49,999182;50,000000;140,104139;140,000000;55,055983
16.8.2026 09:00:13,2s;133;49,998950;50,000000;140,112550;140,000000;54,960293
16.8.2026 09:00:13,3s;134;49,998919;50,000000;140,102930;140,000000;54,985040
16.8.2026 09:00:13,4s;135;49,998770;50,000000;140,028775;140,000000;54,994471
16.8.2026 09:00:13,5s;136;49,998780;50,000000;140,053741;140,000000;54,966886
16.8.2026 09:00:13,6s;137;49,998775;50,000000;139,951148;140,000000;55,060119
16.8.2026 09:00:13,7s;138;49,998990;50,000000;140,062744;140,000000;54,992704
16.8.2026 09:00:13,8s;139;49,999040;50,000000;140,113525;140,000000;55,026058
16.8.2026 09:00:13,9s;140;49,998955;50,000000;140,104528;140,000000;54,966358
16.8.2026 09:00:14,0s;141;49,998758;50,000000;139,956145;140,000000;54,939707
16.8.2026 09:00:14,1s;142;49,998980;50,000000;139,882290;140,000000;54,979553
16.8.2026 09:00:14,2s;143;49,998868;50,000000;140,014824;140,000000;55,017000
16.8.2026 09:00:14,3s;144;49,998956;50,000000;140,174979;140,000000;55,045935
16.8.2026 09:00:14,4s;145;49,999320;50,000000;139,991305;140,000000;55,015842
16.8.2026 09:00:14,5s;146;49,999104;50,000000;139,862349;140,000000;55,013383
16.8.2026 09:00:14,6s;147;49,999548;50,000000;139,871324;140,000000;54,972016
16.8.2026 09:00:14,7s;148;49,999194;50,000000;140,137268;140,000000;55,058492
16.8.2026 09:00:14,8s;149;49,999143;50,000000;139,951417;140,000000;54,970240
16.8.2026 09:00:14,9s;150;49,999406;50,000000;139,968051;140,000000;54,987951
16.8.2026 09:00:15,0s;151;49,999294;50,000000;140,136181;140,000000;55,015767
16.8.2026 09:00:15,1s;152;49,999315;50,000000;140,010602;140,000000;54,937557
16.8.2026 09:00:15,2s;153;49,999427;50,000000;140,132490;140,000000;55,028712
16.8.2026 09:00:15,3s;154;49,999044;50,000000;140,039468;140,000000;55,006002
16.8.2026 09:00:15,4s;155;49,999053;50,000000;139,950598;140,000000;55,025078
16.8.2026 09:00:15,5s;156;49,999143;50,000000;140,020902;140,000000;54,979127
16.8.2026 09:00:15,6s;157;49,999182;50,000000;140,026147;140,000000;54,917304
