# YHDA_VERSION=0.6.2
# TEST_SERVICE=PFK
# PLANT_TYPE=HES
# STEP_ID=RES_MAX_POS200
# STEP_NAME=Maksimum çıkış gücü — Δf = +200 mHz / 50,2 Hz
# TESIS_ADI=YHDA Örnek HES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=500.0
# UNIT_PNOM_MW=500.0
# RPMAX_MW=25.0
# RPMIN_MW=25.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=460.0
# PSET_MIN_MW=140.0
# UNIT_NOMINAL_SPEED_RPM=150
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;guide_vane_pct
16.8.2026 08:59:40,0s;1;49,997436;50,000000;460,006556;460,000000;55,006258
16.8.2026 08:59:40,1s;2;49,997351;50,000000;460,038972;460,000000;55,033656
16.8.2026 08:59:40,2s;3;49,996798;50,000000;460,070962;460,000000;54,986502
16.8.2026 08:59:40,3s;4;49,997108;50,000000;460,066157;460,000000;54,956213
16.8.2026 08:59:40,4s;5;49,997008;50,000000;459,895156;460,000000;54,972237
16.8.2026 08:59:40,5s;6;49,997628;50,000000;459,948209;460,000000;55,006608
16.8.2026 08:59:40,6s;7;49,997335;50,000000;459,948511;460,000000;54,956993
16.8.2026 08:59:40,7s;8;49,997466;50,000000;459,987067;460,000000;54,935608
16.8.2026 08:59:40,8s;9;49,997201;50,000000;460,056406;460,000000;54,973867
16.8.2026 08:59:40,9s;10;49,997103;50,000000;460,027489;460,000000;55,021371
16.8.2026 08:59:41,0s;11;49,997544;50,000000;459,933785;460,000000;55,032486
16.8.2026 08:59:41,1s;12;49,997700;50,000000;460,020380;460,000000;54,984552
16.8.2026 08:59:41,2s;13;49,997108;50,000000;459,978332;460,000000;54,910401
16.8.2026 08:59:41,3s;14;49,997611;50,000000;459,919117;460,000000;55,028600
16.8.2026 08:59:41,4s;15;49,997706;50,000000;460,024059;460,000000;55,050383
16.8.2026 08:59:41,5s;16;49,997865;50,000000;460,085278;460,000000;55,043210
16.8.2026 08:59:41,6s;17;49,997748;50,000000;459,911309;460,000000;54,991879
16.8.2026 08:59:41,7s;18;49,997464;50,000000;460,064437;460,000000;55,072889
16.8.2026 08:59:41,8s;19;49,997421;50,000000;459,911018;460,000000;55,030111
16.8.2026 08:59:41,9s;20;49,997669;50,000000;459,889852;460,000000;54,989543
16.8.2026 08:59:42,0s;21;49,997680;50,000000;460,083888;460,000000;55,050994
16.8.2026 08:59:42,1s;22;49,997418;50,000000;460,043030;460,000000;55,054802
16.8.2026 08:59:42,2s;23;49,997398;50,000000;459,996083;460,000000;54,978429
16.8.2026 08:59:42,3s;24;49,997590;50,000000;460,039705;460,000000;54,943027
16.8.2026 08:59:42,4s;25;49,997559;50,000000;460,153448;460,000000;55,025520
16.8.2026 08:59:42,5s;26;49,997574;50,000000;459,987358;460,000000;54,932975
16.8.2026 08:59:42,6s;27;49,997192;50,000000;460,013026;460,000000;55,005036
16.8.2026 08:59:42,7s;28;49,997629;50,000000;459,974442;460,000000;54,977776
16.8.2026 08:59:42,8s;29;49,997874;50,000000;460,128469;460,000000;55,067255
16.8.2026 08:59:42,9s;30;49,997558;50,000000;459,954377;460,000000;54,996537
16.8.2026 08:59:43,0s;31;49,997627;50,000000;459,960646;460,000000;55,014337
16.8.2026 08:59:43,1s;32;49,997492;50,000000;459,992377;460,000000;55,033192
16.8.2026 08:59:43,2s;33;49,997717;50,000000;459,864107;460,000000;54,952178
16.8.2026 08:59:43,3s;34;49,997783;50,000000;459,988180;460,000000;55,046240
16.8.2026 08:59:43,4s;35;49,997658;50,000000;460,104203;460,000000;55,056179
16.8.2026 08:59:43,5s;36;49,997925;50,000000;459,896334;460,000000;54,993504
16.8.2026 08:59:43,6s;37;49,997959;50,000000;460,049784;460,000000;54,954441
16.8.2026 08:59:43,7s;38;49,997656;50,000000;459,986813;460,000000;54,978434
16.8.2026 08:59:43,8s;39;49,998117;50,000000;460,034128;460,000000;54,990717
16.8.2026 08:59:43,9s;40;49,997795;50,000000;459,911877;460,000000;54,976149
16.8.2026 08:59:44,0s;41;49,998070;50,000000;459,696154;460,000000;54,994745
16.8.2026 08:59:44,1s;42;49,997450;50,000000;460,069414;460,000000;54,977597
16.8.2026 08:59:44,2s;43;49,997725;50,000000;459,940582;460,000000;55,035407
16.8.2026 08:59:44,3s;44;49,997946;50,000000;460,010958;460,000000;55,001965
16.8.2026 08:59:44,4s;45;49,997730;50,000000;459,855559;460,000000;55,026778
16.8.2026 08:59:44,5s;46;49,997474;50,000000;460,063102;460,000000;55,005163
16.8.2026 08:59:44,6s;47;49,997906;50,000000;460,074074;460,000000;54,994474
16.8.2026 08:59:44,7s;48;49,998217;50,000000;460,151219;460,000000;55,068715
16.8.2026 08:59:44,8s;49;49,997787;50,000000;459,850932;460,000000;54,982762
16.8.2026 08:59:44,9s;50;49,998231;50,000000;459,966030;460,000000;54,975607
16.8.2026 08:59:45,0s;51;49,998311;50,000000;460,109365;460,000000;54,946484
16.8.2026 08:59:45,1s;52;49,998132;50,000000;459,997103;460,000000;55,003041
