# YHDA_VERSION=0.6.0
# TEST_SERVICE=PFK
# PLANT_TYPE=HES
# STEP_ID=SENS_49_995
# STEP_NAME=Hassasiyet — 49,995 Hz
# TESIS_ADI=YHDA Örnek HES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=500.0
# UNIT_PNOM_MW=500.0
# RPMAX_MW=25.0
# RPMIN_MW=25.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=460.0
# PSET_MIN_MW=140.0
# UNIT_NOMINAL_SPEED_RPM=150
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;guide_vane_pct
-30,000000;49,999756;50,000000;460,082344;460,000000;54,982384
-29,900000;50,000229;50,000000;459,971356;460,000000;55,000569
-29,800000;49,999849;50,000000;459,987179;460,000000;55,029748
-29,700000;49,999892;50,000000;460,006632;460,000000;54,978981
-29,600000;50,000089;50,000000;460,009418;460,000000;54,991278
-29,500000;50,000145;50,000000;460,052948;460,000000;55,044170
-29,400000;50,000173;50,000000;460,014482;460,000000;54,952417
-29,300000;50,000305;50,000000;460,017409;460,000000;55,021550
-29,200000;50,000059;50,000000;459,996324;460,000000;54,999828
-29,100000;50,000214;50,000000;460,044048;460,000000;55,020996
-29,000000;50,000217;50,000000;459,985464;460,000000;55,051507
-28,900000;50,000313;50,000000;459,984555;460,000000;55,012954
-28,800000;50,000082;50,000000;460,010046;460,000000;55,006809
-28,700000;49,999794;50,000000;460,029799;460,000000;54,989481
-28,600000;49,999757;50,000000;460,010260;460,000000;55,019678
-28,500000;49,999924;50,000000;459,990969;460,000000;54,999544
-28,400000;50,000019;50,000000;460,019443;460,000000;55,011665
-28,300000;50,000173;50,000000;459,968381;460,000000;55,005553
-28,200000;50,000067;50,000000;460,017549;460,000000;54,982786
-28,100000;50,000294;50,000000;459,990063;460,000000;54,972233
-28,000000;50,000139;50,000000;460,053233;460,000000;55,016178
-27,900000;50,000048;50,000000;460,035930;460,000000;55,008370
-27,800000;50,000037;50,000000;460,009429;460,000000;55,009943
-27,700000;49,999917;50,000000;460,003122;460,000000;55,016010
-27,600000;50,000097;50,000000;459,982943;460,000000;55,019491
-27,500000;49,999587;50,000000;460,021458;460,000000;55,042359
-27,400000;50,000391;50,000000;459,942913;460,000000;54,973792
-27,300000;50,000052;50,000000;460,045982;460,000000;54,981581
-27,200000;49,999851;50,000000;459,998796;460,000000;54,994172
-27,100000;50,000174;50,000000;460,065638;460,000000;54,972867
-27,000000;50,000412;50,000000;460,019360;460,000000;55,024878
-26,900000;49,999964;50,000000;459,977637;460,000000;55,024543
-26,800000;50,000151;50,000000;459,968049;460,000000;54,992287
-26,700000;49,999972;50,000000;459,989067;460,000000;54,970370
-26,600000;49,999951;50,000000;459,981537;460,000000;54,992709
-26,500000;49,999988;50,000000;460,034121;460,000000;55,015770
-26,400000;49,999952;50,000000;460,054167;460,000000;55,027803
-26,300000;50,000106;50,000000;460,007804;460,000000;54,997364
-26,200000;49,999783;50,000000;459,992414;460,000000;55,034972
-26,100000;50,000067;50,000000;460,024277;460,000000;55,003893
-26,000000;49,999957;50,000000;459,964804;460,000000;54,980525
-25,900000;50,000040;50,000000;460,011480;460,000000;54,994786
-25,800000;50,000181;50,000000;460,013611;460,000000;55,012894
-25,700000;49,999492;50,000000;460,012629;460,000000;55,001477
-25,600000;49,999912;50,000000;460,019212;460,000000;55,010041
-25,500000;49,999930;50,000000;459,989915;460,000000;54,976766
-25,400000;50,000069;50,000000;460,002724;460,000000;55,037535
-25,300000;49,999764;50,000000;459,938974;460,000000;55,013856
-25,200000;49,999944;50,000000;460,028738;460,000000;55,037331
-25,100000;49,999567;50,000000;460,033535;460,000000;54,989864
-25,000000;50,000111;50,000000;460,010708;460,000000;55,019118
-24,900000;50,000073;50,000000;460,046572;460,000000;55,018858
-24,800000;49,999914;50,000000;459,979992;460,000000;54,990746
-24,700000;50,000076;50,000000;460,010357;460,000000;55,003670
-24,600000;49,999690;50,000000;459,978972;460,000000;55,000389
-24,500000;50,000118;50,000000;460,012478;460,000000;55,011804
-24,400000;50,000331;50,000000;459,939680;460,000000;55,002783
-24,300000;50,000119;50,000000;459,975705;460,000000;55,006094
-24,200000;50,000429;50,000000;460,049231;460,000000;55,040043
-24,100000;49,999787;50,000000;459,989333;460,000000;55,007299
-24,000000;50,000053;50,000000;459,986745;460,000000;54,987687
-23,900000;49,999970;50,000000;460,019459;460,000000;54,984006
-23,800000;50,000437;50,000000;459,985739;460,000000;55,018602
-23,700000;50,000193;50,000000;459,991881;460,000000;55,017053
-23,600000;49,999780;50,000000;459,947930;460,000000;55,011838
-23,500000;50,000356;50,000000;459,980129;460,000000;54,975765
-23,400000;49,999910;50,000000;460,088559;460,000000;54,967126
-23,300000;49,999981;50,000000;460,057285;460,000000;55,010220
-23,200000;50,000206;50,000000;459,970987;460,000000;55,039069
-23,100000;49,999841;50,000000;459,995814;460,000000;55,017609
-23,000000;49,999922;50,000000;459,962062;460,000000;55,008242
-22,900000;50,000015;50,000000;459,924551;460,000000;55,034668
-22,800000;49,999911;50,000000;460,073195;460,000000;54,988016
-22,700000;50,000268;50,000000;459,963321;460,000000;54,981993
-22,600000;50,000059;50,000000;459,995752;460,000000;54,985500
-22,500000;50,000131;50,000000;459,931211;460,000000;55,008727
-22,400000;49,999874;50,000000;459,989241;460,000000;54,992695
-22,300000;50,000164;50,000000;460,021512;460,000000;55,015006
-22,200000;49,999836;50,000000;460,051467;460,000000;54,976929
-22,100000;50,000129;50,000000;460,007006;460,000000;55,016154
-22,000000;50,000199;50,000000;460,003693;460,000000;55,006155
-21,900000;50,000379;50,000000;460,033243;460,000000;54,970933
-21,800000;50,000154;50,000000;459,983634;460,000000;54,948477
-21,700000;49,999984;50,000000;460,020485;460,000000;54,990046
-21,600000;50,000110;50,000000;460,029374;460,000000;54,991321
-21,500000;49,999967;50,000000;459,986241;460,000000;54,975079
-21,400000;49,999990;50,000000;459,993457;460,000000;54,974431
-21,300000;49,999973;50,000000;459,969177;460,000000;55,002492
-21,200000;49,999847;50,000000;460,067705;460,000000;55,013995
-21,100000;49,999797;50,000000;460,014384;460,000000;54,996990
-21,000000;50,000271;50,000000;459,991491;460,000000;54,981301
-20,900000;50,000135;50,000000;459,998436;460,000000;54,966342
-20,800000;49,999862;50,000000;459,976717;460,000000;55,036069
-20,700000;50,000157;50,000000;460,039778;460,000000;55,024408
-20,600000;49,999965;50,000000;460,022516;460,000000;54,991864
-20,500000;50,000043;50,000000;459,979040;460,000000;54,983630
-20,400000;50,000242;50,000000;460,017468;460,000000;54,981429
-20,300000;49,999868;50,000000;459,982411;460,000000;55,008895
-20,200000;50,000048;50,000000;460,017306;460,000000;55,017776
-20,100000;49,999976;50,000000;459,998053;460,000000;55,003807
-20,000000;50,000025;50,000000;460,053165;460,000000;55,028660
-19,900000;49,999811;50,000000;460,044147;460,000000;54,943244
-19,800000;50,000151;50,000000;459,976620;460,000000;55,000581
-19,700000;49,999537;50,000000;460,023265;460,000000;55,012543
-19,600000;49,999812;50,000000;460,002786;460,000000;55,018117
-19,500000;49,999898;50,000000;460,038121;460,000000;54,994683
-19,400000;50,000091;50,000000;460,069567;460,000000;55,037146
-19,300000;50,000161;50,000000;459,999824;460,000000;55,022278
-19,200000;49,999897;50,000000;460,014425;460,000000;55,022379
-19,100000;49,999806;50,000000;459,999151;460,000000;54,968749
-19,000000;49,999714;50,000000;460,056988;460,000000;55,010013
-18,900000;49,999988;50,000000;460,019711;460,000000;55,008246
-18,800000;50,000034;50,000000;459,985996;460,000000;55,005755
-18,700000;50,000142;50,000000;459,985484;460,000000;54,990572
-18,600000;49,999620;50,000000;460,006532;460,000000;55,002264
-18,500000;49,999818;50,000000;460,036407;460,000000;55,015870
-18,400000;50,000098;50,000000;460,090781;460,000000;54,982167
-18,300000;50,000363;50,000000;460,039663;460,000000;54,977133
-18,200000;50,000127;50,000000;459,955172;460,000000;55,004489
-18,100000;50,000234;50,000000;459,992155;460,000000;55,003359
-18,000000;50,000293;50,000000;460,059429;460,000000;54,984731
-17,900000;49,999835;50,000000;459,992326;460,000000;55,023959
-17,800000;49,999933;50,000000;459,948103;460,000000;55,004625
-17,700000;49,999855;50,000000;459,980747;460,000000;55,013015
-17,600000;50,000346;50,000000;459,936629;460,000000;54,995586
-17,500000;50,000114;50,000000;459,970982;460,000000;54,972362
-17,400000;50,000148;50,000000;460,003058;460,000000;54,970728
-17,300000;50,000053;50,000000;459,989541;460,000000;54,996625
-17,200000;49,999710;50,000000;459,965500;460,000000;54,970226
-17,100000;50,000048;50,000000;460,034685;460,000000;54,987155
-17,000000;49,999918;50,000000;459,991343;460,000000;54,978378
-16,900000;49,999820;50,000000;460,010737;460,000000;55,010470
-16,800000;49,999742;50,000000;459,987561;460,000000;55,052555
-16,700000;50,000119;50,000000;459,993102;460,000000;54,967985
-16,600000;49,999916;50,000000;460,031833;460,000000;55,026619
-16,500000;49,999937;50,000000;460,030015;460,000000;54,991650
-16,400000;49,999839;50,000000;459,994711;460,000000;55,004930
-16,300000;50,000089;50,000000;459,972701;460,000000;54,997584
-16,200000;50,000230;50,000000;459,989708;460,000000;55,003953
-16,100000;50,000432;50,000000;459,993534;460,000000;55,000021
-16,000000;49,999933;50,000000;460,055683;460,000000;54,968605
-15,900000;49,999959;50,000000;459,956074;460,000000;55,011331
-15,800000;49,999672;50,000000;460,077003;460,000000;55,003382
-15,700000;50,000216;50,000000;459,914634;460,000000;55,014334
-15,600000;50,000123;50,000000;459,989371;460,000000;54,999948
-15,500000;50,000228;50,000000;459,981561;460,000000;54,960729
-15,400000;50,000172;50,000000;460,067721;460,000000;55,007987
-15,300000;50,000333;50,000000;460,038067;460,000000;54,983145
-15,200000;50,000048;50,000000;459,998580;460,000000;54,981065
-15,100000;50,000062;50,000000;459,997155;460,000000;54,998154
-15,000000;49,999989;50,000000;459,946125;460,000000;54,967984
-14,900000;49,999977;50,000000;459,985042;460,000000;54,973624
-14,800000;50,000070;50,000000;460,008069;460,000000;55,006073
-14,700000;49,999975;50,000000;459,971829;460,000000;55,015540
-14,600000;49,999756;50,000000;460,013741;460,000000;55,012011
-14,500000;49,999891;50,000000;459,955523;460,000000;54,962263
-14,400000;50,000152;50,000000;460,018732;460,000000;55,023331
-14,300000;49,999678;50,000000;460,020461;460,000000;54,977858
-14,200000;49,999802;50,000000;460,004806;460,000000;55,026555
-14,100000;50,000065;50,000000;460,031241;460,000000;55,000580
-14,000000;50,000086;50,000000;459,999410;460,000000;54,973414
-13,900000;49,999939;50,000000;460,017870;460,000000;55,012033
-13,800000;50,000055;50,000000;460,047731;460,000000;55,011344
-13,700000;50,000068;50,000000;460,047277;460,000000;55,017253
-13,600000;50,000161;50,000000;460,020117;460,000000;54,998383
-13,500000;49,999959;50,000000;459,997004;460,000000;54,999759
-13,400000;49,999863;50,000000;460,019147;460,000000;55,054015
-13,300000;50,000003;50,000000;459,952588;460,000000;54,982514
-13,200000;50,000161;50,000000;459,961521;460,000000;54,988658
-13,100000;49,999913;50,000000;460,087496;460,000000;55,014172
-13,000000;50,000091;50,000000;460,003791;460,000000;54,979145
-12,900000;49,999825;50,000000;459,955885;460,000000;55,015165
-12,800000;50,000008;50,000000;459,973577;460,000000;55,010925
-12,700000;49,999898;50,000000;460,036191;460,000000;55,029425
-12,600000;50,000024;50,000000;459,989594;460,000000;55,028062
-12,500000;49,999921;50,000000;460,023257;460,000000;55,007235
-12,400000;49,999672;50,000000;459,935920;460,000000;55,004186
-12,300000;50,000225;50,000000;460,008941;460,000000;54,978029
-12,200000;49,999913;50,000000;460,003210;460,000000;55,050137
-12,100000;50,000501;50,000000;460,004069;460,000000;55,022624
-12,000000;50,000150;50,000000;460,013338;460,000000;55,023412
-11,900000;50,000377;50,000000;460,015764;460,000000;55,011847
-11,800000;50,000410;50,000000;459,979680;460,000000;54,981590
-11,700000;50,000104;50,000000;459,986040;460,000000;54,987422
-11,600000;50,000149;50,000000;460,010885;460,000000;54,990723
-11,500000;49,999897;50,000000;459,977162;460,000000;55,027969
-11,400000;49,999741;50,000000;460,098351;460,000000;55,004533
-11,300000;50,000062;50,000000;460,045511;460,000000;55,033369
-11,200000;50,000090;50,000000;459,948283;460,000000;54,982822
-11,100000;49,999941;50,000000;460,032729;460,000000;54,995700
-11,000000;49,999931;50,000000;459,979806;460,000000;54,974056
-10,900000;50,000001;50,000000;460,012986;460,000000;54,992665
-10,800000;49,999798;50,000000;459,972126;460,000000;55,025046
-10,700000;49,999927;50,000000;459,959602;460,000000;54,994954
-10,600000;49,999977;50,000000;459,996935;460,000000;54,983440
-10,500000;49,999954;50,000000;460,003308;460,000000;55,019009
-10,400000;50,000090;50,000000;459,996793;460,000000;54,988247
-10,300000;50,000301;50,000000;460,007557;460,000000;54,995255
-10,200000;50,000006;50,000000;459,988829;460,000000;55,014557
-10,100000;50,000042;50,000000;460,016576;460,000000;54,998276
-10,000000;49,999866;50,000000;460,024469;460,000000;54,988781
-9,900000;50,000064;50,000000;459,962908;460,000000;54,972783
-9,800000;49,999740;50,000000;459,958477;460,000000;54,987948
-9,700000;50,000178;50,000000;460,025076;460,000000;54,978937
-9,600000;50,000313;50,000000;460,031542;460,000000;54,976820
-9,500000;49,999947;50,000000;460,005826;460,000000;54,952253
-9,400000;49,999920;50,000000;460,044156;460,000000;54,981446
-9,300000;50,000155;50,000000;460,005422;460,000000;54,999148
-9,200000;49,999801;50,000000;459,935721;460,000000;55,022960
-9,100000;49,999910;50,000000;460,015578;460,000000;54,961510
-9,000000;50,000115;50,000000;460,016121;460,000000;55,016073
-8,900000;49,999803;50,000000;459,939256;460,000000;54,972101
-8,800000;50,000273;50,000000;460,012298;460,000000;54,986119
-8,700000;50,000252;50,000000;459,955941;460,000000;55,000904
-8,600000;49,999895;50,000000;460,013855;460,000000;54,998466
-8,500000;50,000075;50,000000;460,006447;460,000000;54,987262
-8,400000;49,999871;50,000000;460,051526;460,000000;55,007795
-8,300000;49,999996;50,000000;460,012817;460,000000;54,988300
-8,200000;50,000030;50,000000;459,934534;460,000000;55,031561
-8,100000;50,000132;50,000000;459,944351;460,000000;54,987045
-8,000000;50,000171;50,000000;459,937402;460,000000;55,002253
-7,900000;49,999795;50,000000;459,991390;460,000000;55,006756
-7,800000;49,999797;50,000000;460,053706;460,000000;54,976643
-7,700000;50,000044;50,000000;459,973415;460,000000;54,982620
-7,600000;49,999785;50,000000;460,002403;460,000000;55,011590
-7,500000;50,000104;50,000000;459,939534;460,000000;54,987735
-7,400000;49,999774;50,000000;459,979996;460,000000;55,013459
-7,300000;49,999854;50,000000;459,957716;460,000000;55,005390
-7,200000;49,999876;50,000000;460,055844;460,000000;54,986661
-7,100000;49,999940;50,000000;460,014981;460,000000;54,988178
-7,000000;50,000217;50,000000;459,994447;460,000000;54,986685
-6,900000;50,000002;50,000000;460,015506;460,000000;54,987061
-6,800000;50,000535;50,000000;460,049417;460,000000;55,038657
-6,700000;50,000203;50,000000;459,985592;460,000000;54,990739
-6,600000;50,000130;50,000000;460,012999;460,000000;55,006735
-6,500000;49,999960;50,000000;460,046903;460,000000;55,059887
-6,400000;49,999997;50,000000;459,973128;460,000000;55,004305
-6,300000;50,000167;50,000000;460,033314;460,000000;54,988073
-6,200000;50,000250;50,000000;460,027963;460,000000;55,015376
-6,100000;50,000085;50,000000;460,008438;460,000000;55,005301
-6,000000;49,999993;50,000000;460,059993;460,000000;55,005250
-5,900000;49,999696;50,000000;460,020709;460,000000;55,028622
-5,800000;50,000186;50,000000;459,971276;460,000000;55,008136
-5,700000;50,000102;50,000000;459,975562;460,000000;55,000096
-5,600000;50,000253;50,000000;460,001308;460,000000;55,015534
-5,500000;49,999959;50,000000;460,014785;460,000000;55,008893
-5,400000;50,000066;50,000000;459,985497;460,000000;55,030587
-5,300000;49,999831;50,000000;459,950228;460,000000;55,008868
-5,200000;49,999992;50,000000;460,014352;460,000000;54,985912
-5,100000;50,000021;50,000000;459,981163;460,000000;55,018322
-5,000000;50,000077;50,000000;459,996947;460,000000;54,998614
-4,900000;49,999930;50,000000;460,036362;460,000000;55,000954
-4,800000;50,000142;50,000000;460,012042;460,000000;55,019023
-4,700000;49,999973;50,000000;459,984667;460,000000;54,968706
-4,600000;50,000228;50,000000;460,096412;460,000000;55,010924
-4,500000;50,000252;50,000000;459,996608;460,000000;55,019408
-4,400000;49,999769;50,000000;459,990872;460,000000;55,007975
-4,300000;50,000102;50,000000;459,990373;460,000000;55,013649
-4,200000;50,000247;50,000000;460,009076;460,000000;55,011141
-4,100000;50,000111;50,000000;460,088698;460,000000;54,966127
-4,000000;49,999688;50,000000;459,992739;460,000000;55,029012
-3,900000;49,999930;50,000000;460,058983;460,000000;55,027766
-3,800000;49,999979;50,000000;459,995000;460,000000;55,031877
-3,700000;49,999815;50,000000;459,998489;460,000000;55,024115
-3,600000;50,000134;50,000000;460,038376;460,000000;55,001441
-3,500000;50,000212;50,000000;459,976681;460,000000;55,008185
-3,400000;50,000151;50,000000;459,987288;460,000000;55,018637
-3,300000;49,999964;50,000000;460,062683;460,000000;55,011084
-3,200000;49,999885;50,000000;459,954437;460,000000;55,017613
-3,100000;50,000084;50,000000;460,005255;460,000000;54,988377
-3,000000;50,000104;50,000000;459,969474;460,000000;55,020215
-2,900000;50,000150;50,000000;460,021053;460,000000;54,981245
-2,800000;50,000024;50,000000;459,986102;460,000000;55,031448
-2,700000;50,000225;50,000000;460,017568;460,000000;54,983001
-2,600000;50,000633;50,000000;460,007788;460,000000;55,004756
