# YHDA_VERSION=0.5
# TEST_SERVICE=PFK
# PLANT_TYPE=HES
# STEP_ID=SENS_50_005
# STEP_NAME=Hassasiyet — 50,005 Hz
# TESIS_ADI=YHDA Örnek HES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=500.0
# UNIT_PNOM_MW=500.0
# RPMAX_MW=25.0
# RPMIN_MW=25.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=460.0
# PSET_MIN_MW=140.0
# UNIT_NOMINAL_SPEED_RPM=150
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;guide_vane_pct
-30,000000;50,000161;50,000000;459,996255;460,000000;55,000446
-29,900000;49,999954;50,000000;459,950386;460,000000;54,989200
-29,800000;50,000171;50,000000;460,027731;460,000000;55,007230
-29,700000;49,999962;50,000000;459,950808;460,000000;55,003265
-29,600000;49,999851;50,000000;460,000488;460,000000;55,012748
-29,500000;50,000158;50,000000;459,990869;460,000000;55,009836
-29,400000;49,999970;50,000000;460,014488;460,000000;55,019083
-29,300000;50,000004;50,000000;460,049532;460,000000;54,992549
-29,200000;50,000242;50,000000;460,036306;460,000000;54,977139
-29,100000;50,000375;50,000000;460,006789;460,000000;54,982169
-29,000000;50,000318;50,000000;460,042694;460,000000;55,029476
-28,900000;49,999928;50,000000;459,979544;460,000000;54,982511
-28,800000;50,000285;50,000000;459,988616;460,000000;54,960010
-28,700000;50,000239;50,000000;460,013523;460,000000;55,013609
-28,600000;49,999979;50,000000;459,976349;460,000000;55,012853
-28,500000;49,999775;50,000000;459,970046;460,000000;54,997681
-28,400000;49,999946;50,000000;460,032813;460,000000;55,014896
-28,300000;49,999897;50,000000;460,077786;460,000000;55,015654
-28,200000;50,000126;50,000000;460,013265;460,000000;55,009043
-28,100000;49,999823;50,000000;460,008020;460,000000;54,990514
-28,000000;50,000097;50,000000;460,049797;460,000000;54,981032
-27,900000;50,000201;50,000000;460,068542;460,000000;54,996787
-27,800000;50,000106;50,000000;460,041882;460,000000;55,007767
-27,700000;50,000073;50,000000;460,017537;460,000000;55,018651
-27,600000;50,000178;50,000000;460,050976;460,000000;54,992430
-27,500000;49,999907;50,000000;459,917745;460,000000;55,024607
-27,400000;50,000140;50,000000;460,047297;460,000000;55,016336
-27,300000;50,000113;50,000000;460,060731;460,000000;54,969540
-27,200000;50,000079;50,000000;459,981384;460,000000;55,011089
-27,100000;49,999780;50,000000;460,015920;460,000000;55,010205
-27,000000;50,000077;50,000000;460,026740;460,000000;55,029868
-26,900000;50,000272;50,000000;459,942264;460,000000;55,030805
-26,800000;49,999631;50,000000;459,989285;460,000000;55,009621
-26,700000;49,999991;50,000000;459,985844;460,000000;55,017764
-26,600000;50,000119;50,000000;460,029907;460,000000;54,984442
-26,500000;50,000207;50,000000;460,032161;460,000000;55,021799
-26,400000;50,000081;50,000000;459,976907;460,000000;55,012197
-26,300000;49,999838;50,000000;459,998450;460,000000;55,010852
-26,200000;49,999947;50,000000;460,015329;460,000000;54,986044
-26,100000;49,999908;50,000000;460,006798;460,000000;54,979388
-26,000000;50,000043;50,000000;460,030517;460,000000;55,010300
-25,900000;50,000037;50,000000;459,951629;460,000000;55,029325
-25,800000;50,000169;50,000000;459,976345;460,000000;54,994826
-25,700000;50,000124;50,000000;460,019233;460,000000;54,978615
-25,600000;49,999565;50,000000;459,988837;460,000000;55,014580
-25,500000;50,000267;50,000000;460,107653;460,000000;54,973324
-25,400000;50,000179;50,000000;459,939189;460,000000;55,002275
-25,300000;50,000274;50,000000;459,976562;460,000000;55,020521
-25,200000;50,000283;50,000000;459,917342;460,000000;55,006817
-25,100000;49,999897;50,000000;460,072838;460,000000;55,025366
-25,000000;49,999967;50,000000;460,015444;460,000000;54,979873
-24,900000;50,000286;50,000000;459,982952;460,000000;54,976476
-24,800000;49,999621;50,000000;460,001992;460,000000;54,998764
-24,700000;49,999939;50,000000;459,959602;460,000000;55,002273
-24,600000;49,999900;50,000000;459,985322;460,000000;54,994019
-24,500000;50,000299;50,000000;460,054050;460,000000;54,948531
-24,400000;50,000322;50,000000;460,002358;460,000000;54,978954
-24,300000;50,000118;50,000000;460,008667;460,000000;54,993134
-24,200000;49,999920;50,000000;459,969039;460,000000;54,981160
-24,100000;50,000109;50,000000;460,006497;460,000000;54,989493
-24,000000;50,000041;50,000000;460,073343;460,000000;54,957347
-23,900000;49,999809;50,000000;459,999799;460,000000;55,003378
-23,800000;49,999666;50,000000;460,043793;460,000000;54,977417
-23,700000;50,000124;50,000000;459,992995;460,000000;54,987768
-23,600000;49,999819;50,000000;460,031007;460,000000;55,011317
-23,500000;49,999725;50,000000;459,984072;460,000000;55,001474
-23,400000;49,999842;50,000000;460,002549;460,000000;55,004058
-23,300000;49,999991;50,000000;459,917932;460,000000;54,994495
-23,200000;49,999874;50,000000;459,972736;460,000000;54,945306
-23,100000;50,000205;50,000000;459,973369;460,000000;55,010285
-23,000000;50,000190;50,000000;459,960298;460,000000;55,013107
-22,900000;50,000141;50,000000;459,945409;460,000000;55,002003
-22,800000;49,999906;50,000000;460,023198;460,000000;54,994641
-22,700000;49,999785;50,000000;460,064815;460,000000;54,990969
-22,600000;49,999640;50,000000;460,031170;460,000000;54,997451
-22,500000;50,000086;50,000000;459,965219;460,000000;55,014770
-22,400000;50,000078;50,000000;460,030980;460,000000;54,967922
-22,300000;49,999695;50,000000;459,962108;460,000000;55,001148
-22,200000;50,000130;50,000000;460,013408;460,000000;54,972971
-22,100000;50,000016;50,000000;459,974604;460,000000;54,987622
-22,000000;50,000192;50,000000;459,977604;460,000000;54,981395
-21,900000;50,000343;50,000000;460,063768;460,000000;55,005242
-21,800000;49,999967;50,000000;459,972018;460,000000;55,018641
-21,700000;49,999957;50,000000;459,937631;460,000000;54,999395
-21,600000;49,999931;50,000000;459,975058;460,000000;54,998558
-21,500000;49,999767;50,000000;459,952980;460,000000;54,971379
-21,400000;50,000131;50,000000;459,995520;460,000000;54,977520
-21,300000;49,999976;50,000000;460,015134;460,000000;54,978752
-21,200000;49,999718;50,000000;459,958679;460,000000;54,979562
-21,100000;50,000201;50,000000;459,958742;460,000000;54,976275
-21,000000;49,999877;50,000000;460,023064;460,000000;55,021280
-20,900000;49,999737;50,000000;460,017059;460,000000;54,961397
-20,800000;50,000084;50,000000;460,026201;460,000000;55,026403
-20,700000;49,999787;50,000000;459,964386;460,000000;54,991948
-20,600000;50,000048;50,000000;460,072046;460,000000;54,992062
-20,500000;50,000121;50,000000;460,007586;460,000000;55,006400
-20,400000;50,000229;50,000000;459,947207;460,000000;55,023488
-20,300000;49,999846;50,000000;459,992191;460,000000;55,027163
-20,200000;49,999708;50,000000;460,005516;460,000000;54,975930
-20,100000;50,000159;50,000000;459,933684;460,000000;54,980915
-20,000000;49,999976;50,000000;460,020273;460,000000;55,010869
-19,900000;49,999802;50,000000;459,950786;460,000000;55,022640
-19,800000;49,999934;50,000000;460,055131;460,000000;55,004030
-19,700000;49,999893;50,000000;460,062300;460,000000;55,025271
-19,600000;49,999950;50,000000;459,963295;460,000000;55,008458
-19,500000;49,999637;50,000000;459,957978;460,000000;54,982958
-19,400000;50,000276;50,000000;460,024434;460,000000;55,022242
-19,300000;50,000098;50,000000;459,997717;460,000000;54,988825
-19,200000;49,999570;50,000000;459,992997;460,000000;54,997974
-19,100000;50,000100;50,000000;459,948253;460,000000;55,013677
-19,000000;49,999695;50,000000;460,010871;460,000000;55,016187
-18,900000;49,999812;50,000000;460,004179;460,000000;54,999019
-18,800000;50,000072;50,000000;460,008577;460,000000;54,956746
-18,700000;50,000077;50,000000;459,964337;460,000000;54,965083
-18,600000;50,000479;50,000000;460,017890;460,000000;54,974778
-18,500000;49,999568;50,000000;460,007153;460,000000;54,971419
-18,400000;49,999920;50,000000;459,978128;460,000000;54,960966
-18,300000;49,999794;50,000000;460,012105;460,000000;55,024917
-18,200000;49,999851;50,000000;459,983641;460,000000;54,939617
-18,100000;49,999718;50,000000;459,954003;460,000000;54,964139
-18,000000;50,000251;50,000000;459,936921;460,000000;55,007488
-17,900000;50,000075;50,000000;459,980909;460,000000;54,987105
-17,800000;50,000080;50,000000;459,982293;460,000000;55,004079
-17,700000;50,000061;50,000000;459,953892;460,000000;55,001080
-17,600000;50,000300;50,000000;460,012829;460,000000;54,989796
-17,500000;49,999968;50,000000;459,995119;460,000000;54,989695
-17,400000;49,999931;50,000000;460,009861;460,000000;55,017917
-17,300000;50,000329;50,000000;459,990855;460,000000;54,984615
-17,200000;50,000141;50,000000;459,948589;460,000000;55,025934
-17,100000;49,999924;50,000000;459,993945;460,000000;55,006442
-17,000000;49,999752;50,000000;460,027200;460,000000;54,983525
-16,900000;49,999944;50,000000;459,950126;460,000000;54,984144
-16,800000;49,999874;50,000000;459,945429;460,000000;55,025474
-16,700000;50,000117;50,000000;460,008801;460,000000;55,009850
-16,600000;50,000009;50,000000;459,956243;460,000000;55,024060
-16,500000;50,000147;50,000000;459,992991;460,000000;54,988778
-16,400000;49,999845;50,000000;460,028465;460,000000;55,008888
-16,300000;49,999863;50,000000;460,013115;460,000000;54,979362
-16,200000;49,999961;50,000000;460,051111;460,000000;54,975808
-16,100000;50,000070;50,000000;460,071154;460,000000;54,983542
-16,000000;50,000162;50,000000;459,994096;460,000000;55,003608
-15,900000;49,999923;50,000000;460,015916;460,000000;54,991858
-15,800000;49,999898;50,000000;460,034698;460,000000;54,977182
-15,700000;49,999962;50,000000;460,004687;460,000000;55,010931
-15,600000;49,999881;50,000000;459,969074;460,000000;54,987403
-15,500000;50,000067;50,000000;459,928675;460,000000;55,034817
-15,400000;49,999923;50,000000;460,053509;460,000000;55,000463
-15,300000;50,000031;50,000000;459,972474;460,000000;54,989191
-15,200000;49,999845;50,000000;459,976990;460,000000;54,999727
-15,100000;49,999921;50,000000;459,936948;460,000000;55,030582
-15,000000;50,000253;50,000000;459,954445;460,000000;54,978794
-14,900000;50,000251;50,000000;460,069664;460,000000;55,020870
-14,800000;49,999911;50,000000;460,022910;460,000000;55,025314
-14,700000;49,999962;50,000000;460,007485;460,000000;54,988119
-14,600000;49,999943;50,000000;460,033669;460,000000;54,986457
-14,500000;50,000004;50,000000;459,948474;460,000000;54,977412
-14,400000;49,999796;50,000000;460,013273;460,000000;54,985907
-14,300000;49,999903;50,000000;460,044524;460,000000;54,994034
-14,200000;50,000157;50,000000;459,952558;460,000000;55,019655
