# YHDA_VERSION=0.6.5
# TEST_SERVICE=PFK
# PLANT_TYPE=HES
# STEP_ID=HASSASIYET
# SAMPLE_PERIOD_MS=100
# TESIS_ADI=Köprü HES — Örnek/Sentetik Kampanya
# TEST_DATE=2026-03-12
# CITY=Örnek İl
# DATA_CLASS=ÖRNEK / SENTETİK
# PNOM_MW=77.924
# UNIT_PNOM_MW=77.924
# RPMAX_MW=7.7924
# RPMIN_MW=7.7924
# PSET_MAX_MW=54.86
# PSET_MIN_MW=36.14
# DROOP_PERCENT=4
# DEADBAND_MHZ=0
# MEASUREMENT_DEVICE_TYPE=Veri toplama cihazı
# MEASUREMENT_BRAND=Sentetik örnek
# MEASUREMENT_MODEL=YHDA-SIM
# MEASUREMENT_SERIAL_NO=SIM-U1-2026
# MEASUREMENT_SOFTWARE=YHDA sentetik veri üreticisi
# CALIBRATION_NO=ÖRNEK
# CALIBRATION_DATE=2026-03-01
# CAMPAIGN_ID=PFK-KOPRU-HES-20260312
# FACILITY_ID=KOPRU-HES
# TEST_SCOPE=MULTI_UNIT
# ENTITY_TYPE=UNIT
# ENTITY_ID=U1
# UNIT_ID=U1
# UNIT_NAME=Ünite-1
# UNIT_COUNT=2
# EVENT_ID=KOPRU-PFK-01
# RUN_ID=RUN-001
# TEST_START=12.3.2026 09:00:00,0s
ZAMAN;SIRA_NO;GRID_FREQUENCY_HZ;TEST_FREQUENCY_HZ;ACTIVE_POWER_MW;ACTIVE_POWER_REFERENCE_MW;GUIDE_VANE_PCT
12.3.2026 09:00:00,0s;1;50,0000;50,0000;54,8600;54,8600;57,000
12.3.2026 09:00:00,1s;2;50,0008;50,0000;54,8608;54,8608;57,000
12.3.2026 09:00:00,2s;3;50,0016;50,0000;54,8616;54,8616;57,001
12.3.2026 09:00:00,3s;4;50,0024;50,0000;54,8624;54,8624;57,001
12.3.2026 09:00:00,4s;5;50,0032;50,0000;54,8631;54,8631;57,001
12.3.2026 09:00:00,5s;6;50,0040;50,0000;54,8639;54,8639;57,001
12.3.2026 09:00:00,6s;7;50,0047;50,0000;54,8647;54,8647;57,002
12.3.2026 09:00:00,7s;8;50,0053;50,0000;54,8654;54,8654;57,002
12.3.2026 09:00:00,8s;9;50,0060;50,0000;54,8661;54,8661;57,002
12.3.2026 09:00:00,9s;10;50,0066;50,0000;54,8668;54,8668;57,002
12.3.2026 09:00:01,0s;11;50,0071;50,0000;54,8675;54,8675;57,003
12.3.2026 09:00:01,1s;12;50,0076;50,0000;54,8682;54,8682;57,003
12.3.2026 09:00:01,2s;13;50,0080;50,0000;54,8689;54,8689;57,003
12.3.2026 09:00:01,3s;14;50,0083;50,0000;54,8695;54,8695;57,003
12.3.2026 09:00:01,4s;15;50,0086;50,0000;54,8701;54,8701;57,004
12.3.2026 09:00:01,5s;16;50,0088;50,0000;54,8706;54,8706;57,004
12.3.2026 09:00:01,6s;17;50,0089;50,0000;54,8712;54,8712;57,004
12.3.2026 09:00:01,7s;18;50,0090;50,0000;54,8717;54,8717;57,004
12.3.2026 09:00:01,8s;19;50,0090;50,0000;54,8722;54,8722;57,004
12.3.2026 09:00:01,9s;20;50,0089;50,0000;54,8726;54,8726;57,004
12.3.2026 09:00:02,0s;21;50,0087;50,0000;54,8730;54,8730;57,005
12.3.2026 09:00:02,1s;22;50,0085;50,0000;54,8734;54,8734;57,005
12.3.2026 09:00:02,2s;23;50,0082;50,0000;54,8737;54,8737;57,005
12.3.2026 09:00:02,3s;24;50,0078;50,0000;54,8740;54,8740;57,005
12.3.2026 09:00:02,4s;25;50,0074;50,0000;54,8743;54,8743;57,005
12.3.2026 09:00:02,5s;26;50,0069;50,0000;54,8745;54,8745;57,005
12.3.2026 09:00:02,6s;27;50,0063;50,0000;54,8747;54,8747;57,005
12.3.2026 09:00:02,7s;28;50,0057;50,0000;54,8748;54,8748;57,005
12.3.2026 09:00:02,8s;29;50,0051;50,0000;54,8749;54,8749;57,005
12.3.2026 09:00:02,9s;30;50,0044;50,0000;54,8750;54,8750;57,005
12.3.2026 09:00:03,0s;31;50,0036;50,0000;54,8750;54,8750;57,005
12.3.2026 09:00:03,1s;32;50,0029;50,0000;54,8750;54,8750;57,005
12.3.2026 09:00:03,2s;33;50,0021;50,0000;54,8749;54,8749;57,005
12.3.2026 09:00:03,3s;34;50,0013;50,0000;54,8748;54,8748;57,005
12.3.2026 09:00:03,4s;35;50,0005;50,0000;54,8746;54,8746;57,005
12.3.2026 09:00:03,5s;36;49,9996;50,0000;54,8745;54,8745;57,005
12.3.2026 09:00:03,6s;37;49,9988;50,0000;54,8742;54,8742;57,005
12.3.2026 09:00:03,7s;38;49,9980;50,0000;54,8739;54,8739;57,005
12.3.2026 09:00:03,8s;39;49,9972;50,0000;54,8736;54,8736;57,005
12.3.2026 09:00:03,9s;40;49,9965;50,0000;54,8733;54,8733;57,005
12.3.2026 09:00:04,0s;41;49,9957;50,0000;54,8729;54,8729;57,005
12.3.2026 09:00:04,1s;42;49,9950;50,0000;54,8725;54,8725;57,004
12.3.2026 09:00:04,2s;43;49,9944;50,0000;54,8720;54,8720;57,004
12.3.2026 09:00:04,3s;44;49,9938;50,0000;54,8715;54,8715;57,004
12.3.2026 09:00:04,4s;45;49,9932;50,0000;54,8710;54,8710;57,004
12.3.2026 09:00:04,5s;46;49,9927;50,0000;54,8705;54,8705;57,004
12.3.2026 09:00:04,6s;47;49,9922;50,0000;54,8699;54,8699;57,003
12.3.2026 09:00:04,7s;48;49,9919;50,0000;54,8693;54,8693;57,003
12.3.2026 09:00:04,8s;49;49,9915;50,0000;54,8687;54,8687;57,003
12.3.2026 09:00:04,9s;50;49,9913;50,0000;54,8680;54,8680;57,003
12.3.2026 09:00:05,0s;51;49,9911;50,0000;54,8673;54,8673;57,003
12.3.2026 09:00:05,1s;52;49,9910;50,0000;54,8666;54,8666;57,002
12.3.2026 09:00:05,2s;53;49,9910;50,0000;54,8659;54,8659;57,002
12.3.2026 09:00:05,3s;54;49,9911;50,0000;54,8652;54,8652;57,002
12.3.2026 09:00:05,4s;55;49,9912;50,0000;54,8644;54,8644;57,002
12.3.2026 09:00:05,5s;56;49,9914;50,0000;54,8637;54,8637;57,001
12.3.2026 09:00:05,6s;57;49,9916;50,0000;54,8629;54,8629;57,001
12.3.2026 09:00:05,7s;58;49,9920;50,0000;54,8621;54,8621;57,001
12.3.2026 09:00:05,8s;59;49,9924;50,0000;54,8613;54,8613;57,000
12.3.2026 09:00:05,9s;60;49,9928;50,0000;54,8605;54,8605;57,000
12.3.2026 09:00:06,0s;61;49,9934;50,0000;54,8598;54,8598;57,000
12.3.2026 09:00:06,1s;62;49,9939;50,0000;54,8590;54,8590;57,000
12.3.2026 09:00:06,2s;63;49,9946;50,0000;54,8582;54,8582;56,999
12.3.2026 09:00:06,3s;64;49,9953;50,0000;54,8574;54,8574;56,999
12.3.2026 09:00:06,4s;65;49,9960;50,0000;54,8566;54,8566;56,999
12.3.2026 09:00:06,5s;66;49,9967;50,0000;54,8559;54,8559;56,999
12.3.2026 09:00:06,6s;67;49,9975;50,0000;54,8551;54,8551;56,998
12.3.2026 09:00:06,7s;68;49,9983;50,0000;54,8544;54,8544;56,998
12.3.2026 09:00:06,8s;69;49,9991;50,0000;54,8536;54,8536;56,998
12.3.2026 09:00:06,9s;70;49,9999;50,0000;54,8529;54,8529;56,998
12.3.2026 09:00:07,0s;71;50,0007;50,0000;54,8523;54,8523;56,997
12.3.2026 09:00:07,1s;72;50,0015;50,0000;54,8516;54,8516;56,997
12.3.2026 09:00:07,2s;73;50,0023;50,0000;54,8509;54,8509;56,997
12.3.2026 09:00:07,3s;74;50,0031;50,0000;54,8503;54,8503;56,997
12.3.2026 09:00:07,4s;75;50,0039;50,0000;54,8497;54,8497;56,996
