# YHDA_VERSION=0.6.2
# TEST_SERVICE=PFK
# PLANT_TYPE=HES
# STEP_ID=RES_MIN_POS200
# SAMPLE_PERIOD_MS=100
# TESIS_ADI=Köprü HES — Örnek/Sentetik Kampanya
# TEST_DATE=2026-03-12
# CITY=Örnek İl
# DATA_CLASS=ÖRNEK / SENTETİK
# PNOM_MW=77.924
# UNIT_PNOM_MW=77.924
# RPMAX_MW=7.7924
# RPMIN_MW=7.7924
# PSET_MAX_MW=54.86
# PSET_MIN_MW=36.14
# DROOP_PERCENT=4
# DEADBAND_MHZ=0
# MEASUREMENT_DEVICE_TYPE=Veri toplama cihazı
# MEASUREMENT_BRAND=Sentetik örnek
# MEASUREMENT_MODEL=YHDA-SIM
# MEASUREMENT_SERIAL_NO=SIM-U1-2026
# MEASUREMENT_SOFTWARE=YHDA sentetik veri üreticisi
# CALIBRATION_NO=ÖRNEK
# CALIBRATION_DATE=2026-03-01
# CAMPAIGN_ID=PFK-KOPRU-HES-20260312
# FACILITY_ID=KOPRU-HES
# TEST_SCOPE=MULTI_UNIT
# ENTITY_TYPE=UNIT
# ENTITY_ID=U1
# UNIT_ID=U1
# UNIT_NAME=Ünite-1
# UNIT_COUNT=2
# EVENT_ID=KOPRU-PFK-01
# RUN_ID=RUN-001
# TEST_START=12.3.2026 09:00:00,0s
ZAMAN;SIRA_NO;GRID_FREQUENCY_HZ;TEST_FREQUENCY_HZ;ACTIVE_POWER_MW;ACTIVE_POWER_REFERENCE_MW;GUIDE_VANE_PCT
12.3.2026 09:00:00,0s;1;50,0000;50,0000;36,1400;36,1400;52,119
12.3.2026 09:00:00,1s;2;50,0005;50,0000;36,1419;36,1400;52,120
12.3.2026 09:00:00,2s;3;50,0009;50,0000;36,1438;36,1400;52,120
12.3.2026 09:00:00,3s;4;50,0014;50,0000;36,1457;36,1400;52,121
12.3.2026 09:00:00,4s;5;50,0019;50,0000;36,1476;36,1400;52,121
12.3.2026 09:00:00,5s;6;50,0023;50,0000;36,1494;36,1400;52,122
12.3.2026 09:00:00,6s;7;50,0028;50,0000;36,1511;36,1400;52,122
12.3.2026 09:00:00,7s;8;50,0032;50,0000;36,1528;36,1400;52,123
12.3.2026 09:00:00,8s;9;50,0036;50,0000;36,1544;36,1400;52,123
12.3.2026 09:00:00,9s;10;50,0040;50,0000;36,1560;36,1400;52,124
12.3.2026 09:00:01,0s;11;50,0044;50,0000;36,1574;36,1400;52,124
12.3.2026 09:00:01,1s;12;50,0048;50,0000;36,1587;36,1400;52,124
12.3.2026 09:00:01,2s;13;50,0052;50,0000;36,1599;36,1400;52,125
12.3.2026 09:00:01,3s;14;50,0055;50,0000;36,1610;36,1400;52,125
12.3.2026 09:00:01,4s;15;50,0059;50,0000;36,1620;36,1400;52,125
12.3.2026 09:00:01,5s;16;50,0062;50,0000;36,1629;36,1400;52,126
12.3.2026 09:00:01,6s;17;50,0065;50,0000;36,1636;36,1400;52,126
12.3.2026 09:00:01,7s;18;50,0067;50,0000;36,1641;36,1400;52,126
12.3.2026 09:00:01,8s;19;50,0070;50,0000;36,1646;36,1400;52,126
12.3.2026 09:00:01,9s;20;50,0072;50,0000;36,1649;36,1400;52,126
12.3.2026 09:00:02,0s;21;50,0074;50,0000;36,1650;36,1400;52,126
12.3.2026 09:00:02,1s;22;50,0076;50,0000;36,1650;36,1400;52,126
12.3.2026 09:00:02,2s;23;50,0077;50,0000;36,1648;36,1400;52,126
12.3.2026 09:00:02,3s;24;50,0078;50,0000;36,1645;36,1400;52,126
12.3.2026 09:00:02,4s;25;50,0079;50,0000;36,1641;36,1400;52,126
12.3.2026 09:00:02,5s;26;50,0080;50,0000;36,1635;36,1400;52,126
12.3.2026 09:00:02,6s;27;50,0080;50,0000;36,1627;36,1400;52,126
12.3.2026 09:00:02,7s;28;50,0080;50,0000;36,1619;36,1400;52,125
12.3.2026 09:00:02,8s;29;50,0080;50,0000;36,1609;36,1400;52,125
12.3.2026 09:00:02,9s;30;50,0079;50,0000;36,1598;36,1400;52,125
12.3.2026 09:00:03,0s;31;50,0079;50,0000;36,1585;36,1400;52,124
12.3.2026 09:00:03,1s;32;50,0077;50,0000;36,1572;36,1400;52,124
12.3.2026 09:00:03,2s;33;50,0076;50,0000;36,1557;36,1400;52,124
12.3.2026 09:00:03,3s;34;50,0075;50,0000;36,1542;36,1400;52,123
12.3.2026 09:00:03,4s;35;50,0073;50,0000;36,1526;36,1400;52,123
12.3.2026 09:00:03,5s;36;50,0071;50,0000;36,1509;36,1400;52,122
12.3.2026 09:00:03,6s;37;50,0068;50,0000;36,1491;36,1400;52,122
12.3.2026 09:00:03,7s;38;50,0066;50,0000;36,1473;36,1400;52,121
12.3.2026 09:00:03,8s;39;50,0063;50,0000;36,1454;36,1400;52,121
12.3.2026 09:00:03,9s;40;50,0060;50,0000;36,1435;36,1400;52,120
12.3.2026 09:00:04,0s;41;50,0057;50,0000;36,1416;36,1400;52,120
12.3.2026 09:00:04,1s;42;50,0053;50,0000;36,1397;36,1400;52,119
12.3.2026 09:00:04,2s;43;50,0050;50,0000;36,1378;36,1400;52,119
12.3.2026 09:00:04,3s;44;50,0046;50,0000;36,1359;36,1400;52,118
12.3.2026 09:00:04,4s;45;50,0042;50,0000;36,1340;36,1400;52,118
12.3.2026 09:00:04,5s;46;50,0038;50,0000;36,1321;36,1400;52,117
12.3.2026 09:00:04,6s;47;50,0034;50,0000;36,1303;36,1400;52,116
12.3.2026 09:00:04,7s;48;50,0029;50,0000;36,1286;36,1400;52,116
12.3.2026 09:00:04,8s;49;50,0025;50,0000;36,1269;36,1400;52,116
12.3.2026 09:00:04,9s;50;50,0021;50,0000;36,1253;36,1400;52,115
12.3.2026 09:00:05,0s;51;50,0016;50,0000;36,1238;36,1400;52,115
12.3.2026 09:00:05,1s;52;50,0011;50,0000;36,1224;36,1400;52,114
12.3.2026 09:00:05,2s;53;50,0007;50,0000;36,1211;36,1400;52,114
12.3.2026 09:00:05,3s;54;50,0002;50,0000;36,1199;36,1400;52,114
12.3.2026 09:00:05,4s;55;49,9997;50,0000;36,1188;36,1400;52,113
12.3.2026 09:00:05,5s;56;49,9993;50,0000;36,1178;36,1400;52,113
12.3.2026 09:00:05,6s;57;49,9988;50,0000;36,1170;36,1400;52,113
12.3.2026 09:00:05,7s;58;49,9983;50,0000;36,1163;36,1400;52,113
12.3.2026 09:00:05,8s;59;49,9979;50,0000;36,1158;36,1400;52,112
12.3.2026 09:00:05,9s;60;49,9974;50,0000;36,1154;36,1400;52,112
12.3.2026 09:00:06,0s;61;49,9970;50,0000;36,1151;36,1400;52,112
12.3.2026 09:00:06,1s;62;49,9965;50,0000;36,1150;36,1400;52,112
12.3.2026 09:00:06,2s;63;49,9961;50,0000;36,1150;36,1400;52,112
12.3.2026 09:00:06,3s;64;49,9957;50,0000;36,1152;36,1400;52,112
12.3.2026 09:00:06,4s;65;49,9953;50,0000;36,1156;36,1400;52,112
12.3.2026 09:00:06,5s;66;49,9950;50,0000;36,1160;36,1400;52,112
12.3.2026 09:00:06,6s;67;49,9946;50,0000;36,1166;36,1400;52,113
12.3.2026 09:00:06,7s;68;49,9943;50,0000;36,1174;36,1400;52,113
12.3.2026 09:00:06,8s;69;49,9939;50,0000;36,1183;36,1400;52,113
12.3.2026 09:00:06,9s;70;49,9936;50,0000;36,1193;36,1400;52,113
12.3.2026 09:00:07,0s;71;49,9934;50,0000;36,1204;36,1400;52,114
12.3.2026 09:00:07,1s;72;49,9931;50,0000;36,1217;36,1400;52,114
12.3.2026 09:00:07,2s;73;49,9929;50,0000;36,1231;36,1400;52,114
12.3.2026 09:00:07,3s;74;49,9927;50,0000;36,1245;36,1400;52,115
12.3.2026 09:00:07,4s;75;49,9925;50,0000;36,1261;36,1400;52,115
12.3.2026 09:00:07,5s;76;49,9924;50,0000;36,1277;36,1400;52,116
12.3.2026 09:00:07,6s;77;49,9922;50,0000;36,1294;36,1400;52,116
12.3.2026 09:00:07,7s;78;49,9921;50,0000;36,1312;36,1400;52,117
12.3.2026 09:00:07,8s;79;49,9921;50,0000;36,1330;36,1400;52,117
12.3.2026 09:00:07,9s;80;49,9920;50,0000;36,1349;36,1400;52,118
12.3.2026 09:00:08,0s;81;49,9920;50,0000;36,1368;36,1400;52,118
12.3.2026 09:00:08,1s;82;49,9920;50,0000;36,1387;36,1400;52,119
12.3.2026 09:00:08,2s;83;49,9920;50,0000;36,1406;36,1400;52,119
12.3.2026 09:00:08,3s;84;49,9921;50,0000;36,1425;36,1400;52,120
12.3.2026 09:00:08,4s;85;49,9922;50,0000;36,1444;36,1400;52,120
12.3.2026 09:00:08,5s;86;49,9923;50,0000;36,1463;36,1400;52,121
12.3.2026 09:00:08,6s;87;49,9925;50,0000;36,1482;36,1400;52,121
12.3.2026 09:00:08,7s;88;49,9926;50,0000;36,1499;36,1400;52,122
12.3.2026 09:00:08,8s;89;49,9928;50,0000;36,1517;36,1400;52,122
12.3.2026 09:00:08,9s;90;49,9931;50,0000;36,1533;36,1400;52,123
12.3.2026 09:00:09,0s;91;49,9933;50,0000;36,1549;36,1400;52,123
12.3.2026 09:00:09,1s;92;49,9936;50,0000;36,1564;36,1400;52,124
12.3.2026 09:00:09,2s;93;49,9939;50,0000;36,1578;36,1400;52,124
12.3.2026 09:00:09,3s;94;49,9942;50,0000;36,1591;36,1400;52,125
12.3.2026 09:00:09,4s;95;49,9945;50,0000;36,1603;36,1400;52,125
12.3.2026 09:00:09,5s;96;49,9949;50,0000;36,1614;36,1400;52,125
12.3.2026 09:00:09,6s;97;49,9952;50,0000;36,1623;36,1400;52,125
12.3.2026 09:00:09,7s;98;49,9956;50,0000;36,1631;36,1400;52,126
12.3.2026 09:00:09,8s;99;49,9960;50,0000;36,1638;36,1400;52,126
12.3.2026 09:00:09,9s;100;49,9965;50,0000;36,1643;36,1400;52,126
12.3.2026 09:00:10,0s;101;49,9969;50,0000;36,1647;36,1400;52,126
12.3.2026 09:00:10,1s;102;49,9973;50,0000;36,1649;36,1400;52,126
12.3.2026 09:00:10,2s;103;49,9978;50,0000;36,1650;36,1400;52,126
12.3.2026 09:00:10,3s;104;49,9982;50,0000;36,1649;36,1400;52,126
12.3.2026 09:00:10,4s;105;49,9987;50,0000;36,1647;36,1400;52,126
12.3.2026 09:00:10,5s;106;49,9991;50,0000;36,1644;36,1400;52,126
12.3.2026 09:00:10,6s;107;49,9996;50,0000;36,1639;36,1400;52,126
12.3.2026 09:00:10,7s;108;50,0001;50,0000;36,1632;36,1400;52,126
12.3.2026 09:00:10,8s;109;50,0006;50,0000;36,1625;36,1400;52,125
12.3.2026 09:00:10,9s;110;50,0010;50,0000;36,1616;36,1400;52,125
12.3.2026 09:00:11,0s;111;50,0015;50,0000;36,1605;36,1400;52,125
12.3.2026 09:00:11,1s;112;50,0019;50,0000;36,1594;36,1400;52,125
12.3.2026 09:00:11,2s;113;50,0024;50,0000;36,1581;36,1400;52,124
12.3.2026 09:00:11,3s;114;50,0028;50,0000;36,1567;36,1400;52,124
12.3.2026 09:00:11,4s;115;50,0033;50,0000;36,1552;36,1400;52,123
12.3.2026 09:00:11,5s;116;50,0037;50,0000;36,1537;36,1400;52,123
12.3.2026 09:00:11,6s;117;50,0041;50,0000;36,1520;36,1400;52,123
12.3.2026 09:00:11,7s;118;50,0045;50,0000;36,1503;36,1400;52,122
12.3.2026 09:00:11,8s;119;50,0049;50,0000;36,1485;36,1400;52,122
12.3.2026 09:00:11,9s;120;50,0053;50,0000;36,1467;36,1400;52,121
12.3.2026 09:00:12,0s;121;50,0056;50,0000;36,1448;36,1400;52,121
12.3.2026 09:00:12,1s;122;50,0059;50,0000;36,1429;36,1400;52,120
12.3.2026 09:00:12,2s;123;50,0062;50,0000;36,1410;36,1400;52,119
12.3.2026 09:00:12,3s;124;50,0065;50,0000;36,1391;36,1400;52,119
12.3.2026 09:00:12,4s;125;50,0068;50,0000;36,1372;36,1400;52,118
12.3.2026 09:00:12,5s;126;50,0070;50,0000;36,1353;36,1400;52,118
12.3.2026 09:00:12,6s;127;50,0072;50,0000;36,1334;36,1400;52,117
12.3.2026 09:00:12,7s;128;50,0074;50,0000;36,1316;36,1400;52,117
12.3.2026 09:00:12,8s;129;50,0076;50,0000;36,1298;36,1400;52,116
12.3.2026 09:00:12,9s;130;50,0077;50,0000;36,1281;36,1400;52,116
12.3.2026 09:00:13,0s;131;50,0078;50,0000;36,1264;36,1400;52,115
12.3.2026 09:00:13,1s;132;50,0079;50,0000;36,1248;36,1400;52,115
12.3.2026 09:00:13,2s;133;50,0080;50,0000;36,1233;36,1400;52,115
12.3.2026 09:00:13,3s;134;50,0080;50,0000;36,1220;36,1400;52,114
12.3.2026 09:00:13,4s;135;50,0080;50,0000;36,1207;36,1400;52,114
12.3.2026 09:00:13,5s;136;50,0080;50,0000;36,1195;36,1400;52,113
12.3.2026 09:00:13,6s;137;50,0079;50,0000;36,1185;36,1400;52,113
12.3.2026 09:00:13,7s;138;50,0078;50,0000;36,1176;36,1400;52,113
12.3.2026 09:00:13,8s;139;50,0077;50,0000;36,1168;36,1400;52,113
12.3.2026 09:00:13,9s;140;50,0076;50,0000;36,1161;36,1400;52,113
12.3.2026 09:00:14,0s;141;50,0074;50,0000;36,1156;36,1400;52,112
12.3.2026 09:00:14,1s;142;50,0072;50,0000;36,1153;36,1400;52,112
12.3.2026 09:00:14,2s;143;50,0070;50,0000;36,1151;36,1400;52,112
12.3.2026 09:00:14,3s;144;50,0068;50,0000;36,1150;36,1400;52,112
12.3.2026 09:00:14,4s;145;50,0065;50,0000;36,1151;36,1400;52,112
12.3.2026 09:00:14,5s;146;50,0062;50,0000;36,1153;36,1400;52,112
