# YDA_VERSION=0.7.2
# YHDA_VERSION=0.7.2
# TEST_SERVICE=PFK
# PLANT_TYPE=HES
# STEP_ID=MINIMUM_REZERV
# SAMPLE_PERIOD_MS=100
# TESIS_ADI=Köprü HES — Örnek/Sentetik Kampanya
# TEST_DATE=2026-03-12
# CITY=Örnek İl
# DATA_CLASS=ÖRNEK / SENTETİK
# PNOM_MW=90
# UNIT_PNOM_MW=90
# RPMAX_MW=9
# RPMIN_MW=9
# PSET_MAX_MW=63
# PSET_MIN_MW=45
# DROOP_PERCENT=4
# DEADBAND_MHZ=0
# MEASUREMENT_DEVICE_TYPE=Veri toplama cihazı
# MEASUREMENT_BRAND=Sentetik örnek
# MEASUREMENT_MODEL=YDA-SIM
# MEASUREMENT_SERIAL_NO=SIM-U2-2026
# MEASUREMENT_SOFTWARE=YDA sentetik veri üreticisi
# CALIBRATION_NO=ÖRNEK
# CALIBRATION_DATE=2026-03-01
# CAMPAIGN_ID=PFK-KOPRU-HES-20260312
# FACILITY_ID=KOPRU-HES
# TEST_SCOPE=MULTI_UNIT
# ENTITY_TYPE=UNIT
# ENTITY_ID=U2
# UNIT_ID=U2
# UNIT_NAME=Ünite-2
# UNIT_COUNT=2
# EVENT_ID=KOPRU-PFK-01
# RUN_ID=RUN-001
# TEST_START=12.3.2026 09:00:00,0s
ZAMAN;SIRA_NO;GRID_FREQUENCY_HZ;TEST_FREQUENCY_HZ;ACTIVE_POWER_MW;ACTIVE_POWER_REFERENCE_MW;GUIDE_VANE_PCT
12.3.2026 10:00:00,0s;1;50,0000;50,0000;45,0000;45,0000;54,600
12.3.2026 10:00:00,1s;2;50,0005;50,0000;45,0018;45,0000;54,600
12.3.2026 10:00:00,2s;3;50,0009;50,0000;45,0036;45,0000;54,601
12.3.2026 10:00:00,3s;4;50,0014;50,0000;45,0053;45,0000;54,601
12.3.2026 10:00:00,4s;5;50,0019;50,0000;45,0070;45,0000;54,602
12.3.2026 10:00:00,5s;6;50,0023;50,0000;45,0087;45,0000;54,602
12.3.2026 10:00:00,6s;7;50,0028;50,0000;45,0104;45,0000;54,603
12.3.2026 10:00:00,7s;8;50,0032;50,0000;45,0120;45,0000;54,603
12.3.2026 10:00:00,8s;9;50,0036;50,0000;45,0135;45,0000;54,604
12.3.2026 10:00:00,9s;10;50,0040;50,0000;45,0150;45,0000;54,604
12.3.2026 10:00:01,0s;11;50,0044;50,0000;45,0164;45,0000;54,605
12.3.2026 10:00:01,1s;12;50,0048;50,0000;45,0177;45,0000;54,605
12.3.2026 10:00:01,2s;13;50,0052;50,0000;45,0189;45,0000;54,605
12.3.2026 10:00:01,3s;14;50,0055;50,0000;45,0200;45,0000;54,606
12.3.2026 10:00:01,4s;15;50,0059;50,0000;45,0210;45,0000;54,606
12.3.2026 10:00:01,5s;16;50,0062;50,0000;45,0219;45,0000;54,606
12.3.2026 10:00:01,6s;17;50,0065;50,0000;45,0227;45,0000;54,606
12.3.2026 10:00:01,7s;18;50,0067;50,0000;45,0234;45,0000;54,607
