Dosya;SHA256;Hizmet;Tesis;Ünite;STEP_ID;Satır;Başlangıç;Bitiş;Örnekleme_ms
U1/RES_MAX_NEG200.csv;c0fe514982933a2048346e0cd9383ddc4f272da30e3d0b72bb2ff8a69e36082e;PFK;HES;U1;RES_MAX_NEG200;9401;12.3.2026 09:00:00,0s;12.3.2026 09:15:40,0s;100
U1/RES_MAX_POS200.csv;43151b7ee6a3265614b7a6c740b0f47d10b8fc9f78bd89ac0d69558fb32020d7;PFK;HES;U1;RES_MAX_POS200;9401;12.3.2026 09:00:00,0s;12.3.2026 09:15:40,0s;100
U1/RES_MIN_NEG200.csv;7714dd928c722067a0c05dbcdb6cc765ca523cb4b35f2c5c837a91daf704d91f;PFK;HES;U1;RES_MIN_NEG200;9401;12.3.2026 09:00:00,0s;12.3.2026 09:15:40,0s;100
U1/RES_MIN_POS200.csv;40568857f707addf7c35356485c969bdc202f55e4008aae992328f32c5dbde41;PFK;HES;U1;RES_MIN_POS200;9401;12.3.2026 09:00:00,0s;12.3.2026 09:15:40,0s;100
U1/HASSASIYET.csv;d4793e3acce743ec617f09a8d7f518ec0780812b3a5711ed8ba313a72cde4bd9;PFK;HES;U1;HASSASIYET;4100;12.3.2026 09:00:00,0s;12.3.2026 09:06:49,9s;100
U1/VALIDATION.csv;4e18277a4134e34d02eaf8ce9e014d13410431f6c54d7daa4ce384e6e2a792fc;PFK;HES;U1;VALIDATION;86400;12.3.2026 09:00:00,0s;13.3.2026 08:59:59,0s;1000
U2/RES_MAX_NEG200.csv;f9e276679fbdabdf433e405db726a5d6a6df4e9b70758065bef36c5c9c10bea8;PFK;HES;U2;RES_MAX_NEG200;9401;12.3.2026 10:00:00,0s;12.3.2026 10:15:40,0s;100
U2/RES_MAX_POS200.csv;e1557b236556d7b0434b732870030db55b5e9db19ef3daf10815d78450b817d2;PFK;HES;U2;RES_MAX_POS200;9401;12.3.2026 10:00:00,0s;12.3.2026 10:15:40,0s;100
U2/RES_MIN_NEG200.csv;92294d2565f17c9c5f8cf0fdb3b9ee8c4b7529409b0c997a9331d1ac5a754ced;PFK;HES;U2;RES_MIN_NEG200;9401;12.3.2026 10:00:00,0s;12.3.2026 10:15:40,0s;100
U2/RES_MIN_POS200.csv;f1620299af6f4892d16f357418d63018d78f50fda14e0b0a857dab6cdbadf1e2;PFK;HES;U2;RES_MIN_POS200;9401;12.3.2026 10:00:00,0s;12.3.2026 10:15:40,0s;100
U2/HASSASIYET.csv;64f7905c31f262b27689045516f45bc3b0880f4b81b2f2d43641137aedbcb244;PFK;HES;U2;HASSASIYET;4100;12.3.2026 10:00:00,0s;12.3.2026 10:06:49,9s;100
U2/VALIDATION.csv;64f1265d42d35cdf6f01de074d2ca9e4ebe30e629be29839e882c5a31b5f852d;PFK;HES;U2;VALIDATION;86400;12.3.2026 10:00:00,0s;13.3.2026 09:59:59,0s;1000
