# YHDA_VERSION=0.6.5
# TEST_SERVICE=PFK
# PLANT_TYPE=TES
# STEP_ID=HASSASIYET
# STEP_NAME=Hassasiyet Testi — Birleşik Frekans Adımları
# TESIS_ADI=YHDA Örnek TES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=600.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=600.0
# UNIT_PNOM_MW=600.0
# RPMAX_MW=36.0
# RPMIN_MW=30.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=516.0
# PSET_MIN_MW=190.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# SENSITIVITY_SEGMENTS=SENS_49_990,SENS_49_995,SENS_50_005,SENS_50_010
# DATA_CLASS=ÖRNEK / SENTETİK
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;regulator_valve_pct;steam_pressure_bar;steam_temperature_c
16.8.2026 09:00:00,0s;1;49,999811;50,000000;516,050989;516,000000;51,030533;165,021888;537,931959
16.8.2026 09:00:00,1s;2;49,999713;50,000000;515,960693;516,000000;51,008241;165,005459;538,015773
16.8.2026 09:00:00,2s;3;49,999826;50,000000;516,077152;516,000000;50,998930;165,004752;537,958227
16.8.2026 09:00:00,3s;4;50,000088;50,000000;515,981360;516,000000;51,000657;165,004854;537,996607
16.8.2026 09:00:00,4s;5;50,000058;50,000000;515,967018;516,000000;51,029988;164,985303;537,984416
16.8.2026 09:00:00,5s;6;49,999892;50,000000;516,019140;516,000000;50,971635;164,993037;537,999829
16.8.2026 09:00:00,6s;7;50,000111;50,000000;516,078596;516,000000;51,027085;165,012065;537,988392
16.8.2026 09:00:00,7s;8;49,999917;50,000000;516,043820;516,000000;51,044318;165,001694;537,985153
16.8.2026 09:00:00,8s;9;49,999957;50,000000;516,014030;516,000000;50,982227;165,030957;538,034103
16.8.2026 09:00:00,9s;10;50,000250;50,000000;515,962021;516,000000;50,991300;164,988003;538,017147
16.8.2026 09:00:01,0s;11;49,999458;50,000000;515,968413;516,000000;51,037771;165,027137;537,957961
16.8.2026 09:00:01,1s;12;49,999694;50,000000;515,969539;516,000000;50,999548;165,039356;537,965010
16.8.2026 09:00:01,2s;13;50,000145;50,000000;516,015948;516,000000;51,008543;164,980137;537,994222
16.8.2026 09:00:01,3s;14;49,999692;50,000000;516,016647;516,000000;51,012047;165,022470;537,994641
16.8.2026 09:00:01,4s;15;50,000069;50,000000;515,983168;516,000000;50,992298;164,980854;537,979170
