# YHDA_VERSION=0.7.2
# TEST_SERVICE=PFK
# PLANT_TYPE=TES
# STEP_ID=MAKSIMUM_REZERV
# STEP_NAME=Maksimum rezerv — birleşik −200/+200 mHz olayları
# TESIS_ADI=YHDA Örnek TES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=600.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.2
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=600.0
# UNIT_PNOM_MW=600.0
# RPMAX_MW=36.0
# RPMIN_MW=30.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=516.0
# PSET_MIN_MW=190.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# YDA_VERSION=0.7.2
# EVENT_SEQUENCE=NEG200,POS200
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;regulator_valve_pct;steam_pressure_bar;steam_temperature_c
16.8.2026 09:00:00,0s;1;49,997120;50,000000;515,936376;516,000000;50,988666;164,814548;537,783284
16.8.2026 09:00:00,1s;2;49,997261;50,000000;515,926211;516,000000;51,074490;164,893700;537,847602
16.8.2026 09:00:00,2s;3;49,997241;50,000000;516,021289;516,000000;51,008279;164,769699;537,983813
16.8.2026 09:00:00,3s;4;49,997757;50,000000;516,034236;516,000000;51,006727;164,914064;537,801134
16.8.2026 09:00:00,4s;5;49,997379;50,000000;515,949684;516,000000;51,017129;164,808751;537,889286
16.8.2026 09:00:00,5s;6;49,997839;50,000000;516,140520;516,000000;51,039868;164,885332;537,840008
16.8.2026 09:00:00,6s;7;49,996760;50,000000;515,925140;516,000000;50,968801;164,864992;537,820879
16.8.2026 09:00:00,7s;8;49,997595;50,000000;516,081215;516,000000;51,069094;164,764665;537,820850
16.8.2026 09:00:00,8s;9;49,997143;50,000000;515,839473;516,000000;50,955865;164,760268;537,931394
16.8.2026 09:00:00,9s;10;49,997407;50,000000;515,872794;516,000000;50,979198;164,757885;537,778506
16.8.2026 09:00:01,0s;11;49,997166;50,000000;516,045946;516,000000;50,926517;164,813368;537,805122
16.8.2026 09:00:01,1s;12;49,997302;50,000000;516,041637;516,000000;51,041449;164,838600;537,950614
16.8.2026 09:00:01,2s;13;49,997464;50,000000;516,083721;516,000000;51,013215;164,861747;537,899202
16.8.2026 09:00:01,3s;14;49,997369;50,000000;516,075357;516,000000;51,012860;164,813271;537,820963
16.8.2026 09:00:01,4s;15;49,997334;50,000000;516,057598;516,000000;50,932361;164,899409;537,769006
16.8.2026 09:00:01,5s;16;49,997172;50,000000;515,876190;516,000000;51,009571;164,865190;537,856816
16.8.2026 09:00:01,6s;17;49,997621;50,000000;515,872707;516,000000;50,987369;164,823847;537,900005
16.8.2026 09:00:01,7s;18;49,998059;50,000000;515,966585;516,000000;51,014059;164,810502;537,770509
16.8.2026 09:00:01,8s;19;49,997529;50,000000;516,229960;516,000000;51,037192;164,829519;537,848623
16.8.2026 09:00:01,9s;20;49,997501;50,000000;515,948311;516,000000;51,000468;164,830751;537,834375
16.8.2026 09:00:02,0s;21;49,997507;50,000000;516,033473;516,000000;51,047175;164,872623;537,883908
16.8.2026 09:00:02,1s;22;49,997446;50,000000;516,011313;516,000000;51,006286;164,829487;537,844431
16.8.2026 09:00:02,2s;23;49,997330;50,000000;516,115448;516,000000;50,993108;164,879126;537,750806
16.8.2026 09:00:02,3s;24;49,997977;50,000000;516,001419;516,000000;50,971668;164,818959;537,811305
16.8.2026 09:00:02,4s;25;49,997844;50,000000;515,971623;516,000000;51,007290;164,781490;537,955840
16.8.2026 09:00:02,5s;26;49,997611;50,000000;515,917823;516,000000;51,038200;164,869010;537,789955
16.8.2026 09:00:02,6s;27;49,997891;50,000000;516,019902;516,000000;50,976898;164,816935;537,873814
16.8.2026 09:00:02,7s;28;49,997404;50,000000;516,013726;516,000000;51,013395;164,894767;537,862021
16.8.2026 09:00:02,8s;29;49,997330;50,000000;515,932966;516,000000;51,070695;164,832940;537,878660
16.8.2026 09:00:02,9s;30;49,997642;50,000000;515,981658;516,000000;51,061947;164,806020;537,895769
16.8.2026 09:00:03,0s;31;49,997684;50,000000;516,123931;516,000000;51,023703;164,824339;537,924797
16.8.2026 09:00:03,1s;32;49,996886;50,000000;516,158783;516,000000;51,010982;164,850846;537,843968
16.8.2026 09:00:03,2s;33;49,997776;50,000000;515,981171;516,000000;51,013791;164,807010;537,827869
16.8.2026 09:00:03,3s;34;49,997826;50,000000;515,953160;516,000000;50,960633;164,861000;537,904566
16.8.2026 09:00:03,4s;35;49,997729;50,000000;516,068401;516,000000;50,967018;164,800912;537,795861
16.8.2026 09:00:03,5s;36;49,997810;50,000000;515,965085;516,000000;50,976274;164,898653;537,791536
16.8.2026 09:00:03,6s;37;49,997761;50,000000;515,915956;516,000000;51,034962;164,832771;537,914314
16.8.2026 09:00:03,7s;38;49,997656;50,000000;515,947757;516,000000;51,073789;164,882787;537,897523
16.8.2026 09:00:03,8s;39;49,997959;50,000000;515,917721;516,000000;50,951973;164,879079;537,980604
16.8.2026 09:00:03,9s;40;49,997553;50,000000;516,089940;516,000000;51,009780;164,857982;537,893152
16.8.2026 09:00:04,0s;41;49,998074;50,000000;516,047253;516,000000;51,020785;164,844352;537,820596
16.8.2026 09:00:04,1s;42;49,997512;50,000000;516,100704;516,000000;50,992965;164,868337;537,777673
16.8.2026 09:00:04,2s;43;49,997952;50,000000;516,092964;516,000000;51,091343;164,833910;537,880917
16.8.2026 09:00:04,3s;44;49,997896;50,000000;515,987261;516,000000;51,065940;164,902663;537,823582
16.8.2026 09:00:04,4s;45;49,997649;50,000000;515,951477;516,000000;51,007429;164,812281;537,865318
16.8.2026 09:00:04,5s;46;49,998055;50,000000;515,887261;516,000000;51,040401;164,881664;537,872847
16.8.2026 09:00:04,6s;47;49,997965;50,000000;516,117997;516,000000;50,965216;164,838258;537,850383
