# YHDA_VERSION=0.7.2
# TEST_SERVICE=PFK
# PLANT_TYPE=TES
# STEP_ID=MINIMUM_REZERV
# STEP_NAME=Minimum rezerv — birleşik −200/+200 mHz olayları
# TESIS_ADI=YHDA Örnek TES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=600.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.2
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=600.0
# UNIT_PNOM_MW=600.0
# RPMAX_MW=36.0
# RPMIN_MW=30.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=516.0
# PSET_MIN_MW=190.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# YDA_VERSION=0.7.2
# EVENT_SEQUENCE=NEG200,POS200
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;regulator_valve_pct;steam_pressure_bar;steam_temperature_c
16.8.2026 09:00:00,0s;1;49,996991;50,000000;190,105429;190,000000;50,979423;164,848794;537,822708
16.8.2026 09:00:00,1s;2;49,997401;50,000000;189,933207;190,000000;50,987624;164,808416;537,819677
16.8.2026 09:00:00,2s;3;49,997407;50,000000;190,044853;190,000000;50,987334;164,814336;537,815589
16.8.2026 09:00:00,3s;4;49,997678;50,000000;189,997931;190,000000;50,998773;164,799362;537,783648
16.8.2026 09:00:00,4s;5;49,996866;50,000000;189,964096;190,000000;51,022446;164,860703;537,739458
16.8.2026 09:00:00,5s;6;49,997149;50,000000;189,967618;190,000000;50,967730;164,778789;537,910430
16.8.2026 09:00:00,6s;7;49,997316;50,000000;189,994851;190,000000;51,038695;164,788964;537,903836
16.8.2026 09:00:00,7s;8;49,997666;50,000000;190,002708;190,000000;50,934891;164,849354;537,872295
16.8.2026 09:00:00,8s;9;49,997442;50,000000;190,160247;190,000000;51,059322;164,858061;537,906640
16.8.2026 09:00:00,9s;10;49,997118;50,000000;190,009189;190,000000;50,976466;164,778222;537,892500
16.8.2026 09:00:01,0s;11;49,997634;50,000000;190,065493;190,000000;50,974167;164,838273;537,837719
16.8.2026 09:00:01,1s;12;49,997291;50,000000;190,028980;190,000000;50,925420;164,821435;537,817855
16.8.2026 09:00:01,2s;13;49,997169;50,000000;190,054259;190,000000;51,034838;164,796637;537,864542
16.8.2026 09:00:01,3s;14;49,997201;50,000000;189,966837;190,000000;50,944881;164,823089;537,885521
16.8.2026 09:00:01,4s;15;49,997654;50,000000;189,992183;190,000000;51,030324;164,822776;537,844576
16.8.2026 09:00:01,5s;16;49,997364;50,000000;190,017360;190,000000;50,979436;164,860407;537,908395
16.8.2026 09:00:01,6s;17;49,997586;50,000000;190,020520;190,000000;51,006660;164,817400;537,851246
16.8.2026 09:00:01,7s;18;49,997577;50,000000;189,956054;190,000000;50,961331;164,796749;537,892153
16.8.2026 09:00:01,8s;19;49,997464;50,000000;189,967295;190,000000;51,018998;164,796393;537,781425
16.8.2026 09:00:01,9s;20;49,997691;50,000000;190,233633;190,000000;50,933877;164,819263;537,829255
16.8.2026 09:00:02,0s;21;49,997483;50,000000;190,131506;190,000000;50,999819;164,840164;537,860969
