# YHDA_VERSION=0.6.4
# TEST_SERVICE=PFK
# PLANT_TYPE=TES
# STEP_ID=RES_MAX_POS200
# STEP_NAME=Maksimum çıkış gücü — Δf = +200 mHz / 50,2 Hz
# TESIS_ADI=YHDA Örnek TES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=600.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.4
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=600.0
# UNIT_PNOM_MW=600.0
# RPMAX_MW=36.0
# RPMIN_MW=30.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=516.0
# PSET_MIN_MW=190.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;regulator_valve_pct;steam_pressure_bar;steam_temperature_c
16.8.2026 08:59:40,0s;1;49,997011;50,000000;515,814131;516,000000;50,950458;164,800885;537,876819
16.8.2026 08:59:40,1s;2;49,996875;50,000000;515,938736;516,000000;50,979520;164,785581;537,875606
16.8.2026 08:59:40,2s;3;49,997550;50,000000;516,101252;516,000000;50,971746;164,797009;537,919274
16.8.2026 08:59:40,3s;4;49,997512;50,000000;515,847659;516,000000;50,995423;164,790450;537,867875
16.8.2026 08:59:40,4s;5;49,997031;50,000000;516,004986;516,000000;50,905948;164,786164;537,928238
16.8.2026 08:59:40,5s;6;49,997428;50,000000;515,983674;516,000000;51,008723;164,787000;537,792295
16.8.2026 08:59:40,6s;7;49,997275;50,000000;515,853184;516,000000;50,981648;164,796150;537,807861
16.8.2026 08:59:40,7s;8;49,997225;50,000000;516,073028;516,000000;51,064427;164,864613;537,834143
16.8.2026 08:59:40,8s;9;49,997287;50,000000;515,866536;516,000000;51,016154;164,862602;537,895873
16.8.2026 08:59:40,9s;10;49,997702;50,000000;516,044754;516,000000;50,975038;164,789275;537,825811
16.8.2026 08:59:41,0s;11;49,998063;50,000000;516,027185;516,000000;51,008429;164,849281;537,916423
16.8.2026 08:59:41,1s;12;49,997614;50,000000;516,022720;516,000000;51,074160;164,835017;537,870192
16.8.2026 08:59:41,2s;13;49,997790;50,000000;516,082891;516,000000;50,972414;164,774951;537,831806
16.8.2026 08:59:41,3s;14;49,997288;50,000000;516,043741;516,000000;50,909567;164,822908;537,823114
