# YHDA_VERSION=0.6.4
# TEST_SERVICE=PFK
# PLANT_TYPE=TES
# STEP_ID=RES_MIN_POS200
# STEP_NAME=Minimum çıkış gücü — Δf = +200 mHz / 50,2 Hz
# TESIS_ADI=YHDA Örnek TES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=600.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.4
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=600.0
# UNIT_PNOM_MW=600.0
# RPMAX_MW=36.0
# RPMIN_MW=30.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=516.0
# PSET_MIN_MW=190.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;regulator_valve_pct;steam_pressure_bar;steam_temperature_c
16.8.2026 08:59:40,0s;1;49,996957;50,000000;189,991242;190,000000;50,993600;164,806632;537,782713
16.8.2026 08:59:40,1s;2;49,997204;50,000000;189,942192;190,000000;51,010960;164,854554;537,772487
16.8.2026 08:59:40,2s;3;49,997430;50,000000;190,076934;190,000000;51,055437;164,869790;537,766584
16.8.2026 08:59:40,3s;4;49,997498;50,000000;190,207542;190,000000;51,003473;164,870871;537,876992
16.8.2026 08:59:40,4s;5;49,997375;50,000000;190,093536;190,000000;51,016388;164,865096;537,788030
16.8.2026 08:59:40,5s;6;49,997312;50,000000;190,082571;190,000000;50,992633;164,877268;537,979374
16.8.2026 08:59:40,6s;7;49,996743;50,000000;190,083388;190,000000;51,057037;164,884637;537,872673
16.8.2026 08:59:40,7s;8;49,997558;50,000000;190,003059;190,000000;50,993655;164,790498;537,800860
16.8.2026 08:59:40,8s;9;49,997694;50,000000;189,979587;190,000000;50,955949;164,779463;537,807903
16.8.2026 08:59:40,9s;10;49,997513;50,000000;189,981039;190,000000;51,064053;164,803249;537,836080
16.8.2026 08:59:41,0s;11;49,997647;50,000000;189,862220;190,000000;50,999359;164,917953;537,824162
16.8.2026 08:59:41,1s;12;49,997428;50,000000;189,860530;190,000000;50,966143;164,832130;537,868741
16.8.2026 08:59:41,2s;13;49,997646;50,000000;190,111141;190,000000;51,045961;164,809642;537,776955
16.8.2026 08:59:41,3s;14;49,997635;50,000000;190,030889;190,000000;51,061338;164,802793;537,923189
16.8.2026 08:59:41,4s;15;49,997812;50,000000;189,915308;190,000000;51,057803;164,809054;537,875316
16.8.2026 08:59:41,5s;16;49,997903;50,000000;189,926429;190,000000;51,003560;164,854134;537,873023
16.8.2026 08:59:41,6s;17;49,997056;50,000000;190,172819;190,000000;50,965657;164,825888;537,857732
16.8.2026 08:59:41,7s;18;49,997255;50,000000;189,897890;190,000000;51,061329;164,807131;537,792397
16.8.2026 08:59:41,8s;19;49,997736;50,000000;189,883122;190,000000;51,067356;164,741113;537,853464
16.8.2026 08:59:41,9s;20;49,997468;50,000000;189,993763;190,000000;51,064189;164,814928;537,860866
16.8.2026 08:59:42,0s;21;49,998045;50,000000;190,004030;190,000000;51,006859;164,794930;537,852132
16.8.2026 08:59:42,1s;22;49,997333;50,000000;190,088293;190,000000;50,977170;164,888088;537,878142
16.8.2026 08:59:42,2s;23;49,997815;50,000000;189,927065;190,000000;50,978197;164,855161;537,861555
16.8.2026 08:59:42,3s;24;49,997826;50,000000;189,960102;190,000000;50,999683;164,809653;537,794972
16.8.2026 08:59:42,4s;25;49,998128;50,000000;190,039494;190,000000;50,956886;164,885158;537,917392
16.8.2026 08:59:42,5s;26;49,997395;50,000000;190,082047;190,000000;51,020793;164,952114;537,835974
16.8.2026 08:59:42,6s;27;49,998170;50,000000;190,015402;190,000000;50,996049;164,843075;537,809763
16.8.2026 08:59:42,7s;28;49,997553;50,000000;190,135669;190,000000;50,904552;164,830238;537,846769
16.8.2026 08:59:42,8s;29;49,997765;50,000000;190,122753;190,000000;50,996771;164,898795;537,801665
16.8.2026 08:59:42,9s;30;49,997555;50,000000;189,830867;190,000000;50,961681;164,794457;537,861418
16.8.2026 08:59:43,0s;31;49,997528;50,000000;190,055188;190,000000;51,032204;164,879545;537,908560
16.8.2026 08:59:43,1s;32;49,997378;50,000000;189,868420;190,000000;50,968288;164,793457;537,895994
16.8.2026 08:59:43,2s;33;49,997950;50,000000;190,036010;190,000000;51,030879;164,848226;537,813674
16.8.2026 08:59:43,3s;34;49,997701;50,000000;189,845090;190,000000;50,965840;164,871199;537,853083
16.8.2026 08:59:43,4s;35;49,998108;50,000000;189,878074;190,000000;51,009044;164,880698;537,803902
