# YHDA_VERSION=0.6.0
# TEST_SERVICE=PFK
# PLANT_TYPE=TES
# STEP_ID=SENS_49_990
# STEP_NAME=Hassasiyet — 49,990 Hz
# TESIS_ADI=YHDA Örnek TES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=600.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=600.0
# UNIT_PNOM_MW=600.0
# RPMAX_MW=36.0
# RPMIN_MW=30.0
# DROOP_PERCENT=6
# DEADBAND_MHZ=0
# PSET_MAX_MW=516.0
# PSET_MIN_MW=190.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
time_s;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;regulator_valve_pct;steam_pressure_bar;steam_temperature_c
-30,000000;49,999811;50,000000;516,050989;516,000000;51,030533;165,021888;537,931959
-29,900000;49,999713;50,000000;515,960693;516,000000;51,008241;165,005459;538,015773
-29,800000;49,999826;50,000000;516,077152;516,000000;50,998930;165,004752;537,958227
-29,700000;50,000088;50,000000;515,981360;516,000000;51,000657;165,004854;537,996607
-29,600000;50,000058;50,000000;515,967018;516,000000;51,029988;164,985303;537,984416
-29,500000;49,999892;50,000000;516,019140;516,000000;50,971635;164,993037;537,999829
-29,400000;50,000111;50,000000;516,078596;516,000000;51,027085;165,012065;537,988392
-29,300000;49,999917;50,000000;516,043820;516,000000;51,044318;165,001694;537,985153
-29,200000;49,999957;50,000000;516,014030;516,000000;50,982227;165,030957;538,034103
-29,100000;50,000250;50,000000;515,962021;516,000000;50,991300;164,988003;538,017147
-29,000000;49,999458;50,000000;515,968413;516,000000;51,037771;165,027137;537,957961
-28,900000;49,999694;50,000000;515,969539;516,000000;50,999548;165,039356;537,965010
-28,800000;50,000145;50,000000;516,015948;516,000000;51,008543;164,980137;537,994222
-28,700000;49,999692;50,000000;516,016647;516,000000;51,012047;165,022470;537,994641
-28,600000;50,000069;50,000000;515,983168;516,000000;50,992298;164,980854;537,979170
-28,500000;50,000120;50,000000;516,003042;516,000000;50,957102;164,978490;538,067588
-28,400000;49,999887;50,000000;515,991765;516,000000;51,017070;164,994907;538,056305
