# YHDA_VERSION=0.6.0
# TEST_SERVICE=RGDH
# PLANT_TYPE=EDUEDT
# STEP_ID=CHARGE_OE_MAX
# STEP_NAME=Sistemden enerji çekerken — aşırı ikaz maksimum
# TESIS_ADI=YHDA Örnek Depolamalı GES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=60
# AUX_SOURCE_PNOM_MW=100
# ONLINE_TOTAL_MW=160
# MAX_ACCESSIBLE_POWER_MW=90
# Q_REQUIRED_OE_MVAR=40
# Q_REQUIRED_UE_MVAR=-40
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
# TOTAL_UNIT_COUNT=2
# ONLINE_UNIT_COUNT=2
# STEP_Q_TARGET_MVAR=40
# STEP_PSET_MW=-90
time_s;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar;soc_pct;stored_energy_mwh
0;154,008072;154,000000;-90,012442;-0,128754;0;-0,032188;-90,012442;-0,096565;65,000000;130,000000
1;154,009013;154,000000;-90,007901;-0,026362;0;-0,006590;-90,007901;-0,019771;65,012501;130,025002
2;153,996251;154,000000;-90,081484;-0,093282;0;-0,023320;-90,081484;-0,069961;65,025023;130,050045
3;153,992693;154,000000;-90,062530;-0,124716;0;-0,031179;-90,062530;-0,093537;65,037526;130,075052
4;154,008308;154,000000;-90,026045;-0,090872;0;-0,022718;-90,026045;-0,068154;65,050014;130,100029
5;154,009875;154,000000;-90,108866;0,182518;0;0,045629;-90,108866;0,136888;65,062576;130,125151
6;154,005735;154,000000;-90,014790;-0,123917;0;-0,030979;-90,014790;-0,092938;65,075012;130,150025
7;154,045807;154,000000;-90,002069;0,191878;0;0,047969;-90,002069;0,143908;65,087502;130,175004
8;154,022099;154,000000;-90,031976;-0,074982;0;-0,018745;-90,031976;-0,056236;65,100036;130,200071
9;153,997308;154,000000;-89,924125;0,017944;0;0,004486;-89,924125;0,013458;65,112405;130,224810
10;154,044951;154,000000;-89,980366;0,097073;0;0,024268;-89,980366;0,072805;65,124973;130,249945
11;154,026208;154,000000;-90,085201;-0,197658;0;-0,049414;-90,085201;-0,148243;65,137630;130,275260
12;153,984759;154,000000;-90,070971;0,061999;0;0,015500;-90,070971;0,046499;65,150118;130,300237
13;154,013311;154,000000;-89,998838;0,043351;0;0,010838;-89,998838;0,032513;65,162498;130,324996
14;153,994897;154,000000;-89,925380;-0,100509;0;-0,025127;-89,925380;-0,075382;65,174855;130,349710
15;153,990972;154,000000;-89,985102;-0,065095;0;-0,016274;-89,985102;-0,048821;65,187469;130,374938
16;154,058276;154,000000;-90,032885;0,120053;0;0,030013;-90,032885;0,090040;65,200073;130,400146
17;153,995041;154,000000;-90,029700;0,130117;0;0,032529;-90,029700;0,097588;65,212570;130,425140
18;154,008829;154,000000;-90,092256;0,097456;0;0,024364;-90,092256;0,073092;65,225231;130,450461
19;153,996945;154,000000;-90,064929;0,227925;0;0,056981;-90,064929;0,170944;65,237671;130,475343
20;154,022136;154,000000;-89,967537;0,047119;0;0,011780;-89,967537;0,035339;65,249910;130,499820
21;154,003865;154,000000;-89,995388;0,115463;0;0,028866;-89,995388;0,086597;65,262487;130,524973
22;154,024261;154,000000;-89,972353;-0,096219;0;-0,024055;-89,972353;-0,072164;65,274916;130,549831
23;153,976252;154,000000;-90,011581;0,011845;0;0,002961;-90,011581;0,008884;65,287537;130,575074
24;154,038338;154,000000;-90,039234;0,205422;0;0,051356;-90,039234;0,154067;65,300131;130,600262
25;154,051943;154,000000;-90,073308;0,079775;0;0,019944;-90,073308;0,059831;65,312755;130,625509
26;153,992746;154,000000;-90,036584;-0,060912;0;-0,015228;-90,036584;-0,045684;65,325132;130,650264
27;154,000615;154,000000;-89,892518;0,056583;0;0,014146;-89,892518;0,042437;65,337097;130,674194
28;154,044031;154,000000;-89,945958;-0,093586;0;-0,023397;-89,945958;-0,070190;65,349790;130,699580
29;154,044400;154,000000;-89,978499;0,095096;0;0,023774;-89,978499;0,071322;65,362413;130,724827
30;154,018279;154,000000;-89,983179;0,037103;0;0,009276;-89,983179;0,027827;65,374930;130,749860
31;154,027101;154,000000;-90,012365;0,134690;0;0,033673;-90,012365;0,101018;65,387553;130,775106
32;154,034101;154,000000;-90,015839;0,014385;0;0,003596;-90,015839;0,010789;65,400070;130,800141
33;154,013951;154,000000;-90,040865;0,265924;0;0,066481;-90,040865;0,199443;65,412687;130,825375
34;154,027776;154,000000;-89,919068;0,363866;0;0,090967;-89,919068;0,272900;65,424618;130,849236
35;154,041028;154,000000;-89,977855;0,566756;0;0,141689;-89,977855;0,425067;65,437392;130,874785
36;154,009978;154,000000;-89,970585;0,810563;0;0,202641;-89,970585;0,607923;65,449853;130,899706
37;154,018901;154,000000;-90,032641;1,103253;0;0,275813;-90,032641;0,827440;65,462668;130,925335
38;154,009216;154,000000;-90,064516;1,234804;0;0,308701;-90,064516;0,926103;65,475340;130,950681
39;154,005599;154,000000;-90,084114;1,596048;0;0,399012;-90,084114;1,197036;65,487956;130,975911
40;154,029649;154,000000;-89,985266;1,930184;0;0,482546;-89,985266;1,447638;65,499918;130,999836
41;154,057759;154,000000;-90,014511;2,535111;0;0,633778;-90,014511;1,901334;65,512583;131,025165
42;154,030822;154,000000;-90,028510;2,690188;0;0,672547;-90,028510;2,017641;65,525166;131,050333
43;154,032903;154,000000;-90,063270;3,143089;0;0,785772;-90,063270;2,357317;65,537878;131,075756
44;154,028722;154,000000;-90,029585;3,481192;0;0,870298;-90,029585;2,610894;65,550181;131,100362
45;154,024268;154,000000;-89,973120;4,303854;0;1,075964;-89,973120;3,227891;65,562332;131,124664
46;154,020217;154,000000;-89,996557;4,776006;0;1,194002;-89,996557;3,582005;65,574978;131,149956
47;153,972924;154,000000;-89,931966;5,186940;0;1,296735;-89,931966;3,890205;65,587056;131,174112
48;154,048185;154,000000;-89,976774;5,931751;0;1,482938;-89,976774;4,448814;65,599845;131,199690
49;154,028822;154,000000;-90,032346;6,436356;0;1,609089;-90,032346;4,827267;65,612720;131,225440
50;154,064366;154,000000;-89,998437;6,965736;0;1,741434;-89,998437;5,224302;65,624989;131,249978
51;154,071988;154,000000;-90,054140;7,582377;0;1,895594;-90,054140;5,686783;65,637883;131,275767
52;154,028725;154,000000;-89,967416;8,303091;0;2,075773;-89,967416;6,227319;65,649765;131,299529
53;154,053937;154,000000;-89,937313;9,056938;0;2,264235;-89,937313;6,792704;65,662039;131,324077
54;154,091745;154,000000;-90,010419;9,738944;0;2,434736;-90,010419;7,304208;65,675078;131,350156
55;154,054026;154,000000;-89,929244;10,363968;0;2,590992;-89,929244;7,772976;65,686960;131,373919
56;154,044859;154,000000;-89,906027;10,953127;0;2,738282;-89,906027;8,214845;65,699269;131,398538
57;154,075348;154,000000;-90,054390;11,635020;0;2,908755;-90,054390;8,726265;65,712931;131,425861
58;154,040784;154,000000;-89,931652;12,580791;0;3,145198;-89,931652;9,435593;65,724449;131,448899
59;154,038948;154,000000;-89,928520;13,575323;0;3,393831;-89,928520;10,181492;65,736914;131,473829
60;154,070712;154,000000;-89,976667;14,110896;0;3,527724;-89,976667;10,583172;65,749806;131,499611
61;154,039996;154,000000;-89,956804;14,893019;0;3,723255;-89,956804;11,169764;65,762134;131,524268
62;154,052553;154,000000;-89,919287;15,580151;0;3,895038;-89,919287;11,685113;65,774305;131,548610
63;154,055628;154,000000;-90,015713;16,473944;0;4,118486;-90,015713;12,355458;65,787637;131,575275
64;154,055607;154,000000;-90,009652;17,124458;0;4,281115;-90,009652;12,843344;65,800086;131,600172
65;154,047579;154,000000;-89,933787;17,892394;0;4,473098;-89,933787;13,419295;65,811902;131,623804
66;154,062172;154,000000;-90,004867;18,702417;0;4,675604;-90,004867;14,026813;65,825045;131,650089
67;154,068369;154,000000;-89,952883;19,552803;0;4,888201;-89,952883;14,664603;65,837062;131,674123
68;154,061619;154,000000;-89,916046;20,288381;0;5,072095;-89,916046;15,216286;65,849207;131,698414
69;154,074399;154,000000;-89,991299;21,051914;0;5,262979;-89,991299;15,788936;65,862417;131,724833
70;154,084047;154,000000;-90,055559;21,869458;0;5,467365;-90,055559;16,402094;65,875540;131,751080
71;154,010194;154,000000;-89,986096;22,622374;0;5,655593;-89,986096;16,966780;65,887363;131,774726
72;154,076836;154,000000;-90,051744;23,693322;0;5,923331;-90,051744;17,769992;65,900517;131,801035
73;154,117664;154,000000;-89,951996;24,145766;0;6,036441;-89,951996;18,109324;65,912013;131,824027
74;154,058868;154,000000;-89,980197;25,148436;0;6,287109;-89,980197;18,861327;65,924796;131,849593
75;154,104579;154,000000;-89,919407;26,049189;0;6,512297;-89,919407;19,536892;65,936660;131,873321
76;154,084910;154,000000;-89,928911;26,734449;0;6,683612;-89,928911;20,050837;65,949250;131,898499
77;154,106276;154,000000;-89,945500;27,491997;0;6,872999;-89,945500;20,618998;65,961917;131,923834
78;154,101428;154,000000;-89,937514;28,249755;0;7,062439;-89,937514;21,187316;65,974323;131,948646
79;154,052110;154,000000;-90,039476;29,012100;0;7,253025;-90,039476;21,759075;65,987933;131,975866
80;154,083757;154,000000;-89,981108;29,551232;0;7,387808;-89,981108;22,163424;65,999790;131,999580
81;154,063842;154,000000;-89,983017;30,590534;0;7,647633;-89,983017;22,942900;66,012309;132,024618
82;154,054369;154,000000;-89,959261;31,005090;0;7,751273;-89,959261;23,253818;66,024536;132,049072
83;154,042637;154,000000;-89,937703;31,581619;0;7,895405;-89,937703;23,686214;66,036782;132,073564
84;154,103902;154,000000;-90,007268;32,337857;0;8,084464;-90,007268;24,253393;66,050085;132,100170
85;154,082973;154,000000;-90,009458;33,088828;0;8,272207;-90,009458;24,816621;66,062612;132,125223
86;154,063895;154,000000;-89,969518;33,642130;0;8,410532;-89,969518;25,231597;66,074636;132,149272
87;154,044765;154,000000;-89,962430;34,278767;0;8,569692;-89,962430;25,709075;66,087046;132,174092
88;154,053915;154,000000;-90,006341;34,766574;0;8,691644;-90,006341;26,074931;66,100078;132,200155
89;154,089320;154,000000;-89,909765;35,230421;0;8,807605;-89,909765;26,422816;66,111385;132,222769
90;154,089141;154,000000;-90,104884;36,008463;0;9,002116;-90,104884;27,006347;66,126311;132,252622
91;154,094688;154,000000;-89,956899;36,297667;0;9,074417;-89,956899;27,223251;66,136955;132,273911
92;154,054323;154,000000;-89,879865;36,770652;0;9,192663;-89,879865;27,577989;66,148465;132,296930
93;154,055241;154,000000;-89,942588;37,190101;0;9,297525;-89,942588;27,892576;66,161758;132,323517
94;154,068048;154,000000;-90,028979;37,842438;0;9,460610;-90,028979;28,381829;66,175378;132,350757
95;154,091881;154,000000;-90,038184;38,079197;0;9,519799;-90,038184;28,559398;66,188004;132,376008
96;154,079853;154,000000;-90,049182;38,309963;0;9,577491;-90,049182;28,732473;66,200656;132,401312
97;154,096499;154,000000;-90,077552;38,765822;0;9,691455;-90,077552;29,074366;66,213545;132,427090
98;154,044802;154,000000;-89,917015;38,978303;0;9,744576;-89,917015;29,233727;66,223870;132,447741
99;154,092540;154,000000;-90,078616;39,167119;0;9,791780;-90,078616;29,375339;66,238581;132,477162
100;154,061356;154,000000;-90,026084;39,631902;0;9,907976;-90,026084;29,723927;66,250362;132,500725
101;154,042382;154,000000;-90,030105;39,596239;0;9,899060;-90,030105;29,697179;66,262922;132,525845
102;154,078428;154,000000;-90,063473;39,845616;0;9,961404;-90,063473;29,884212;66,275899;132,551798
103;154,061842;154,000000;-89,992209;39,747761;0;9,936940;-89,992209;29,810821;66,287389;132,574777
104;154,116619;154,000000;-90,068188;39,961630;0;9,990408;-90,068188;29,971223;66,300985;132,601970
105;154,061889;154,000000;-90,009869;40,113421;0;10,028355;-90,009869;30,085065;66,312644;132,625288
106;154,014751;154,000000;-90,023567;40,109206;0;10,027302;-90,023567;30,081905;66,325347;132,650694
107;154,067385;154,000000;-90,073151;40,200865;0;10,050216;-90,073151;30,150648;66,338587;132,677174
108;154,092475;154,000000;-89,919591;39,967076;0;9,991769;-89,919591;29,975307;66,348794;132,697588
109;154,060785;154,000000;-90,047624;40,102282;0;10,025570;-90,047624;30,076711;66,363221;132,726442
110;154,120541;154,000000;-89,908750;39,915158;0;9,978789;-89,908750;29,936368;66,373606;132,747212
111;154,080401;154,000000;-89,952355;40,123539;0;10,030885;-89,952355;30,092654;66,386765;132,773531
112;154,077181;154,000000;-89,977151;40,102170;0;10,025542;-89,977151;30,076627;66,399645;132,799289
113;154,070786;154,000000;-89,920553;39,954020;0;9,988505;-89,920553;29,965515;66,411253;132,822506
114;154,059826;154,000000;-90,013536;40,065740;0;10,016435;-90,013536;30,049305;66,425214;132,850429
115;154,043368;154,000000;-90,024245;40,111222;0;10,027806;-90,024245;30,083417;66,437887;132,875774
116;154,062086;154,000000;-89,978040;39,994231;0;9,998558;-89,978040;29,995673;66,449646;132,899292
117;154,084890;154,000000;-89,905528;40,087714;0;10,021928;-89,905528;30,065785;66,460965;132,921930
118;154,059422;154,000000;-90,083608;40,083140;0;10,020785;-90,083608;30,062355;66,476370;132,952740
119;154,095402;154,000000;-89,974275;39,843579;0;9,960895;-89,974275;29,882684;66,487075;132,974150
120;154,049058;154,000000;-90,021680;40,115540;0;10,028885;-90,021680;30,086655;66,500361;133,000723
121;154,068021;154,000000;-89,891216;40,078235;0;10,019559;-89,891216;30,058676;66,510672;133,021344
122;154,077705;154,000000;-89,971061;40,109262;0;10,027315;-89,971061;30,081946;66,524510;133,049019
123;154,078784;154,000000;-90,024575;39,865773;0;9,966443;-90,024575;29,899330;66,537920;133,075840
124;154,051344;154,000000;-90,014313;39,778275;0;9,944569;-90,014313;29,833706;66,550247;133,100493
125;154,048394;154,000000;-89,952585;39,914652;0;9,978663;-89,952585;29,935989;66,561677;133,123354
126;154,043314;154,000000;-89,949974;40,082515;0;10,020629;-89,949974;30,061886;66,574125;133,148249
127;154,089081;154,000000;-89,930909;40,048594;0;10,012148;-89,930909;30,036445;66,586281;133,172563
128;154,077510;154,000000;-89,993671;40,242476;0;10,060619;-89,993671;30,181857;66,599887;133,199775
129;154,089384;154,000000;-90,037561;39,830580;0;9,957645;-90,037561;29,872935;66,613173;133,226346
130;154,077671;154,000000;-89,956999;39,837522;0;9,959380;-89,956999;29,878141;66,624224;133,248447
131;154,081063;154,000000;-90,008226;40,082863;0;10,020716;-90,008226;30,062147;66,637650;133,275299
132;154,108037;154,000000;-90,027620;40,060384;0;10,015096;-90,027620;30,045288;66,650506;133,301013
133;154,077350;154,000000;-89,992390;40,044795;0;10,011199;-89,992390;30,033596;66,662359;133,324719
134;154,062663;154,000000;-89,945040;40,035146;0;10,008787;-89,945040;30,026360;66,673977;133,347954
135;154,100464;154,000000;-89,919995;39,774048;0;9,943512;-89,919995;29,830536;66,686000;133,372000
136;154,083720;154,000000;-89,933079;40,001622;0;10,000405;-89,933079;30,001216;66,698736;133,397472
137;154,072908;154,000000;-90,036895;40,079629;0;10,019907;-90,036895;30,059722;66,713202;133,426404
138;154,059899;154,000000;-89,937549;40,042985;0;10,010746;-89,937549;30,032239;66,723803;133,447606
139;154,081835;154,000000;-90,093181;40,033521;0;10,008380;-90,093181;30,025141;66,739299;133,478598
140;154,077605;154,000000;-90,048411;40,099513;0;10,024878;-90,048411;30,074635;66,750941;133,501883
141;154,140098;154,000000;-90,060006;39,869998;0;9,967499;-90,060006;29,902498;66,763675;133,527350
142;154,055130;154,000000;-90,043497;40,129119;0;10,032280;-90,043497;30,096839;66,775858;133,551716
143;154,088957;154,000000;-89,969196;39,973893;0;9,993473;-89,969196;29,980420;66,786888;133,573776
144;154,088025;154,000000;-90,082121;40,026185;0;10,006546;-90,082121;30,019639;66,801642;133,603285
145;154,053893;154,000000;-89,998764;39,911817;0;9,977954;-89,998764;29,933863;66,812475;133,624950
146;154,055741;154,000000;-89,997272;40,121164;0;10,030291;-89,997272;30,090873;66,824945;133,649889
147;154,101035;154,000000;-90,085752;39,943894;0;9,985973;-90,085752;29,957920;66,839251;133,678502
148;154,073527;154,000000;-90,028593;40,052448;0;10,013112;-90,028593;30,039336;66,850588;133,701176
149;154,070482;154,000000;-89,916495;39,903950;0;9,975987;-89,916495;29,927962;66,860772;133,721544
150;154,065580;154,000000;-90,011497;40,007316;0;10,001829;-90,011497;30,005487;66,875240;133,750479
151;154,109756;154,000000;-90,063022;40,048604;0;10,012151;-90,063022;30,036453;66,888822;133,777643
152;154,078632;154,000000;-89,980426;39,766162;0;9,941540;-89,980426;29,824621;66,899587;133,799174
153;154,085517;154,000000;-89,973233;40,042514;0;10,010628;-89,973233;30,031885;66,911931;133,823862
154;154,077920;154,000000;-89,990435;40,102563;0;10,025641;-89,990435;30,076922;66,924795;133,849591
155;154,056072;154,000000;-89,975952;39,981417;0;9,995354;-89,975952;29,986063;66,936982;133,873965
156;154,061821;154,000000;-90,003922;39,988869;0;9,997217;-90,003922;29,991652;66,950085;133,900170
157;154,070302;154,000000;-89,935827;39,997175;0;9,999294;-89,935827;29,997881;66,961101;133,922201
158;154,061928;154,000000;-90,035901;39,984765;0;9,996191;-90,035901;29,988574;66,975788;133,951576
159;154,100606;154,000000;-90,076833;40,043454;0;10,010864;-90,076833;30,032591;66,989197;133,978393
160;154,063801;154,000000;-89,989494;39,981944;0;9,995486;-89,989494;29,986458;66,999767;133,999533
161;154,111896;154,000000;-90,019490;40,081640;0;10,020410;-90,019490;30,061230;67,012936;134,025872
162;154,059155;154,000000;-90,001100;40,013674;0;10,003419;-90,001100;30,010256;67,025025;134,050049
163;154,086263;154,000000;-90,060987;40,069468;0;10,017367;-90,060987;30,052101;67,038881;134,077761
164;154,074801;154,000000;-90,023908;39,829418;0;9,957355;-90,023908;29,872064;67,050545;134,101089
165;154,058066;154,000000;-89,929310;40,265379;0;10,066345;-89,929310;30,199034;67,060880;134,121760
166;154,102690;154,000000;-89,982128;40,185269;0;10,046317;-89,982128;30,138952;67,074588;134,149176
167;154,067576;154,000000;-90,000812;39,926527;0;9,981632;-90,000812;29,944895;67,087519;134,175038
168;154,071330;154,000000;-89,994600;40,010692;0;10,002673;-89,994600;30,008019;67,099874;134,199748
169;154,074917;154,000000;-89,924580;40,012557;0;10,003139;-89,924580;30,009418;67,110730;134,221459
170;154,064652;154,000000;-89,966751;40,225133;0;10,056283;-89,966751;30,168850;67,124215;134,248430
171;154,084569;154,000000;-89,897541;39,996992;0;9,999248;-89,897541;29,997744;67,135067;134,270133
172;154,072975;154,000000;-90,000745;40,157431;0;10,039358;-90,000745;30,118073;67,150018;134,300036
173;154,062904;154,000000;-90,082955;39,985765;0;9,996441;-90,082955;29,989324;67,164493;134,328986
174;154,061012;154,000000;-90,008772;39,968008;0;9,992002;-90,008772;29,976006;67,175212;134,350424
175;154,099592;154,000000;-90,024060;39,954193;0;9,988548;-90,024060;29,965645;67,188085;134,376170
176;154,104111;154,000000;-90,049657;40,010653;0;10,002663;-90,049657;30,007990;67,201214;134,402428
177;154,047777;154,000000;-89,997961;39,942091;0;9,985523;-89,997961;29,956568;67,212450;134,424900
