# YHDA_VERSION=0.7.1
# TEST_SERVICE=RGDH
# PLANT_TYPE=EDUEDT
# STEP_ID=CHARGE_UE_MAX
# STEP_NAME=Sistemden enerji çekerken — düşük ikaz maksimum
# TESIS_ADI=YHDA Örnek Depolamalı GES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=60
# AUX_SOURCE_PNOM_MW=100
# ONLINE_TOTAL_MW=160
# MAX_ACCESSIBLE_POWER_MW=90
# Q_REQUIRED_OE_MVAR=40
# Q_REQUIRED_UE_MVAR=-40
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
# TOTAL_UNIT_COUNT=2
# ONLINE_UNIT_COUNT=2
# STEP_Q_TARGET_MVAR=-40
# STEP_PSET_MW=-90
# YDA_VERSION=0.7.1
ZAMAN;SIRA_NO;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar;soc_pct;stored_energy_mwh
16.8.2026 09:00:00,0s;1;153,987293;154,000000;-89,938033;-0,000023;0;-0,000006;-89,938033;-0,000018;65,000000;130,000000
16.8.2026 09:00:01,0s;2;154,024461;154,000000;-90,031850;-0,166030;0;-0,041507;-90,031850;-0,124522;65,012504;130,025009
16.8.2026 09:00:02,0s;3;153,994345;154,000000;-89,866471;-0,012743;0;-0,003186;-89,866471;-0,009557;65,024963;130,049926
16.8.2026 09:00:03,0s;4;154,017216;154,000000;-89,984122;0,047306;0;0,011826;-89,984122;0,035479;65,037493;130,074987
16.8.2026 09:00:04,0s;5;153,997423;154,000000;-90,002401;0,006865;0;0,001716;-90,002401;0,005149;65,050001;130,100003
16.8.2026 09:00:05,0s;6;154,018434;154,000000;-90,029244;0,026748;0;0,006687;-90,029244;0,020061;65,062520;130,125041
16.8.2026 09:00:06,0s;7;154,010294;154,000000;-90,064210;-0,163939;0;-0,040985;-90,064210;-0,122955;65,075054;130,150107
16.8.2026 09:00:07,0s;8;153,967327;154,000000;-90,063647;0,130839;0;0,032710;-90,063647;0,098129;65,087562;130,175124
16.8.2026 09:00:08,0s;9;154,019340;154,000000;-89,984490;-0,047028;0;-0,011757;-89,984490;-0,035271;65,099983;130,199966
16.8.2026 09:00:09,0s;10;154,058606;154,000000;-89,992554;-0,121168;0;-0,030292;-89,992554;-0,090876;65,112491;130,224981
16.8.2026 09:00:10,0s;11;153,984760;154,000000;-90,001971;-0,089631;0;-0,022408;-90,001971;-0,067224;65,125003;130,250005
16.8.2026 09:00:11,0s;12;154,016506;154,000000;-90,048225;0,136639;0;0,034160;-90,048225;0,102479;65,137574;130,275147
16.8.2026 09:00:12,0s;13;153,989310;154,000000;-89,954605;-0,111021;0;-0,027755;-89,954605;-0,083265;65,149924;130,299849
16.8.2026 09:00:13,0s;14;154,035398;154,000000;-90,000786;0,235554;0;0,058888;-90,000786;0,176665;65,162501;130,325003
16.8.2026 09:00:14,0s;15;154,018396;154,000000;-90,028481;-0,064585;0;-0,016146;-90,028481;-0,048439;65,175055;130,350111
16.8.2026 09:00:15,0s;16;154,021309;154,000000;-90,001140;0,015866;0;0,003967;-90,001140;0,011900;65,187502;130,375005
16.8.2026 09:00:16,0s;17;154,005167;154,000000;-89,896917;0,127989;0;0,031997;-89,896917;0,095992;65,199771;130,399542
16.8.2026 09:00:17,0s;18;154,021449;154,000000;-90,031387;-0,059843;0;-0,014961;-90,031387;-0,044882;65,212574;130,425148
16.8.2026 09:00:18,0s;19;154,005662;154,000000;-89,934593;-0,071810;0;-0,017953;-89,934593;-0,053858;65,224836;130,449673
16.8.2026 09:00:19,0s;20;154,037089;154,000000;-89,936394;0,059723;0;0,014931;-89,936394;0,044792;65,237332;130,474664
16.8.2026 09:00:20,0s;21;154,043083;154,000000;-89,962765;-0,083587;0;-0,020897;-89,962765;-0,062690;65,249897;130,499793
16.8.2026 09:00:21,0s;22;154,096331;154,000000;-90,087763;0,072113;0;0,018028;-90,087763;0,054084;65,262756;130,525512
16.8.2026 09:00:22,0s;23;154,005866;154,000000;-90,006769;0,116054;0;0,029014;-90,006769;0,087041;65,275021;130,550041
16.8.2026 09:00:23,0s;24;154,033014;154,000000;-89,976027;-0,113764;0;-0,028441;-89,976027;-0,085323;65,287423;130,574847
16.8.2026 09:00:24,0s;25;154,004066;154,000000;-90,004295;-0,068860;0;-0,017215;-90,004295;-0,051645;65,300014;130,600029
16.8.2026 09:00:25,0s;26;154,021921;154,000000;-90,037590;-0,108504;0;-0,027126;-90,037590;-0,081378;65,312631;130,625261
16.8.2026 09:00:26,0s;27;154,026509;154,000000;-89,964709;-0,126669;0;-0,031667;-89,964709;-0,095002;65,324873;130,649745
16.8.2026 09:00:27,0s;28;154,013975;154,000000;-90,040686;0,178203;0;0,044551;-90,040686;0,133652;65,337653;130,675305
16.8.2026 09:00:28,0s;29;154,004452;154,000000;-89,969008;0,171720;0;0,042930;-89,969008;0,128790;65,349879;130,699759
16.8.2026 09:00:29,0s;30;154,030356;154,000000;-89,950106;-0,016035;0;-0,004009;-89,950106;-0,012026;65,362299;130,724598
16.8.2026 09:00:30,0s;31;154,057158;154,000000;-90,023277;-0,159589;0;-0,039897;-90,023277;-0,119692;65,375097;130,750194
16.8.2026 09:00:31,0s;32;154,066704;154,000000;-90,086705;0,021503;0;0,005376;-90,086705;0,016127;65,387873;130,775747
16.8.2026 09:00:32,0s;33;154,026727;154,000000;-90,021260;0,009808;0;0,002452;-90,021260;0,007356;65,400094;130,800189
16.8.2026 09:00:33,0s;34;154,008110;154,000000;-90,028185;-0,204666;0;-0,051167;-90,028185;-0,153500;65,412629;130,825258
16.8.2026 09:00:34,0s;35;154,042127;154,000000;-90,011319;-0,315893;0;-0,078973;-90,011319;-0,236920;65,425053;130,850107
16.8.2026 09:00:35,0s;36;154,033332;154,000000;-90,042810;-0,631756;0;-0,157939;-90,042810;-0,473817;65,437708;130,875416
16.8.2026 09:00:36,0s;37;154,029128;154,000000;-89,925792;-0,978736;0;-0,244684;-89,925792;-0,734052;65,449629;130,899258
16.8.2026 09:00:37,0s;38;154,085400;154,000000;-89,992122;-0,881930;0;-0,220482;-89,992122;-0,661447;65,462460;130,924919
16.8.2026 09:00:38,0s;39;154,003886;154,000000;-90,028689;-1,297764;0;-0,324441;-90,028689;-0,973323;65,475151;130,950303
16.8.2026 09:00:39,0s;40;154,036418;154,000000;-89,980412;-1,752593;0;-0,438148;-89,980412;-1,314445;65,487394;130,974788
16.8.2026 09:00:40,0s;41;154,058873;154,000000;-89,980179;-2,081768;0;-0,520442;-89,980179;-1,561326;65,499890;130,999780
16.8.2026 09:00:41,0s;42;154,034210;154,000000;-90,003006;-2,371184;0;-0,592796;-90,003006;-1,778388;65,512517;131,025034
16.8.2026 09:00:42,0s;43;154,042713;154,000000;-89,963229;-2,687141;0;-0,671785;-89,963229;-2,015356;65,524786;131,049571
16.8.2026 09:00:43,0s;44;154,038150;154,000000;-89,991708;-3,061567;0;-0,765392;-89,991708;-2,296175;65,537450;131,074901
16.8.2026 09:00:44,0s;45;154,039598;154,000000;-89,990289;-3,516724;0;-0,879181;-89,990289;-2,637543;65,549941;131,099881
16.8.2026 09:00:45,0s;46;154,062267;154,000000;-90,012072;-4,172445;0;-1,043111;-90,012072;-3,129334;65,562575;131,125151
16.8.2026 09:00:46,0s;47;154,038603;154,000000;-90,121118;-4,614367;0;-1,153592;-90,121118;-3,460775;65,575774;131,151548
16.8.2026 09:00:47,0s;48;154,051834;154,000000;-90,120073;-5,178109;0;-1,294527;-90,120073;-3,883581;65,588284;131,176568
16.8.2026 09:00:48,0s;49;154,064899;154,000000;-89,992850;-5,866354;0;-1,466589;-89,992850;-4,399766;65,599952;131,199905
16.8.2026 09:00:49,0s;50;154,025960;154,000000;-90,061298;-6,278999;0;-1,569750;-90,061298;-4,709249;65,612917;131,225834
16.8.2026 09:00:50,0s;51;154,051899;154,000000;-90,005274;-7,016468;0;-1,754117;-90,005274;-5,262351;65,625037;131,250073
16.8.2026 09:00:51,0s;52;154,028968;154,000000;-90,022977;-7,648959;0;-1,912240;-90,022977;-5,736719;65,637663;131,275326
16.8.2026 09:00:52,0s;53;154,060518;154,000000;-89,998688;-8,207607;0;-2,051902;-89,998688;-6,155705;65,649991;131,299981
16.8.2026 09:00:53,0s;54;154,079971;154,000000;-89,988591;-8,912061;0;-2,228015;-89,988591;-6,684046;65,662416;131,324832
16.8.2026 09:00:54,0s;55;154,059420;154,000000;-90,057810;-9,672006;0;-2,418002;-90,057810;-7,254005;65,675434;131,350867
16.8.2026 09:00:55,0s;56;154,040537;154,000000;-89,996939;-10,425570;0;-2,606393;-89,996939;-7,819178;65,687477;131,374953
16.8.2026 09:00:56,0s;57;154,029529;154,000000;-90,008951;-11,213914;0;-2,803479;-90,008951;-8,410436;65,700070;131,400139
16.8.2026 09:00:57,0s;58;154,077206;154,000000;-89,987290;-11,729630;0;-2,932407;-89,987290;-8,797222;65,712399;131,424799
16.8.2026 09:00:58,0s;59;154,028016;154,000000;-90,067877;-12,517148;0;-3,129287;-90,067877;-9,387861;65,725547;131,451094
16.8.2026 09:00:59,0s;60;154,063379;154,000000;-90,080253;-13,328455;0;-3,332114;-90,080253;-9,996341;65,738158;131,476315
16.8.2026 09:01:00,0s;61;154,019534;154,000000;-90,024283;-13,946696;0;-3,486674;-90,024283;-10,460022;65,750202;131,500405
16.8.2026 09:01:01,0s;62;154,076508;154,000000;-89,999527;-14,770311;0;-3,692578;-89,999527;-11,077733;65,762496;131,524992
16.8.2026 09:01:02,0s;63;154,057079;154,000000;-90,047844;-15,492977;0;-3,873244;-90,047844;-11,619733;65,775412;131,550824
16.8.2026 09:01:03,0s;64;154,064572;154,000000;-89,942416;-16,498815;0;-4,124704;-89,942416;-12,374111;65,786996;131,573992
16.8.2026 09:01:04,0s;65;154,056495;154,000000;-90,078978;-17,168577;0;-4,292144;-90,078978;-12,876433;65,800702;131,601404
16.8.2026 09:01:05,0s;66;154,048531;154,000000;-90,095837;-17,892228;0;-4,473057;-90,095837;-13,419171;65,813365;131,626730
16.8.2026 09:01:06,0s;67;154,110082;154,000000;-90,031481;-18,794941;0;-4,698735;-90,031481;-14,096206;65,825289;131,650577
16.8.2026 09:01:07,0s;68;154,040454;154,000000;-89,870654;-19,359766;0;-4,839942;-89,870654;-14,519825;65,836296;131,672593
16.8.2026 09:01:08,0s;69;154,059044;154,000000;-90,062836;-20,312427;0;-5,078107;-90,062836;-15,234320;65,850593;131,701187
16.8.2026 09:01:09,0s;70;154,054644;154,000000;-89,949490;-21,254458;0;-5,313615;-89,949490;-15,940844;65,862016;131,724032
16.8.2026 09:01:10,0s;71;154,067763;154,000000;-90,030699;-21,876375;0;-5,469094;-90,030699;-16,407281;65,875298;131,750597
16.8.2026 09:01:11,0s;72;154,035874;154,000000;-89,964338;-22,909057;0;-5,727264;-89,964338;-17,181793;65,887148;131,774297
16.8.2026 09:01:12,0s;73;154,049650;154,000000;-90,003619;-23,569096;0;-5,892274;-90,003619;-17,676822;65,900036;131,800072
16.8.2026 09:01:13,0s;74;154,059069;154,000000;-89,982890;-24,397282;0;-6,099321;-89,982890;-18,297962;65,912327;131,824653
16.8.2026 09:01:14,0s;75;154,056450;154,000000;-89,979942;-24,907140;0;-6,226785;-89,979942;-18,680355;65,924794;131,849588
16.8.2026 09:01:15,0s;76;154,069812;154,000000;-89,894764;-25,896359;0;-6,474090;-89,894764;-19,422269;65,936404;131,872808
16.8.2026 09:01:16,0s;77;154,087371;154,000000;-89,971663;-26,675282;0;-6,668821;-89,971663;-20,006462;65,949701;131,899402
16.8.2026 09:01:17,0s;78;154,070426;154,000000;-89,954334;-27,581566;0;-6,895391;-89,954334;-20,686174;65,962012;131,924023
16.8.2026 09:01:18,0s;79;154,068942;154,000000;-90,036201;-28,265170;0;-7,066293;-90,036201;-21,198878;65,975392;131,950784
16.8.2026 09:01:19,0s;80;154,027675;154,000000;-89,977834;-28,855727;0;-7,213932;-89,977834;-21,641795;65,987257;131,974514
16.8.2026 09:01:20,0s;81;154,055392;154,000000;-90,007567;-29,573438;0;-7,393359;-90,007567;-22,180078;66,000084;132,000168
16.8.2026 09:01:21,0s;82;154,064763;154,000000;-90,016205;-30,475756;0;-7,618939;-90,016205;-22,856817;66,012682;132,025365
16.8.2026 09:01:22,0s;83;154,055495;154,000000;-90,002576;-31,097102;0;-7,774275;-90,002576;-23,322826;66,025029;132,050059
16.8.2026 09:01:23,0s;84;154,064429;154,000000;-89,985595;-31,666541;0;-7,916635;-89,985595;-23,749906;66,037334;132,074668
16.8.2026 09:01:24,0s;85;154,067893;154,000000;-90,033448;-32,392999;0;-8,098250;-90,033448;-24,294750;66,050390;132,100780
16.8.2026 09:01:25,0s;86;154,082657;154,000000;-89,938477;-33,038296;0;-8,259574;-89,938477;-24,778722;66,061774;132,123547
16.8.2026 09:01:26,0s;87;154,034957;154,000000;-89,983847;-33,390621;0;-8,347655;-89,983847;-25,042966;66,074807;132,149614
16.8.2026 09:01:27,0s;88;154,092575;154,000000;-89,991857;-34,188082;0;-8,547021;-89,991857;-25,641062;66,087402;132,174803
16.8.2026 09:01:28,0s;89;154,070533;154,000000;-89,993934;-34,749211;0;-8,687303;-89,993934;-26,061908;66,099926;132,199852
16.8.2026 09:01:29,0s;90;154,058110;154,000000;-89,981965;-35,220867;0;-8,805217;-89,981965;-26,415650;66,112277;132,224554
16.8.2026 09:01:30,0s;91;154,087933;154,000000;-89,987639;-35,871922;0;-8,967980;-89,987639;-26,903941;66,124845;132,249691
16.8.2026 09:01:31,0s;92;154,082218;154,000000;-89,988512;-36,299793;0;-9,074948;-89,988512;-27,224845;66,137355;132,274710
