# YHDA_VERSION=0.6.1
# TEST_SERVICE=RGDH
# PLANT_TYPE=EDUEDT
# STEP_ID=DISCHARGE_OE_MAX
# STEP_NAME=Sisteme enerji verirken — aşırı ikaz maksimum
# TESIS_ADI=YHDA Örnek Depolamalı GES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=60
# AUX_SOURCE_PNOM_MW=100
# ONLINE_TOTAL_MW=160
# MAX_ACCESSIBLE_POWER_MW=90
# Q_REQUIRED_OE_MVAR=40
# Q_REQUIRED_UE_MVAR=-40
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
# TOTAL_UNIT_COUNT=2
# ONLINE_UNIT_COUNT=2
# STEP_Q_TARGET_MVAR=40
# STEP_PSET_MW=90
time_s;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar;soc_pct;stored_energy_mwh
0;153,979231;154,000000;90,049745;0,044069;40;0,011017;50,049745;0,033052;65,000000;130,000000
1;154,009673;154,000000;89,936826;-0,149174;40;-0,037294;49,936826;-0,111881;64,987509;129,975018
2;154,003196;154,000000;89,922576;-0,027352;40;-0,006838;49,922576;-0,020514;64,975022;129,950043
3;153,961545;154,000000;89,993941;-0,069426;40;-0,017356;49,993941;-0,052069;64,962503;129,925005
4;153,983311;154,000000;89,988637;-0,101473;40;-0,025368;49,988637;-0,076105;64,950006;129,900013
5;153,992726;154,000000;90,036609;-0,027020;40;-0,006755;50,036609;-0,020265;64,937475;129,874949
6;153,996631;154,000000;90,042254;-0,050495;40;-0,012624;50,042254;-0,037872;64,924965;129,849930
7;154,010367;154,000000;89,986814;-0,133242;40;-0,033311;49,986814;-0,099932;64,912513;129,825026
8;154,033906;154,000000;89,940878;-0,006966;40;-0,001741;49,940878;-0,005224;64,900066;129,800131
9;154,004790;154,000000;89,984313;-0,061856;40;-0,015464;49,984313;-0,046392;64,887520;129,775039
10;153,993835;154,000000;90,031418;0,039158;40;0,009790;50,031418;0,029369;64,874956;129,749913
11;154,065848;154,000000;89,879566;-0,096907;40;-0,024227;49,879566;-0,072680;64,862684;129,725368
12;153,985321;154,000000;89,964646;-0,129725;40;-0,032431;49,964646;-0,097293;64,850059;129,700118
13;154,028489;154,000000;90,046233;0,010146;40;0,002536;50,046233;0,007609;64,837417;129,674833
14;154,034982;154,000000;89,998481;-0,061904;40;-0,015476;49,998481;-0,046428;64,825003;129,650006
15;154,024731;154,000000;89,969332;-0,019105;40;-0,004776;49,969332;-0,014329;64,812564;129,625128
