# YHDA_VERSION=0.6.0
# TEST_SERVICE=RGDH
# PLANT_TYPE=EDUEDT
# STEP_ID=VCTRL_PLUS1
# STEP_NAME=Gerilim kontrolcüsü — +%1 basamak değişimi
# TESIS_ADI=YHDA Örnek Depolamalı GES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=60
# AUX_SOURCE_PNOM_MW=100
# ONLINE_TOTAL_MW=160
# MAX_ACCESSIBLE_POWER_MW=90
# Q_REQUIRED_OE_MVAR=40
# Q_REQUIRED_UE_MVAR=-40
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
# TOTAL_UNIT_COUNT=2
# ONLINE_UNIT_COUNT=2
time_s;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar;soc_pct;stored_energy_mwh
-20,000000;154,013431;154,000000;80,003007;-0,011880;30;-0,002970;50,003007;-0,008910;65;130
-19,900000;154,007479;154,000000;79,981555;0,063902;30;0,015976;49,981555;0,047927;65;130
-19,800000;154,020210;154,000000;79,982951;-0,008880;30;-0,002220;49,982951;-0,006660;65;130
-19,700000;153,990831;154,000000;79,984200;-0,035443;30;-0,008861;49,984200;-0,026583;65;130
-19,600000;153,990912;154,000000;79,951447;-0,062938;30;-0,015734;49,951447;-0,047203;65;130
-19,500000;154,007804;154,000000;79,966655;-0,033483;30;-0,008371;49,966655;-0,025112;65;130
-19,400000;154,002477;154,000000;79,987143;-0,029164;30;-0,007291;49,987143;-0,021873;65;130
-19,300000;153,999963;154,000000;80,000357;-0,048487;30;-0,012122;50,000357;-0,036365;65;130
-19,200000;153,988385;154,000000;79,979164;0,040978;30;0,010244;49,979164;0,030733;65;130
-19,100000;153,999961;154,000000;79,988798;0,017399;30;0,004350;49,988798;0,013049;65;130
-19,000000;153,991302;154,000000;80,010659;-0,030099;30;-0,007525;50,010659;-0,022574;65;130
-18,900000;153,994844;154,000000;80,015258;0,056319;30;0,014080;50,015258;0,042239;65;130
-18,800000;154,005574;154,000000;79,964222;0,002665;30;0,000666;49,964222;0,001999;65;130
-18,700000;154,001886;154,000000;80,051324;-0,013297;30;-0,003324;50,051324;-0,009973;65;130
-18,600000;153,996366;154,000000;79,999428;-0,004403;30;-0,001101;49,999428;-0,003303;65;130
-18,500000;154,001818;154,000000;79,994158;-0,011416;30;-0,002854;49,994158;-0,008562;65;130
-18,400000;153,995873;154,000000;80,015937;0,019545;30;0,004886;50,015937;0,014659;65;130
-18,300000;154,000617;154,000000;79,992378;-0,014802;30;-0,003701;49,992378;-0,011102;65;130
-18,200000;154,005615;154,000000;79,990775;-0,040059;30;-0,010015;49,990775;-0,030045;65;130
-18,100000;154,004579;154,000000;80,004430;0,036723;30;0,009181;50,004430;0,027542;65;130
-18,000000;153,998309;154,000000;79,992965;0,057025;30;0,014256;49,992965;0,042769;65;130
-17,900000;154,011531;154,000000;80,030972;-0,024396;30;-0,006099;50,030972;-0,018297;65;130
-17,800000;154,006503;154,000000;79,984006;-0,017476;30;-0,004369;49,984006;-0,013107;65;130
-17,700000;154,000428;154,000000;80,003426;0,020022;30;0,005005;50,003426;0,015016;65;130
-17,600000;154,002435;154,000000;80,013639;0,000413;30;0,000103;50,013639;0,000310;65;130
-17,500000;153,978960;154,000000;79,983444;-0,063708;30;-0,015927;49,983444;-0,047781;65;130
-17,400000;153,983128;154,000000;80,055422;0,041571;30;0,010393;50,055422;0,031178;65;130
-17,300000;154,023505;154,000000;79,982256;-0,052603;30;-0,013151;49,982256;-0,039452;65;130
-17,200000;154,008780;154,000000;80,043184;0,012571;30;0,003143;50,043184;0,009428;65;130
-17,100000;153,993309;154,000000;80,001424;0,009554;30;0,002389;50,001424;0,007166;65;130
-17,000000;154,001119;154,000000;80,021906;-0,041151;30;-0,010288;50,021906;-0,030863;65;130
-16,900000;154,015430;154,000000;80,038382;-0,042804;30;-0,010701;50,038382;-0,032103;65;130
-16,800000;153,989875;154,000000;79,996513;0,006336;30;0,001584;49,996513;0,004752;65;130
-16,700000;154,005433;154,000000;80,003426;-0,011342;30;-0,002836;50,003426;-0,008507;65;130
-16,600000;154,007406;154,000000;80,021291;0,072526;30;0,018132;50,021291;0,054395;65;130
-16,500000;154,026550;154,000000;79,965257;0,022887;30;0,005722;49,965257;0,017165;65;130
-16,400000;154,015148;154,000000;79,947870;0,008389;30;0,002097;49,947870;0,006292;65;130
-16,300000;153,973715;154,000000;80,014205;-0,030779;30;-0,007695;50,014205;-0,023084;65;130
-16,200000;154,003812;154,000000;79,994083;0,076482;30;0,019121;49,994083;0,057362;65;130
-16,100000;154,011483;154,000000;79,972126;-0,034643;30;-0,008661;49,972126;-0,025982;65;130
-16,000000;154,000053;154,000000;79,998452;0,064690;30;0,016173;49,998452;0,048518;65;130
-15,900000;153,991479;154,000000;79,959192;-0,025918;30;-0,006480;49,959192;-0,019439;65;130
-15,800000;153,996569;154,000000;80,035366;-0,004769;30;-0,001192;50,035366;-0,003577;65;130
-15,700000;154,006810;154,000000;80,026120;-0,010976;30;-0,002744;50,026120;-0,008232;65;130
-15,600000;154,020707;154,000000;80,029350;-0,019357;30;-0,004839;50,029350;-0,014518;65;130
-15,500000;154,012242;154,000000;79,983611;-0,027062;30;-0,006765;49,983611;-0,020296;65;130
-15,400000;154,004882;154,000000;79,993820;-0,038854;30;-0,009713;49,993820;-0,029140;65;130
-15,300000;154,007280;154,000000;80,003999;0,042570;30;0,010642;50,003999;0,031927;65;130
-15,200000;153,999651;154,000000;79,993435;0,031960;30;0,007990;49,993435;0,023970;65;130
-15,100000;153,996481;154,000000;80,046393;0,023094;30;0,005773;50,046393;0,017320;65;130
-15,000000;154,001523;154,000000;80,014197;-0,035533;30;-0,008883;50,014197;-0,026650;65;130
-14,900000;154,001596;154,000000;79,978123;0,033738;30;0,008435;49,978123;0,025304;65;130
-14,800000;154,013376;154,000000;80,009923;0,018105;30;0,004526;50,009923;0,013579;65;130
-14,700000;153,999830;154,000000;79,998022;0,040079;30;0,010020;49,998022;0,030060;65;130
-14,600000;154,018623;154,000000;80,010341;0,012744;30;0,003186;50,010341;0,009558;65;130
-14,500000;153,989138;154,000000;79,976375;-0,025195;30;-0,006299;49,976375;-0,018896;65;130
-14,400000;154,008373;154,000000;80,001300;0,014267;30;0,003567;50,001300;0,010701;65;130
-14,300000;153,975918;154,000000;80,031081;0,018515;30;0,004629;50,031081;0,013886;65;130
-14,200000;153,994442;154,000000;80,008039;-0,062306;30;-0,015576;50,008039;-0,046729;65;130
-14,100000;154,009835;154,000000;80,005402;-0,031042;30;-0,007761;50,005402;-0,023282;65;130
-14,000000;154,016207;154,000000;80,034185;0,064081;30;0,016020;50,034185;0,048061;65;130
-13,900000;153,984059;154,000000;79,985748;-0,004536;30;-0,001134;49,985748;-0,003402;65;130
-13,800000;154,000121;154,000000;79,948928;0,035780;30;0,008945;49,948928;0,026835;65;130
-13,700000;153,997137;154,000000;80,005401;0,014991;30;0,003748;50,005401;0,011243;65;130
-13,600000;154,024467;154,000000;79,996353;0,003337;30;0,000834;49,996353;0,002502;65;130
-13,500000;153,989902;154,000000;80,013132;0,059824;30;0,014956;50,013132;0,044868;65;130
-13,400000;154,008521;154,000000;80,011507;0,021935;30;0,005484;50,011507;0,016451;65;130
-13,300000;154,013979;154,000000;79,989578;-0,038719;30;-0,009680;49,989578;-0,029039;65;130
-13,200000;154,007193;154,000000;80,005455;-0,011359;30;-0,002840;50,005455;-0,008519;65;130
-13,100000;154,007531;154,000000;80,000074;-0,013570;30;-0,003393;50,000074;-0,010178;65;130
-13,000000;154,003943;154,000000;80,020967;-0,033262;30;-0,008316;50,020967;-0,024947;65;130
-12,900000;153,998254;154,000000;79,979599;0,027750;30;0,006938;49,979599;0,020813;65;130
-12,800000;153,975998;154,000000;79,985897;0,079014;30;0,019753;49,985897;0,059260;65;130
-12,700000;154,016874;154,000000;79,953233;-0,041906;30;-0,010476;49,953233;-0,031429;65;130
-12,600000;154,010921;154,000000;79,952542;-0,045724;30;-0,011431;49,952542;-0,034293;65;130
-12,500000;153,990088;154,000000;80,011040;-0,037154;30;-0,009288;50,011040;-0,027865;65;130
-12,400000;153,997183;154,000000;79,944377;-0,035930;30;-0,008983;49,944377;-0,026948;65;130
-12,300000;154,022781;154,000000;80,006517;-0,033738;30;-0,008435;50,006517;-0,025304;65;130
