# YHDA_VERSION=0.7.1
# TEST_SERVICE=RGDH
# PLANT_TYPE=KONV
# STEP_ID=OE_MAX
# STEP_NAME=Aşırı ikaz — maksimum çıkış gücü
# TESIS_ADI=YHDA Örnek Konvansiyonel Santral
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=300.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# PMKUD_MW=120
# SGEN_MVA=350
# COSPHI_NOM=0.85
# VNOM_GEN_KV=15.75
# Q_REQUIRED_OE_MVAR=155
# Q_REQUIRED_UE_MVAR=-98
# STEP_Q_TARGET_MVAR=155
# STEP_PSET_MW=285
# YDA_VERSION=0.7.1
ZAMAN;SIRA_NO;bus_voltage_kv;internal_aux_voltage_v;active_power_mw;reactive_power_mvar;terminal_voltage_kv;excitation_current_a;stator_current_a;power_factor
16.8.2026 09:00:00,0s;1;379,971303;400,115528;285,256836;-0,316189;15,753127;1178,712850;10504,040043;0,999999
16.8.2026 09:00:01,0s;2;380,012923;399,963497;285,145424;0,207326;15,751031;1178,600234;10502,371033;1,000000
16.8.2026 09:00:02,0s;3;380,018001;400,148659;285,045798;-0,410781;15,745596;1177,909181;10503,968380;0,999999
16.8.2026 09:00:03,0s;4;379,975359;399,891228;285,035303;0,549782;15,746716;1178,294243;10499,557834;0,999998
16.8.2026 09:00:04,0s;5;379,982402;400,014407;285,211209;0,107097;15,748345;1183,919312;10502,366909;1,000000
16.8.2026 09:00:05,0s;6;379,967132;399,630033;284,935273;-0,274280;15,739607;1184,563823;10506,728513;1,000000
16.8.2026 09:00:06,0s;7;380,027613;399,967110;284,856991;0,156635;15,746530;1178,831187;10510,983030;1,000000
16.8.2026 09:00:07,0s;8;380,031487;399,924042;285,093658;-0,382933;15,743022;1181,573486;10497,921309;0,999999
16.8.2026 09:00:08,0s;9;380,065939;400,274875;284,820617;0,448528;15,752408;1181,196855;10505,918859;0,999999
16.8.2026 09:00:09,0s;10;380,047846;399,908080;284,919457;0,520381;15,747030;1179,018030;10513,218571;0,999998
16.8.2026 09:00:10,0s;11;380,016174;400,009906;285,015966;-0,182017;15,751266;1178,713131;10504,146336;1,000000
16.8.2026 09:00:11,0s;12;379,984533;399,870153;285,118688;0,116145;15,754300;1175,788108;10500,431719;1,000000
16.8.2026 09:00:12,0s;13;379,981920;399,728469;284,989348;0,399449;15,749354;1180,254953;10501,008798;0,999999
16.8.2026 09:00:13,0s;14;380,023823;399,993045;284,754588;-0,014714;15,757867;1181,813265;10496,798704;1,000000
16.8.2026 09:00:14,0s;15;380,034177;400,008125;284,708309;0,827551;15,749733;1179,416993;10511,897259;0,999996
16.8.2026 09:00:15,0s;16;380,038749;400,442284;285,050456;0,106901;15,755691;1181,981829;10500,469525;1,000000
16.8.2026 09:00:16,0s;17;380,010040;399,632823;285,133084;-0,159785;15,746552;1180,078473;10502,776926;1,000000
16.8.2026 09:00:17,0s;18;379,999163;400,016594;285,051708;-0,441731;15,741151;1181,661415;10500,612485;0,999999
16.8.2026 09:00:18,0s;19;380,022681;400,172368;284,846523;0,189602;15,754569;1178,925135;10499,115605;1,000000
16.8.2026 09:00:19,0s;20;380,043055;399,795407;285,165429;0,392336;15,747220;1181,796350;10502,208638;0,999999
