# YHDA_VERSION=0.5
# TEST_SERVICE=RGDH
# PLANT_TYPE=KONV
# STEP_ID=OE_MID
# STEP_NAME=Aşırı ikaz — ara çıkış gücü
# TESIS_ADI=YHDA Örnek Konvansiyonel Santral
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=300.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# PMKUD_MW=120
# SGEN_MVA=350
# COSPHI_NOM=0.85
# VNOM_GEN_KV=15.75
# Q_REQUIRED_OE_MVAR=155
# Q_REQUIRED_UE_MVAR=-98
# STEP_Q_TARGET_MVAR=120
# STEP_PSET_MW=220
time_s;bus_voltage_kv;internal_aux_voltage_v;active_power_mw;reactive_power_mvar;terminal_voltage_kv;excitation_current_a;stator_current_a;power_factor
0;380,037346;400,238917;220,047668;-0,112226;15,742829;1181,972729;10512,120189;1,000000
1;380,011682;399,579021;219,736717;-0,179460;15,753898;1179,410183;10497,516884;1,000000
2;380,053357;399,905409;219,903816;-0,058161;15,747153;1179,862053;10506,504890;1,000000
3;379,988097;400,039556;220,130059;0,022497;15,749476;1177,804911;10497,946678;1,000000
4;379,979521;400,137293;219,967978;-0,255139;15,750649;1180,380982;10512,077750;0,999999
5;380,032558;399,929951;219,708113;-0,019206;15,749973;1175,239971;10504,018914;1,000000
6;380,020706;400,300248;220,204307;0,593137;15,748264;1178,454708;10504,061904;0,999996
7;379,987057;399,732014;220,268205;0,367168;15,748228;1175,295560;10499,564744;0,999999
8;380,001710;400,027543;220,248400;-0,139947;15,751129;1181,323960;10497,638594;1,000000
9;379,996813;399,838062;219,934941;-0,101271;15,748933;1178,846507;10502,757131;1,000000
10;379,989897;400,194227;220,121301;0,069603;15,751789;1177,231240;10502,735363;1,000000
11;380,009036;399,985010;220,373757;0,011608;15,743645;1178,044665;10502,206161;1,000000
12;379,998734;400,032975;219,831461;-0,370654;15,753879;1184,422689;10499,250737;0,999999
13;380,016744;399,949771;220,388340;-0,475928;15,745883;1180,479423;10507,324569;0,999998
14;380,004423;399,703604;219,831852;0,180117;15,751091;1179,862269;10500,517654;1,000000
15;380,042314;399,924250;219,916550;0,361575;15,745233;1184,895571;10503,888312;0,999999
16;380,054425;399,976902;219,666272;-0,219553;15,754428;1182,518918;10502,502147;1,000000
17;380,010686;399,912317;220,140760;-0,070316;15,740475;1175,862111;10505,570475;1,000000
18;380,012296;399,963367;220,123056;-0,387721;15,741024;1178,297977;10505,486736;0,999998
19;380,005426;400,191857;220,114784;0,316926;15,751172;1176,504449;10511,576123;0,999999
20;380,027859;399,857492;220,036975;0,211050;15,747251;1179,942781;10494,069176;1,000000
21;380,044977;400,096192;219,658153;-0,374195;15,748812;1179,125759;10501,255093;0,999999
22;380,022712;400,160273;220,174206;-0,035749;15,741767;1182,784136;10495,706017;1,000000
23;380,022513;400,153492;219,888487;0,310591;15,744589;1182,263699;10503,158303;0,999999
24;380,008126;400,158979;219,981223;0,035412;15,750684;1180,601474;10493,321334;1,000000
25;380,050657;400,094453;219,960316;-0,057770;15,751741;1181,471712;10493,574965;1,000000
26;380,085295;399,952285;220,252196;0,181377;15,758077;1174,849136;10502,184980;1,000000
27;379,994865;400,265205;220,024333;-0,060575;15,750207;1181,320701;10504,820111;1,000000
