# YHDA_VERSION=0.5
# TEST_SERVICE=RGDH
# PLANT_TYPE=KONV
# STEP_ID=OE_MKUD
# STEP_NAME=Aşırı ikaz — MKÜD çıkış gücü
# TESIS_ADI=YHDA Örnek Konvansiyonel Santral
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=300.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# PMKUD_MW=120
# SGEN_MVA=350
# COSPHI_NOM=0.85
# VNOM_GEN_KV=15.75
# Q_REQUIRED_OE_MVAR=155
# Q_REQUIRED_UE_MVAR=-98
# STEP_Q_TARGET_MVAR=82
# STEP_PSET_MW=120
time_s;bus_voltage_kv;internal_aux_voltage_v;active_power_mw;reactive_power_mvar;terminal_voltage_kv;excitation_current_a;stator_current_a;power_factor
0;380,018505;399,917097;119,955682;-0,185449;15,744863;1175,761335;10507,242837;0,999999
1;380,018733;400,066484;119,952026;0,024609;15,746074;1178,400926;10499,691499;1,000000
2;380,020822;400,076745;119,904376;-0,001230;15,749926;1181,880095;10504,291682;1,000000
3;380,024004;399,968570;119,965926;0,100343;15,755953;1182,237526;10497,809632;1,000000
4;380,014881;400,050198;120,015371;0,224986;15,752508;1181,791784;10498,743229;0,999998
5;380,034240;400,094283;120,020794;-0,164948;15,749996;1179,333411;10502,999018;0,999999
6;380,046427;400,416339;119,960976;0,369961;15,748793;1181,823064;10500,018280;0,999995
7;379,956680;399,980292;120,038859;-0,111383;15,744172;1178,224353;10503,785750;1,000000
8;379,992636;399,720883;119,935028;-0,221622;15,745483;1172,544856;10501,775311;0,999998
9;379,987463;399,834260;119,992263;-0,096469;15,747761;1185,011364;10499,601189;1,000000
10;380,024134;399,839747;119,939431;0,053121;15,745330;1178,936934;10502,292351;1,000000
11;379,985697;400,002018;120,089536;0,071071;15,747810;1179,622307;10500,328065;1,000000
12;380,010004;399,924122;119,977705;-0,070918;15,746093;1174,405215;10502,730546;1,000000
13;379,975785;400,120030;119,980219;0,045806;15,751909;1179,474899;10491,320204;1,000000
14;380,004377;399,744048;120,095357;0,156357;15,748335;1183,749911;10498,880463;0,999999
