# YHDA_VERSION=0.7.1
# TEST_SERVICE=RGDH
# PLANT_TYPE=KONV
# STEP_ID=UE_MAX
# STEP_NAME=Düşük ikaz — maksimum çıkış gücü
# TESIS_ADI=YHDA Örnek Konvansiyonel Santral
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=300.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# PMKUD_MW=120
# SGEN_MVA=350
# COSPHI_NOM=0.85
# VNOM_GEN_KV=15.75
# Q_REQUIRED_OE_MVAR=155
# Q_REQUIRED_UE_MVAR=-98
# STEP_Q_TARGET_MVAR=-98
# STEP_PSET_MW=285
# YDA_VERSION=0.7.1
ZAMAN;SIRA_NO;bus_voltage_kv;internal_aux_voltage_v;active_power_mw;reactive_power_mvar;terminal_voltage_kv;excitation_current_a;stator_current_a;power_factor
16.8.2026 09:00:00,0s;1;379,990653;400,213635;285,022451;-0,206151;15,747871;1175,369502;10499,850593;1,000000
16.8.2026 09:00:01,0s;2;379,986874;399,981837;285,003702;0,192846;15,750834;1180,049302;10505,772914;1,000000
16.8.2026 09:00:02,0s;3;380,012111;400,085708;284,959076;0,115489;15,759510;1175,756096;10500,214298;1,000000
16.8.2026 09:00:03,0s;4;380,028986;399,987793;284,928150;0,132347;15,750217;1179,246314;10498,980717;1,000000
16.8.2026 09:00:04,0s;5;379,980584;399,925910;284,947548;-0,005373;15,755035;1182,391480;10497,809111;1,000000
16.8.2026 09:00:05,0s;6;380,009645;400,034910;284,976721;-0,113322;15,742298;1178,587048;10504,299111;1,000000
16.8.2026 09:00:06,0s;7;380,036823;399,652116;285,021658;0,057456;15,746075;1181,519950;10500,922303;1,000000
16.8.2026 09:00:07,0s;8;379,996140;400,002837;284,717004;0,118711;15,753495;1180,070892;10495,925248;1,000000
16.8.2026 09:00:08,0s;9;380,015431;399,611344;284,933964;0,077122;15,751329;1181,202447;10497,391847;1,000000
16.8.2026 09:00:09,0s;10;380,011633;399,983337;284,960814;-0,214556;15,743397;1181,360134;10508,802217;1,000000
16.8.2026 09:00:10,0s;11;380,004771;399,892478;285,267318;-0,510059;15,751302;1182,299250;10504,559018;0,999998
16.8.2026 09:00:11,0s;12;380,013985;400,294694;285,158368;0,113311;15,749532;1178,204440;10500,753038;1,000000
