# YHDA_VERSION=0.6.1
# TEST_SERVICE=RGDH
# PLANT_TYPE=KONV
# STEP_ID=UE_MID
# STEP_NAME=Düşük ikaz — ara çıkış gücü
# TESIS_ADI=YHDA Örnek Konvansiyonel Santral
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=300.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# PMKUD_MW=120
# SGEN_MVA=350
# COSPHI_NOM=0.85
# VNOM_GEN_KV=15.75
# Q_REQUIRED_OE_MVAR=155
# Q_REQUIRED_UE_MVAR=-98
# STEP_Q_TARGET_MVAR=-78
# STEP_PSET_MW=220
time_s;bus_voltage_kv;internal_aux_voltage_v;active_power_mw;reactive_power_mvar;terminal_voltage_kv;excitation_current_a;stator_current_a;power_factor
0;379,995339;399,999024;220,031664;0,158240;15,755905;1180,943530;10504,761341;1,000000
1;379,985013;400,029187;220,076347;0,006258;15,751424;1178,511770;10503,454426;1,000000
2;380,018016;400,110716;220,070618;0,241460;15,753741;1181,526366;10504,804381;0,999999
3;380,019069;400,109836;219,722363;-0,267906;15,761589;1180,200517;10506,154004;0,999999
4;379,987015;399,846098;220,030139;-0,124676;15,749009;1184,463713;10499,858930;1,000000
5;380,027292;400,286768;219,929814;0,048269;15,746727;1182,068872;10496,382948;1,000000
6;379,969207;400,076032;220,068089;-0,011702;15,754306;1177,923017;10503,478773;1,000000
7;380,023658;399,997249;219,806946;-0,277357;15,757272;1177,591372;10498,883670;0,999999
8;379,999429;399,819784;219,797425;0,384442;15,751108;1175,790800;10503,889513;0,999998
9;379,981704;399,985106;220,164355;0,226614;15,746248;1178,756968;10503,029310;0,999999
10;379,997675;400,171692;220,203928;-0,086196;15,748165;1177,043960;10493,769494;1,000000
11;380,047101;400,071388;220,083803;-0,021764;15,753602;1182,781598;10500,040125;1,000000
12;380,012049;400,004500;220,022332;-0,238010;15,747693;1182,316718;10508,495464;0,999999
13;380,024258;399,896854;220,060071;0,296806;15,748632;1183,957533;10499,533591;0,999999
14;380,099367;400,138911;219,790855;-0,034570;15,746511;1182,257404;10498,833414;1,000000
15;380,045545;399,976881;220,098143;0,274154;15,747076;1175,508440;10496,680000;0,999999
16;380,048238;399,874449;220,013229;-0,077516;15,749211;1177,331256;10501,856411;1,000000
17;379,986279;399,981872;219,767475;-0,037110;15,752438;1182,466555;10500,595575;1,000000
18;380,043742;399,734201;219,997918;0,245285;15,754831;1176,596104;10503,291174;0,999999
19;380,035263;399,917875;219,967461;-0,056546;15,749184;1182,551880;10505,516928;1,000000
20;379,974037;399,975411;220,076804;-0,460401;15,750838;1179,019919;10500,745341;0,999998
21;380,012758;399,548917;219,974479;0,050014;15,750640;1181,621494;10492,752886;1,000000
22;380,039027;399,729338;220,197505;0,844450;15,755888;1179,594390;10509,343213;0,999993
23;380,005907;399,891443;220,011044;-0,379376;15,759110;1178,767382;10502,082410;0,999999
24;380,042541;399,878072;219,917794;-0,039131;15,745348;1176,485975;10504,382950;1,000000
25;380,046968;399,977972;219,710780;0,287916;15,752944;1182,532425;10501,551888;0,999999
26;380,029221;400,006880;219,999944;-0,146687;15,747973;1180,484271;10497,387862;1,000000
27;380,040819;400,061273;220,170896;-0,058993;15,744302;1181,920165;10509,192965;1,000000
28;380,006986;399,962882;220,076468;0,223367;15,746129;1182,203494;10506,918927;0,999999
