# YHDA_VERSION=0.6.3
# TEST_SERVICE=RGDH
# PLANT_TYPE=KONV
# STEP_ID=UE_MKUD
# STEP_NAME=Düşük ikaz — MKÜD çıkış gücü
# TESIS_ADI=YHDA Örnek Konvansiyonel Santral
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=300.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.3
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# PMKUD_MW=120
# SGEN_MVA=350
# COSPHI_NOM=0.85
# VNOM_GEN_KV=15.75
# Q_REQUIRED_OE_MVAR=155
# Q_REQUIRED_UE_MVAR=-98
# STEP_Q_TARGET_MVAR=-52
# STEP_PSET_MW=120
ZAMAN;SIRA_NO;bus_voltage_kv;internal_aux_voltage_v;active_power_mw;reactive_power_mvar;terminal_voltage_kv;excitation_current_a;stator_current_a;power_factor
16.8.2026 09:00:00,0s;1;380,017055;400,020562;119,952181;-0,051381;15,744813;1178,157326;10503,735106;1,000000
16.8.2026 09:00:01,0s;2;380,020584;399,830595;120,070507;0,013572;15,753104;1176,611877;10497,374114;1,000000
16.8.2026 09:00:02,0s;3;380,000503;399,614388;120,033356;-0,069603;15,749349;1180,932997;10495,553743;1,000000
16.8.2026 09:00:03,0s;4;379,950358;400,065206;119,997686;0,054274;15,748767;1182,642537;10502,363091;1,000000
16.8.2026 09:00:04,0s;5;380,048401;399,905560;119,985526;0,079122;15,754854;1182,132928;10495,176583;1,000000
16.8.2026 09:00:05,0s;6;380,007771;399,706298;120,019814;-0,069493;15,757259;1179,404785;10506,075999;1,000000
16.8.2026 09:00:06,0s;7;380,035058;399,993442;120,052083;0,078081;15,750402;1184,314921;10498,981893;1,000000
16.8.2026 09:00:07,0s;8;380,018853;399,872234;119,985722;-0,004958;15,756037;1182,841684;10500,424088;1,000000
16.8.2026 09:00:08,0s;9;380,015482;400,030820;119,896692;-0,148487;15,756710;1180,826832;10493,402523;0,999999
16.8.2026 09:00:09,0s;10;380,051181;399,579148;120,066093;0,041243;15,754784;1184,508279;10498,454785;1,000000
16.8.2026 09:00:10,0s;11;380,010918;399,765422;119,870914;0,042348;15,750076;1179,272351;10499,421073;1,000000
16.8.2026 09:00:11,0s;12;380,020795;399,837523;119,935432;0,074295;15,752718;1177,779335;10506,563579;1,000000
16.8.2026 09:00:12,0s;13;380,009019;400,131955;120,071630;-0,154131;15,752840;1172,955098;10492,754841;0,999999
16.8.2026 09:00:13,0s;14;380,001393;399,831289;119,906824;-0,055962;15,751638;1180,703541;10505,192040;1,000000
16.8.2026 09:00:14,0s;15;379,987710;399,993173;119,977410;-0,145928;15,754108;1184,832237;10497,785233;0,999999
16.8.2026 09:00:15,0s;16;379,995546;399,717684;119,955715;-0,044381;15,757437;1178,319521;10495,827328;1,000000
16.8.2026 09:00:16,0s;17;380,049192;400,014942;119,955222;-0,221668;15,751891;1177,363302;10503,231370;0,999998
16.8.2026 09:00:17,0s;18;379,992856;399,542877;119,944333;-0,151409;15,744949;1178,487912;10501,157222;0,999999
16.8.2026 09:00:18,0s;19;380,003059;399,598868;119,970740;0,049323;15,752859;1179,832358;10504,700708;1,000000
16.8.2026 09:00:19,0s;20;379,999823;399,706817;119,941457;-0,092100;15,754135;1173,092130;10506,061563;1,000000
16.8.2026 09:00:20,0s;21;380,000156;400,205617;119,968332;0,002645;15,748213;1177,531299;10502,765297;1,000000
16.8.2026 09:00:21,0s;22;380,034619;400,227969;120,053433;-0,070248;15,749850;1177,563056;10497,516333;1,000000
16.8.2026 09:00:22,0s;23;380,026502;400,024147;119,885993;0,035142;15,757104;1181,561330;10496,767112;1,000000
16.8.2026 09:00:23,0s;24;380,003771;399,908010;120,051926;-0,208018;15,746781;1179,874972;10496,362186;0,999998
16.8.2026 09:00:24,0s;25;380,037695;399,940047;120,023968;0,177542;15,747841;1183,113739;10495,142438;0,999999
16.8.2026 09:00:25,0s;26;380,020268;399,748076;119,967839;-0,199768;15,750631;1175,892998;10509,131875;0,999999
16.8.2026 09:00:26,0s;27;380,010157;399,836658;120,146296;0,272829;15,749049;1179,637583;10502,361886;0,999997
16.8.2026 09:00:27,0s;28;380,012021;400,315364;119,935994;0,150522;15,747863;1184,115272;10502,593462;0,999999
16.8.2026 09:00:28,0s;29;380,017361;400,057637;120,005588;-0,121069;15,755863;1184,433159;10506,302216;0,999999
16.8.2026 09:00:29,0s;30;380,021544;400,115951;119,964100;-0,077342;15,745665;1182,461345;10508,759438;1,000000
16.8.2026 09:00:30,0s;31;380,007266;399,816845;120,017302;0,205212;15,751698;1177,151355;10505,134697;0,999999
16.8.2026 09:00:31,0s;32;380,034400;399,947911;119,950679;-0,063238;15,755827;1181,425309;10498,179288;1,000000
16.8.2026 09:00:32,0s;33;380,020822;399,653197;120,064288;-0,198279;15,754809;1182,160389;10491,550611;0,999999
16.8.2026 09:00:33,0s;34;380,074096;400,005413;120,125825;-0,301485;15,747530;1177,739733;10507,055099;0,999997
16.8.2026 09:00:34,0s;35;380,030773;399,804487;119,950429;-0,309930;15,750414;1179,699755;10502,935679;0,999997
