# YHDA_VERSION=0.7.0
# TEST_SERVICE=RGDH
# PLANT_TYPE=RESGES
# STEP_ID=OE_MAX
# STEP_NAME=Aşırı ikaz — ulaşılabilir maksimum çıkış gücü
# TESIS_ADI=YHDA Örnek RES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=100
# AUX_SOURCE_PNOM_MW=0
# ONLINE_TOTAL_MW=100
# MAX_ACCESSIBLE_POWER_MW=70
# Q_REQUIRED_OE_MVAR=33
# Q_REQUIRED_UE_MVAR=-33
# TOTAL_UNIT_COUNT=20
# ONLINE_UNIT_COUNT=20
# STEP_Q_TARGET_MVAR=33
# STEP_PSET_MW=70
# YDA_VERSION=0.7.0
ZAMAN;SIRA_NO;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar
16.8.2026 09:00:00,0s;1;153,996152;154,000000;70,079003;-0,058937;70,079003;-0,058937;0;0
16.8.2026 09:00:01,0s;2;154,005075;154,000000;70,007825;-0,126482;70,007825;-0,126482;0;0
16.8.2026 09:00:02,0s;3;154,001720;154,000000;69,993683;-0,114867;69,993683;-0,114867;0;0
16.8.2026 09:00:03,0s;4;154,026718;154,000000;69,945821;0,093864;69,945821;0,093864;0;0
16.8.2026 09:00:04,0s;5;154,007823;154,000000;70,029790;0,070002;70,029790;0,070002;0;0
16.8.2026 09:00:05,0s;6;154,020483;154,000000;69,957849;0,028361;69,957849;0,028361;0;0
16.8.2026 09:00:06,0s;7;153,991727;154,000000;70,031937;0,059805;70,031937;0,059805;0;0
16.8.2026 09:00:07,0s;8;154,019828;154,000000;69,970645;0,045469;69,970645;0,045469;0;0
16.8.2026 09:00:08,0s;9;154,023462;154,000000;70,011380;-0,053911;70,011380;-0,053911;0;0
16.8.2026 09:00:09,0s;10;153,989509;154,000000;70,009998;0,098322;70,009998;0,098322;0;0
16.8.2026 09:00:10,0s;11;154,030355;154,000000;70,030628;-0,018469;70,030628;-0,018469;0;0
16.8.2026 09:00:11,0s;12;154,003492;154,000000;70,009741;0,058735;70,009741;0,058735;0;0
16.8.2026 09:00:12,0s;13;154,008678;154,000000;70,013317;0,026804;70,013317;0,026804;0;0
16.8.2026 09:00:13,0s;14;153,997352;154,000000;70,038407;-0,055233;70,038407;-0,055233;0;0
16.8.2026 09:00:14,0s;15;154,023088;154,000000;70,017052;-0,091385;70,017052;-0,091385;0;0
16.8.2026 09:00:15,0s;16;154,024200;154,000000;70,046406;-0,121669;70,046406;-0,121669;0;0
16.8.2026 09:00:16,0s;17;153,967952;154,000000;70,031103;-0,000833;70,031103;-0,000833;0;0
16.8.2026 09:00:17,0s;18;154,000663;154,000000;70,018071;-0,039694;70,018071;-0,039694;0;0
16.8.2026 09:00:18,0s;19;153,972180;154,000000;70,010091;0,082331;70,010091;0,082331;0;0
16.8.2026 09:00:19,0s;20;154,010127;154,000000;70,001324;0,091325;70,001324;0,091325;0;0
16.8.2026 09:00:20,0s;21;154,000835;154,000000;70,012422;-0,093534;70,012422;-0,093534;0;0
16.8.2026 09:00:21,0s;22;154,026652;154,000000;70,047077;-0,097700;70,047077;-0,097700;0;0
16.8.2026 09:00:22,0s;23;154,033123;154,000000;69,960834;-0,038330;69,960834;-0,038330;0;0
16.8.2026 09:00:23,0s;24;154,017466;154,000000;70,031391;-0,000315;70,031391;-0,000315;0;0
16.8.2026 09:00:24,0s;25;154,007234;154,000000;69,979129;0,016481;69,979129;0,016481;0;0
16.8.2026 09:00:25,0s;26;154,022340;154,000000;70,071760;-0,005947;70,071760;-0,005947;0;0
16.8.2026 09:00:26,0s;27;154,042806;154,000000;70,013092;0,073560;70,013092;0,073560;0;0
16.8.2026 09:00:27,0s;28;153,991157;154,000000;69,930277;-0,120568;69,930277;-0,120568;0;0
16.8.2026 09:00:28,0s;29;154,023253;154,000000;69,938585;-0,120639;69,938585;-0,120639;0;0
16.8.2026 09:00:29,0s;30;153,979773;154,000000;70,040015;-0,031520;70,040015;-0,031520;0;0
16.8.2026 09:00:30,0s;31;154,029672;154,000000;70,009134;0,055537;70,009134;0,055537;0;0
16.8.2026 09:00:31,0s;32;154,070829;154,000000;70,000768;-0,051665;70,000768;-0,051665;0;0
16.8.2026 09:00:32,0s;33;154,036068;154,000000;70,013582;-0,067764;70,013582;-0,067764;0;0
16.8.2026 09:00:33,0s;34;154,042595;154,000000;69,974179;0,102093;69,974179;0,102093;0;0
16.8.2026 09:00:34,0s;35;154,012225;154,000000;69,987262;0,253457;69,987262;0,253457;0;0
16.8.2026 09:00:35,0s;36;154,022662;154,000000;69,892481;0,465770;69,892481;0,465770;0;0
16.8.2026 09:00:36,0s;37;154,026978;154,000000;70,046304;0,543564;70,046304;0,543564;0;0
16.8.2026 09:00:37,0s;38;154,040458;154,000000;69,971969;0,857083;69,971969;0,857083;0;0
16.8.2026 09:00:38,0s;39;154,057648;154,000000;70,058858;1,114773;70,058858;1,114773;0;0
16.8.2026 09:00:39,0s;40;154,057252;154,000000;69,992730;1,302578;69,992730;1,302578;0;0
16.8.2026 09:00:40,0s;41;154,042911;154,000000;69,958175;1,767041;69,958175;1,767041;0;0
16.8.2026 09:00:41,0s;42;154,014930;154,000000;70,036829;1,888819;70,036829;1,888819;0;0
16.8.2026 09:00:42,0s;43;154,032702;154,000000;69,935802;2,232965;69,935802;2,232965;0;0
16.8.2026 09:00:43,0s;44;154,044245;154,000000;70,041561;2,558722;70,041561;2,558722;0;0
16.8.2026 09:00:44,0s;45;154,043961;154,000000;69,922990;2,960021;69,922990;2,960021;0;0
16.8.2026 09:00:45,0s;46;154,077890;154,000000;69,988684;3,398122;69,988684;3,398122;0;0
16.8.2026 09:00:46,0s;47;154,027900;154,000000;69,964828;3,854472;69,964828;3,854472;0;0
16.8.2026 09:00:47,0s;48;154,018231;154,000000;69,999335;4,393641;69,999335;4,393641;0;0
16.8.2026 09:00:48,0s;49;154,058149;154,000000;70,022479;5,065397;70,022479;5,065397;0;0
16.8.2026 09:00:49,0s;50;154,035280;154,000000;69,942206;5,215843;69,942206;5,215843;0;0
16.8.2026 09:00:50,0s;51;154,067943;154,000000;69,965111;6,001449;69,965111;6,001449;0;0
16.8.2026 09:00:51,0s;52;154,039036;154,000000;69,985755;6,306963;69,985755;6,306963;0;0
16.8.2026 09:00:52,0s;53;154,059935;154,000000;70,036356;6,785211;70,036356;6,785211;0;0
16.8.2026 09:00:53,0s;54;154,065301;154,000000;70,000317;7,479298;70,000317;7,479298;0;0
16.8.2026 09:00:54,0s;55;154,036382;154,000000;69,944922;7,959705;69,944922;7,959705;0;0
16.8.2026 09:00:55,0s;56;154,060742;154,000000;70,031992;8,545115;70,031992;8,545115;0;0
16.8.2026 09:00:56,0s;57;154,054462;154,000000;69,998217;9,088987;69,998217;9,088987;0;0
16.8.2026 09:00:57,0s;58;154,059995;154,000000;69,980681;9,754348;69,980681;9,754348;0;0
16.8.2026 09:00:58,0s;59;154,031961;154,000000;70,019259;10,280601;70,019259;10,280601;0;0
16.8.2026 09:00:59,0s;60;154,029561;154,000000;69,981766;10,920244;69,981766;10,920244;0;0
16.8.2026 09:01:00,0s;61;154,051494;154,000000;69,953203;11,714636;69,953203;11,714636;0;0
16.8.2026 09:01:01,0s;62;154,022296;154,000000;70,002174;12,212446;70,002174;12,212446;0;0
16.8.2026 09:01:02,0s;63;154,052878;154,000000;70,056136;12,798534;70,056136;12,798534;0;0
16.8.2026 09:01:03,0s;64;154,057817;154,000000;70,054576;13,503877;70,054576;13,503877;0;0
16.8.2026 09:01:04,0s;65;154,060013;154,000000;70,014966;14,213094;70,014966;14,213094;0;0
16.8.2026 09:01:05,0s;66;154,047032;154,000000;69,975132;14,743350;69,975132;14,743350;0;0
16.8.2026 09:01:06,0s;67;154,052108;154,000000;69,989566;15,578001;69,989566;15,578001;0;0
16.8.2026 09:01:07,0s;68;154,053881;154,000000;69,976928;16,242730;69,976928;16,242730;0;0
16.8.2026 09:01:08,0s;69;154,054014;154,000000;70,039769;16,749895;70,039769;16,749895;0;0
16.8.2026 09:01:09,0s;70;154,062619;154,000000;69,976810;17,448824;69,976810;17,448824;0;0
16.8.2026 09:01:10,0s;71;154,047096;154,000000;69,986737;18,110816;69,986737;18,110816;0;0
16.8.2026 09:01:11,0s;72;154,071921;154,000000;70,025987;18,878695;70,025987;18,878695;0;0
16.8.2026 09:01:12,0s;73;154,075792;154,000000;70,039079;19,574135;70,039079;19,574135;0;0
16.8.2026 09:01:13,0s;74;154,078249;154,000000;70,034487;20,084218;70,034487;20,084218;0;0
16.8.2026 09:01:14,0s;75;154,047768;154,000000;69,992599;20,710889;69,992599;20,710889;0;0
16.8.2026 09:01:15,0s;76;154,078743;154,000000;69,998052;21,375890;69,998052;21,375890;0;0
16.8.2026 09:01:16,0s;77;154,069712;154,000000;69,976205;22,204035;69,976205;22,204035;0;0
16.8.2026 09:01:17,0s;78;154,103471;154,000000;70,021676;22,591949;70,021676;22,591949;0;0
16.8.2026 09:01:18,0s;79;154,069121;154,000000;70,040157;23,375536;70,040157;23,375536;0;0
16.8.2026 09:01:19,0s;80;154,081461;154,000000;70,080548;23,893400;70,080548;23,893400;0;0
16.8.2026 09:01:20,0s;81;154,075117;154,000000;70,080335;24,567945;70,080335;24,567945;0;0
16.8.2026 09:01:21,0s;82;154,055090;154,000000;69,943139;24,986129;69,943139;24,986129;0;0
16.8.2026 09:01:22,0s;83;154,095128;154,000000;70,022211;25,481802;70,022211;25,481802;0;0
16.8.2026 09:01:23,0s;84;154,059488;154,000000;70,043655;26,184748;70,043655;26,184748;0;0
16.8.2026 09:01:24,0s;85;154,087148;154,000000;69,926204;26,724740;69,926204;26,724740;0;0
16.8.2026 09:01:25,0s;86;154,087596;154,000000;70,058945;27,211628;70,058945;27,211628;0;0
16.8.2026 09:01:26,0s;87;154,101193;154,000000;70,018833;27,776951;70,018833;27,776951;0;0
16.8.2026 09:01:27,0s;88;154,066607;154,000000;69,956240;28,188398;69,956240;28,188398;0;0
16.8.2026 09:01:28,0s;89;154,062171;154,000000;70,011930;28,794571;70,011930;28,794571;0;0
16.8.2026 09:01:29,0s;90;154,074886;154,000000;70,023805;29,283124;70,023805;29,283124;0;0
16.8.2026 09:01:30,0s;91;154,016304;154,000000;70,087769;29,567617;70,087769;29,567617;0;0
16.8.2026 09:01:31,0s;92;154,034494;154,000000;70,026854;29,926352;70,026854;29,926352;0;0
16.8.2026 09:01:32,0s;93;154,098565;154,000000;69,980537;30,236586;69,980537;30,236586;0;0
16.8.2026 09:01:33,0s;94;154,049991;154,000000;70,071707;30,690575;70,071707;30,690575;0;0
16.8.2026 09:01:34,0s;95;154,089901;154,000000;70,076746;31,142461;70,076746;31,142461;0;0
16.8.2026 09:01:35,0s;96;154,057876;154,000000;70,019371;31,404331;70,019371;31,404331;0;0
16.8.2026 09:01:36,0s;97;154,068665;154,000000;69,988958;31,694348;69,988958;31,694348;0;0
16.8.2026 09:01:37,0s;98;154,078977;154,000000;69,973291;31,967889;69,973291;31,967889;0;0
16.8.2026 09:01:38,0s;99;154,049045;154,000000;69,960694;32,055258;69,960694;32,055258;0;0
16.8.2026 09:01:39,0s;100;154,081122;154,000000;70,101356;32,299516;70,101356;32,299516;0;0
16.8.2026 09:01:40,0s;101;154,074936;154,000000;69,975692;32,668741;69,975692;32,668741;0;0
16.8.2026 09:01:41,0s;102;154,086908;154,000000;69,976743;32,828053;69,976743;32,828053;0;0
16.8.2026 09:01:42,0s;103;154,065283;154,000000;69,969855;32,834139;69,969855;32,834139;0;0
16.8.2026 09:01:43,0s;104;154,095226;154,000000;69,991273;32,986732;69,991273;32,986732;0;0
16.8.2026 09:01:44,0s;105;154,059471;154,000000;70,017458;32,984447;70,017458;32,984447;0;0
16.8.2026 09:01:45,0s;106;154,066880;154,000000;70,026120;33,209505;70,026120;33,209505;0;0
16.8.2026 09:01:46,0s;107;154,077792;154,000000;69,947231;32,889979;69,947231;32,889979;0;0
16.8.2026 09:01:47,0s;108;154,094875;154,000000;70,029344;33,027153;70,029344;33,027153;0;0
16.8.2026 09:01:48,0s;109;154,101894;154,000000;69,997483;32,952529;69,997483;32,952529;0;0
16.8.2026 09:01:49,0s;110;154,070118;154,000000;69,990756;33,147243;69,990756;33,147243;0;0
16.8.2026 09:01:50,0s;111;154,044898;154,000000;69,970560;33,043880;69,970560;33,043880;0;0
16.8.2026 09:01:51,0s;112;154,065255;154,000000;69,983365;33,139395;69,983365;33,139395;0;0
16.8.2026 09:01:52,0s;113;154,106173;154,000000;70,020179;33,096631;70,020179;33,096631;0;0
16.8.2026 09:01:53,0s;114;154,103894;154,000000;69,936376;33,017622;69,936376;33,017622;0;0
16.8.2026 09:01:54,0s;115;154,046084;154,000000;69,999180;32,950207;69,999180;32,950207;0;0
16.8.2026 09:01:55,0s;116;154,078698;154,000000;70,044730;32,992040;70,044730;32,992040;0;0
16.8.2026 09:01:56,0s;117;154,098802;154,000000;69,966886;33,053937;69,966886;33,053937;0;0
16.8.2026 09:01:57,0s;118;154,081412;154,000000;69,997039;33,043118;69,997039;33,043118;0;0
