# YHDA_VERSION=0.6.3
# TEST_SERVICE=RGDH
# PLANT_TYPE=RESGES
# STEP_ID=OE_P20
# STEP_NAME=Aşırı ikaz — %20 çıkış gücü
# TESIS_ADI=YHDA Örnek RES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.3
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=100
# AUX_SOURCE_PNOM_MW=0
# ONLINE_TOTAL_MW=100
# MAX_ACCESSIBLE_POWER_MW=70
# Q_REQUIRED_OE_MVAR=33
# Q_REQUIRED_UE_MVAR=-33
# TOTAL_UNIT_COUNT=20
# ONLINE_UNIT_COUNT=20
# STEP_Q_TARGET_MVAR=13.2
# STEP_PSET_MW=20
ZAMAN;SIRA_NO;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar
16.8.2026 09:00:00,0s;1;154,020810;154,000000;19,986816;0,059339;19,986816;0,059339;0;0
16.8.2026 09:00:01,0s;2;153,997830;154,000000;20,040039;0,016858;20,040039;0,016858;0;0
16.8.2026 09:00:02,0s;3;153,988140;154,000000;19,997840;-0,044395;19,997840;-0,044395;0;0
16.8.2026 09:00:03,0s;4;154,012971;154,000000;20,005874;0,051308;20,005874;0,051308;0;0
16.8.2026 09:00:04,0s;5;154,027378;154,000000;20,027119;0,082910;20,027119;0,082910;0;0
16.8.2026 09:00:05,0s;6;153,984242;154,000000;19,987852;-0,005279;19,987852;-0,005279;0;0
16.8.2026 09:00:06,0s;7;154,001045;154,000000;19,967873;-0,026476;19,967873;-0,026476;0;0
16.8.2026 09:00:07,0s;8;154,014431;154,000000;19,970094;-0,006626;19,970094;-0,006626;0;0
16.8.2026 09:00:08,0s;9;154,006804;154,000000;19,970739;-0,012915;19,970739;-0,012915;0;0
16.8.2026 09:00:09,0s;10;154,019118;154,000000;19,959111;-0,018199;19,959111;-0,018199;0;0
16.8.2026 09:00:10,0s;11;154,014875;154,000000;19,999225;0,034705;19,999225;0,034705;0;0
16.8.2026 09:00:11,0s;12;153,999026;154,000000;19,988538;0,006917;19,988538;0,006917;0;0
16.8.2026 09:00:12,0s;13;154,000797;154,000000;19,927777;-0,018207;19,927777;-0,018207;0;0
16.8.2026 09:00:13,0s;14;154,014109;154,000000;20,004998;0,034856;20,004998;0,034856;0;0
16.8.2026 09:00:14,0s;15;154,016457;154,000000;19,953296;0,012449;19,953296;0,012449;0;0
16.8.2026 09:00:15,0s;16;153,983761;154,000000;19,991501;-0,018952;19,991501;-0,018952;0;0
16.8.2026 09:00:16,0s;17;154,013484;154,000000;19,980949;0,099062;19,980949;0,099062;0;0
16.8.2026 09:00:17,0s;18;154,029242;154,000000;19,935128;0,010912;19,935128;0,010912;0;0
16.8.2026 09:00:18,0s;19;154,057662;154,000000;19,987828;-0,045164;19,987828;-0,045164;0;0
16.8.2026 09:00:19,0s;20;154,011729;154,000000;19,994999;-0,105630;19,994999;-0,105630;0;0
16.8.2026 09:00:20,0s;21;153,988535;154,000000;19,976303;0,044933;19,976303;0,044933;0;0
16.8.2026 09:00:21,0s;22;154,034609;154,000000;20,019797;0,046192;20,019797;0,046192;0;0
16.8.2026 09:00:22,0s;23;154,020005;154,000000;19,988623;-0,037164;19,988623;-0,037164;0;0
16.8.2026 09:00:23,0s;24;154,054678;154,000000;20,018481;0,083423;20,018481;0,083423;0;0
16.8.2026 09:00:24,0s;25;154,053372;154,000000;20,005887;-0,027816;20,005887;-0,027816;0;0
16.8.2026 09:00:25,0s;26;153,981791;154,000000;19,978991;0,040554;19,978991;0,040554;0;0
16.8.2026 09:00:26,0s;27;154,047781;154,000000;19,967640;0,039521;19,967640;0,039521;0;0
16.8.2026 09:00:27,0s;28;154,053145;154,000000;20,036587;0,000749;20,036587;0,000749;0;0
16.8.2026 09:00:28,0s;29;154,010107;154,000000;20,003922;0,022583;20,003922;0,022583;0;0
16.8.2026 09:00:29,0s;30;154,032700;154,000000;19,994807;0,026041;19,994807;0,026041;0;0
16.8.2026 09:00:30,0s;31;154,036040;154,000000;19,988098;0,019008;19,988098;0,019008;0;0
16.8.2026 09:00:31,0s;32;154,029689;154,000000;19,985818;-0,062258;19,985818;-0,062258;0;0
16.8.2026 09:00:32,0s;33;154,062719;154,000000;20,058150;0,017627;20,058150;0,017627;0;0
16.8.2026 09:00:33,0s;34;154,069171;154,000000;20,014009;0,079849;20,014009;0,079849;0;0
16.8.2026 09:00:34,0s;35;154,026425;154,000000;20,002732;0,052129;20,002732;0,052129;0;0
16.8.2026 09:00:35,0s;36;154,017535;154,000000;19,976060;0,194803;19,976060;0,194803;0;0
16.8.2026 09:00:36,0s;37;154,053078;154,000000;19,987907;0,200127;19,987907;0,200127;0;0
16.8.2026 09:00:37,0s;38;154,038193;154,000000;20,001288;0,249434;20,001288;0,249434;0;0
16.8.2026 09:00:38,0s;39;154,037459;154,000000;19,964321;0,468029;19,964321;0,468029;0;0
16.8.2026 09:00:39,0s;40;154,021772;154,000000;19,993567;0,545985;19,993567;0,545985;0;0
16.8.2026 09:00:40,0s;41;154,059635;154,000000;19,990025;0,618351;19,990025;0,618351;0;0
16.8.2026 09:00:41,0s;42;154,049548;154,000000;20,055926;0,724003;20,055926;0,724003;0;0
16.8.2026 09:00:42,0s;43;153,995951;154,000000;19,981091;0,802318;19,981091;0,802318;0;0
16.8.2026 09:00:43,0s;44;154,078038;154,000000;19,965254;1,062539;19,965254;1,062539;0;0
16.8.2026 09:00:44,0s;45;154,012027;154,000000;20,010668;1,227673;20,010668;1,227673;0;0
16.8.2026 09:00:45,0s;46;154,023728;154,000000;20,045985;1,336317;20,045985;1,336317;0;0
16.8.2026 09:00:46,0s;47;154,067014;154,000000;19,987953;1,524185;19,987953;1,524185;0;0
16.8.2026 09:00:47,0s;48;154,049969;154,000000;19,971736;1,722062;19,971736;1,722062;0;0
16.8.2026 09:00:48,0s;49;154,051951;154,000000;19,965923;1,878543;19,965923;1,878543;0;0
16.8.2026 09:00:49,0s;50;154,079903;154,000000;19,979781;2,139012;19,979781;2,139012;0;0
16.8.2026 09:00:50,0s;51;154,049489;154,000000;20,022169;2,355359;20,022169;2,355359;0;0
16.8.2026 09:00:51,0s;52;154,024211;154,000000;20,026943;2,540640;20,026943;2,540640;0;0
16.8.2026 09:00:52,0s;53;154,071919;154,000000;20,023552;2,732678;20,023552;2,732678;0;0
16.8.2026 09:00:53,0s;54;154,046275;154,000000;19,951495;2,922238;19,951495;2,922238;0;0
16.8.2026 09:00:54,0s;55;154,033938;154,000000;20,017338;3,253574;20,017338;3,253574;0;0
16.8.2026 09:00:55,0s;56;154,057429;154,000000;20,003865;3,379927;20,003865;3,379927;0;0
