# YHDA_VERSION=0.6.4
# TEST_SERVICE=RGDH
# PLANT_TYPE=RESGES
# STEP_ID=OE_P50
# STEP_NAME=Aşırı ikaz — %50 çıkış gücü
# TESIS_ADI=YHDA Örnek RES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.4
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=100
# AUX_SOURCE_PNOM_MW=0
# ONLINE_TOTAL_MW=100
# MAX_ACCESSIBLE_POWER_MW=70
# Q_REQUIRED_OE_MVAR=33
# Q_REQUIRED_UE_MVAR=-33
# TOTAL_UNIT_COUNT=20
# ONLINE_UNIT_COUNT=20
# STEP_Q_TARGET_MVAR=33
# STEP_PSET_MW=50
ZAMAN;SIRA_NO;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar
16.8.2026 09:00:00,0s;1;154,000665;154,000000;50,001832;0,068165;50,001832;0,068165;0;0
16.8.2026 09:00:01,0s;2;153,990655;154,000000;50,023635;-0,105964;50,023635;-0,105964;0;0
16.8.2026 09:00:02,0s;3;154,003941;154,000000;50,060315;-0,038084;50,060315;-0,038084;0;0
16.8.2026 09:00:03,0s;4;153,980380;154,000000;49,918444;-0,091682;49,918444;-0,091682;0;0
16.8.2026 09:00:04,0s;5;154,009054;154,000000;50,037199;-0,064092;50,037199;-0,064092;0;0
16.8.2026 09:00:05,0s;6;154,009498;154,000000;50,035592;-0,020648;50,035592;-0,020648;0;0
16.8.2026 09:00:06,0s;7;153,984878;154,000000;50,009271;0,007744;50,009271;0,007744;0;0
16.8.2026 09:00:07,0s;8;153,997532;154,000000;50,037058;0,003728;50,037058;0,003728;0;0
16.8.2026 09:00:08,0s;9;154,032863;154,000000;49,970463;0,101328;49,970463;0,101328;0;0
16.8.2026 09:00:09,0s;10;154,026070;154,000000;50,025562;-0,223875;50,025562;-0,223875;0;0
16.8.2026 09:00:10,0s;11;153,970538;154,000000;50,044453;0,064336;50,044453;0,064336;0;0
16.8.2026 09:00:11,0s;12;154,028987;154,000000;50,000109;0,136670;50,000109;0,136670;0;0
16.8.2026 09:00:12,0s;13;154,046968;154,000000;49,987170;-0,110292;49,987170;-0,110292;0;0
16.8.2026 09:00:13,0s;14;154,029554;154,000000;49,962722;0,053762;49,962722;0,053762;0;0
16.8.2026 09:00:14,0s;15;154,040144;154,000000;49,997793;0,046587;49,997793;0,046587;0;0
16.8.2026 09:00:15,0s;16;154,021495;154,000000;50,017258;-0,183473;50,017258;-0,183473;0;0
16.8.2026 09:00:16,0s;17;153,991619;154,000000;50,001650;0,062743;50,001650;0,062743;0;0
16.8.2026 09:00:17,0s;18;154,019964;154,000000;50,032408;-0,047855;50,032408;-0,047855;0;0
16.8.2026 09:00:18,0s;19;153,990346;154,000000;49,981629;-0,044407;49,981629;-0,044407;0;0
16.8.2026 09:00:19,0s;20;154,013144;154,000000;49,967107;0,122272;49,967107;0,122272;0;0
16.8.2026 09:00:20,0s;21;153,998721;154,000000;49,949396;0,005396;49,949396;0,005396;0;0
16.8.2026 09:00:21,0s;22;154,021356;154,000000;49,968774;-0,107066;49,968774;-0,107066;0;0
16.8.2026 09:00:22,0s;23;154,081180;154,000000;49,957255;0,055886;49,957255;0,055886;0;0
16.8.2026 09:00:23,0s;24;154,025112;154,000000;49,969510;-0,014620;49,969510;-0,014620;0;0
16.8.2026 09:00:24,0s;25;154,006790;154,000000;49,968391;-0,041084;49,968391;-0,041084;0;0
16.8.2026 09:00:25,0s;26;154,030740;154,000000;50,000531;0,010225;50,000531;0,010225;0;0
16.8.2026 09:00:26,0s;27;154,006589;154,000000;50,048690;-0,001747;50,048690;-0,001747;0;0
16.8.2026 09:00:27,0s;28;154,030547;154,000000;49,993313;0,023311;49,993313;0,023311;0;0
16.8.2026 09:00:28,0s;29;154,029917;154,000000;50,002294;-0,061969;50,002294;-0,061969;0;0
16.8.2026 09:00:29,0s;30;154,043000;154,000000;50,014420;-0,111706;50,014420;-0,111706;0;0
16.8.2026 09:00:30,0s;31;154,049792;154,000000;49,973465;0,005737;49,973465;0,005737;0;0
16.8.2026 09:00:31,0s;32;154,028124;154,000000;49,971731;0,118409;49,971731;0,118409;0;0
16.8.2026 09:00:32,0s;33;154,071512;154,000000;50,002866;-0,023157;50,002866;-0,023157;0;0
16.8.2026 09:00:33,0s;34;154,033691;154,000000;49,992610;0,360086;49,992610;0,360086;0;0
16.8.2026 09:00:34,0s;35;154,017789;154,000000;49,998074;0,283031;49,998074;0,283031;0;0
16.8.2026 09:00:35,0s;36;154,048021;154,000000;49,995898;0,553192;49,995898;0,553192;0;0
16.8.2026 09:00:36,0s;37;154,034583;154,000000;50,000101;0,645016;50,000101;0,645016;0;0
16.8.2026 09:00:37,0s;38;154,011468;154,000000;49,953452;0,801759;49,953452;0,801759;0;0
16.8.2026 09:00:38,0s;39;154,032568;154,000000;49,990987;1,099205;49,990987;1,099205;0;0
16.8.2026 09:00:39,0s;40;154,036737;154,000000;50,038826;1,370859;50,038826;1,370859;0;0
16.8.2026 09:00:40,0s;41;154,063426;154,000000;49,931680;1,677547;49,931680;1,677547;0;0
16.8.2026 09:00:41,0s;42;154,073346;154,000000;50,040184;1,871548;50,040184;1,871548;0;0
16.8.2026 09:00:42,0s;43;154,022078;154,000000;50,033339;2,293231;50,033339;2,293231;0;0
16.8.2026 09:00:43,0s;44;154,042028;154,000000;49,960999;2,632211;49,960999;2,632211;0;0
