# YHDA_VERSION=0.6.1
# TEST_SERVICE=RGDH
# PLANT_TYPE=RESGES
# STEP_ID=UE_MAX
# STEP_NAME=Düşük ikaz — ulaşılabilir maksimum çıkış gücü
# TESIS_ADI=YHDA Örnek RES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=100
# AUX_SOURCE_PNOM_MW=0
# ONLINE_TOTAL_MW=100
# MAX_ACCESSIBLE_POWER_MW=70
# Q_REQUIRED_OE_MVAR=33
# Q_REQUIRED_UE_MVAR=-33
# TOTAL_UNIT_COUNT=20
# ONLINE_UNIT_COUNT=20
# STEP_Q_TARGET_MVAR=-33
# STEP_PSET_MW=70
time_s;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar
0;153,989220;154,000000;69,993970;0,020671;69,993970;0,020671;0;0
1;154,015301;154,000000;69,999100;-0,030530;69,999100;-0,030530;0;0
2;154,009196;154,000000;70,037292;-0,032230;70,037292;-0,032230;0;0
3;153,963924;154,000000;69,947501;-0,044860;69,947501;-0,044860;0;0
4;154,000272;154,000000;69,970972;0,127737;69,970972;0,127737;0;0
5;154,012998;154,000000;70,037992;-0,163467;70,037992;-0,163467;0;0
6;153,989348;154,000000;70,028302;-0,041946;70,028302;-0,041946;0;0
7;153,994029;154,000000;70,037079;0,029075;70,037079;0,029075;0;0
8;153,984350;154,000000;70,030487;0,078849;70,030487;0,078849;0;0
9;154,002285;154,000000;69,924535;0,051501;69,924535;0,051501;0;0
10;154,025749;154,000000;69,994722;-0,065610;69,994722;-0,065610;0;0
11;154,045030;154,000000;69,995666;-0,005036;69,995666;-0,005036;0;0
12;154,002543;154,000000;69,959475;0,039955;69,959475;0,039955;0;0
13;153,996261;154,000000;70,050411;-0,063997;70,050411;-0,063997;0;0
14;153,996937;154,000000;69,999195;-0,184802;69,999195;-0,184802;0;0
15;153,999984;154,000000;70,051435;0,066866;70,051435;0,066866;0;0
16;153,980867;154,000000;70,040905;0,147380;70,040905;0,147380;0;0
17;153,997694;154,000000;70,035324;0,064971;70,035324;0,064971;0;0
18;154,037378;154,000000;70,002573;0,116713;70,002573;0,116713;0;0
19;154,021797;154,000000;70,042889;0,072922;70,042889;0,072922;0;0
20;154,026382;154,000000;70,059085;-0,063673;70,059085;-0,063673;0;0
21;154,008982;154,000000;69,951935;-0,018845;69,951935;-0,018845;0;0
22;154,044381;154,000000;69,952673;0,101651;69,952673;0,101651;0;0
23;154,027702;154,000000;69,945599;0,045223;69,945599;0,045223;0;0
24;154,011863;154,000000;69,965154;-0,030368;69,965154;-0,030368;0;0
25;154,016786;154,000000;70,007420;-0,130539;70,007420;-0,130539;0;0
26;154,037838;154,000000;70,041816;0,010185;70,041816;0,010185;0;0
27;154,012825;154,000000;69,923958;-0,032136;69,923958;-0,032136;0;0
28;154,038118;154,000000;69,993141;-0,036635;69,993141;-0,036635;0;0
29;154,005424;154,000000;69,996308;0,020675;69,996308;0,020675;0;0
30;154,021594;154,000000;70,014456;0,040503;70,014456;0,040503;0;0
31;154,046506;154,000000;69,991774;-0,088751;69,991774;-0,088751;0;0
32;154,023969;154,000000;69,981654;-0,069176;69,981654;-0,069176;0;0
33;154,047607;154,000000;70,018699;0,010763;70,018699;0,010763;0;0
34;154,027783;154,000000;70,022192;-0,257863;70,022192;-0,257863;0;0
35;154,019623;154,000000;69,992133;-0,459329;69,992133;-0,459329;0;0
36;154,089731;154,000000;69,987069;-0,597109;69,987069;-0,597109;0;0
37;154,023375;154,000000;70,023278;-0,786098;70,023278;-0,786098;0;0
38;154,031111;154,000000;69,956830;-1,067904;69,956830;-1,067904;0;0
39;154,028143;154,000000;70,061610;-1,253673;70,061610;-1,253673;0;0
40;154,053718;154,000000;69,978792;-1,544277;69,978792;-1,544277;0;0
41;154,002325;154,000000;69,942080;-1,906028;69,942080;-1,906028;0;0
42;154,028494;154,000000;69,987554;-2,191275;69,987554;-2,191275;0;0
43;154,037147;154,000000;69,960163;-2,765594;69,960163;-2,765594;0;0
44;154,044379;154,000000;69,987498;-3,101947;69,987498;-3,101947;0;0
45;154,055961;154,000000;69,936369;-3,482415;69,936369;-3,482415;0;0
46;154,032608;154,000000;70,036254;-3,833640;70,036254;-3,833640;0;0
47;154,056627;154,000000;70,001956;-4,214691;70,001956;-4,214691;0;0
48;154,051373;154,000000;70,025921;-4,819958;70,025921;-4,819958;0;0
49;154,042391;154,000000;70,010144;-5,108510;70,010144;-5,108510;0;0
50;154,035567;154,000000;69,956182;-5,627809;69,956182;-5,627809;0;0
51;154,033565;154,000000;69,966590;-6,460253;69,966590;-6,460253;0;0
52;154,060208;154,000000;69,983399;-6,893727;69,983399;-6,893727;0;0
53;154,046913;154,000000;69,995467;-7,451814;69,995467;-7,451814;0;0
54;154,076833;154,000000;69,951321;-8,176572;69,951321;-8,176572;0;0
55;154,039387;154,000000;69,904229;-8,431626;69,904229;-8,431626;0;0
56;154,046615;154,000000;70,002221;-9,084167;70,002221;-9,084167;0;0
57;154,059491;154,000000;70,076391;-9,662805;70,076391;-9,662805;0;0
58;154,045233;154,000000;69,967647;-10,306292;69,967647;-10,306292;0;0
59;154,058960;154,000000;70,009976;-11,090247;70,009976;-11,090247;0;0
60;154,059110;154,000000;70,040953;-11,614524;70,040953;-11,614524;0;0
61;154,069735;154,000000;70,013182;-12,295179;70,013182;-12,295179;0;0
62;154,033056;154,000000;70,030973;-13,033978;70,030973;-13,033978;0;0
63;154,045437;154,000000;70,007452;-13,536335;70,007452;-13,536335;0;0
64;154,070202;154,000000;69,987199;-14,199450;69,987199;-14,199450;0;0
65;154,064232;154,000000;69,973203;-14,921905;69,973203;-14,921905;0;0
66;154,032921;154,000000;69,963835;-15,614482;69,963835;-15,614482;0;0
67;154,109382;154,000000;70,049975;-16,151229;70,049975;-16,151229;0;0
68;154,078477;154,000000;70,012402;-16,922996;70,012402;-16,922996;0;0
69;154,110863;154,000000;70,018468;-17,620595;70,018468;-17,620595;0;0
70;154,045565;154,000000;69,971169;-18,173747;69,971169;-18,173747;0;0
71;154,066744;154,000000;70,005956;-18,781273;70,005956;-18,781273;0;0
72;154,065096;154,000000;70,086516;-19,606108;70,086516;-19,606108;0;0
73;154,072244;154,000000;69,868556;-20,078224;69,868556;-20,078224;0;0
74;154,067791;154,000000;70,026021;-20,662436;70,026021;-20,662436;0;0
75;154,040058;154,000000;70,054043;-21,419439;70,054043;-21,419439;0;0
76;154,065611;154,000000;69,975161;-22,027971;69,975161;-22,027971;0;0
77;154,040367;154,000000;70,027165;-22,659151;70,027165;-22,659151;0;0
78;154,049271;154,000000;69,957196;-23,236336;69,957196;-23,236336;0;0
79;154,083074;154,000000;70,040434;-24,036563;70,040434;-24,036563;0;0
80;154,087099;154,000000;69,989897;-24,319238;69,989897;-24,319238;0;0
81;154,063457;154,000000;70,023372;-24,984998;70,023372;-24,984998;0;0
82;154,066616;154,000000;70,047349;-25,707185;70,047349;-25,707185;0;0
83;154,045306;154,000000;70,040713;-26,346846;70,040713;-26,346846;0;0
84;154,097308;154,000000;70,062223;-26,651689;70,062223;-26,651689;0;0
85;154,085814;154,000000;70,008506;-27,319321;70,008506;-27,319321;0;0
86;154,054270;154,000000;70,013379;-27,704273;70,013379;-27,704273;0;0
87;154,059920;154,000000;70,046824;-28,398059;70,046824;-28,398059;0;0
88;154,071175;154,000000;69,923717;-28,748117;69,923717;-28,748117;0;0
89;154,097413;154,000000;69,997287;-29,124228;69,997287;-29,124228;0;0
90;154,060447;154,000000;69,940057;-29,537454;69,940057;-29,537454;0;0
91;154,087289;154,000000;70,001259;-30,002575;70,001259;-30,002575;0;0
92;154,057140;154,000000;70,006121;-30,281544;70,006121;-30,281544;0;0
93;154,062150;154,000000;70,066985;-30,791327;70,066985;-30,791327;0;0
94;154,092286;154,000000;69,981849;-31,019839;69,981849;-31,019839;0;0
95;154,077395;154,000000;69,923453;-31,451470;69,923453;-31,451470;0;0
96;154,036799;154,000000;69,975758;-31,634052;69,975758;-31,634052;0;0
97;154,089035;154,000000;70,001753;-32,035287;70,001753;-32,035287;0;0
98;154,087450;154,000000;70,019440;-32,249729;70,019440;-32,249729;0;0
99;154,106557;154,000000;70,070103;-32,458391;70,070103;-32,458391;0;0
100;154,070770;154,000000;70,038606;-32,549306;70,038606;-32,549306;0;0
101;154,060053;154,000000;70,029370;-32,890122;70,029370;-32,890122;0;0
102;154,047150;154,000000;69,935282;-32,812344;69,935282;-32,812344;0;0
103;154,072243;154,000000;69,976983;-32,933283;69,976983;-32,933283;0;0
104;154,044269;154,000000;69,999665;-32,889208;69,999665;-32,889208;0;0
105;154,076848;154,000000;69,965448;-32,917604;69,965448;-32,917604;0;0
106;154,040959;154,000000;69,962030;-33,026320;69,962030;-33,026320;0;0
107;154,059739;154,000000;70,057380;-32,975272;70,057380;-32,975272;0;0
108;154,073922;154,000000;70,068867;-33,068364;70,068867;-33,068364;0;0
109;154,072840;154,000000;70,025812;-33,080540;70,025812;-33,080540;0;0
110;154,062391;154,000000;70,073457;-33,040720;70,073457;-33,040720;0;0
111;154,094750;154,000000;70,037826;-32,968739;70,037826;-32,968739;0;0
112;154,096182;154,000000;69,996489;-32,995535;69,996489;-32,995535;0;0
113;154,086698;154,000000;69,967626;-32,997248;69,967626;-32,997248;0;0
114;154,069860;154,000000;69,997737;-33,157287;69,997737;-33,157287;0;0
115;154,073150;154,000000;69,965451;-32,987576;69,965451;-32,987576;0;0
116;154,027872;154,000000;69,967420;-33,016152;69,967420;-33,016152;0;0
117;154,048068;154,000000;69,990821;-32,956044;69,990821;-32,956044;0;0
118;154,071308;154,000000;69,904701;-32,972590;69,904701;-32,972590;0;0
119;154,091721;154,000000;69,939557;-32,983074;69,939557;-32,983074;0;0
120;154,033994;154,000000;70,082599;-32,990655;70,082599;-32,990655;0;0
121;154,077359;154,000000;70,059949;-32,847467;70,059949;-32,847467;0;0
122;154,066604;154,000000;70,011585;-32,904454;70,011585;-32,904454;0;0
123;154,053240;154,000000;69,958398;-33,069066;69,958398;-33,069066;0;0
124;154,078998;154,000000;70,028617;-33,052614;70,028617;-33,052614;0;0
125;154,075991;154,000000;70,023098;-32,912099;70,023098;-32,912099;0;0
126;154,084676;154,000000;69,967038;-32,986003;69,967038;-32,986003;0;0
127;154,077814;154,000000;70,006081;-33,063380;70,006081;-33,063380;0;0
128;154,082425;154,000000;70,004505;-32,937219;70,004505;-32,937219;0;0
129;154,103700;154,000000;69,950486;-33,000241;69,950486;-33,000241;0;0
130;154,088007;154,000000;69,951073;-33,041706;69,951073;-33,041706;0;0
131;154,065191;154,000000;70,022301;-33,020237;70,022301;-33,020237;0;0
132;154,100977;154,000000;70,008619;-33,046498;70,008619;-33,046498;0;0
133;154,078667;154,000000;70,034106;-33,099087;70,034106;-33,099087;0;0
134;154,086674;154,000000;70,045645;-32,889094;70,045645;-32,889094;0;0
135;154,091744;154,000000;70,008620;-33,009788;70,008620;-33,009788;0;0
136;154,057117;154,000000;70,045714;-32,892549;70,045714;-32,892549;0;0
137;154,070910;154,000000;69,991064;-32,984607;69,991064;-32,984607;0;0
138;154,109169;154,000000;69,954802;-32,858886;69,954802;-32,858886;0;0
139;154,076484;154,000000;69,987750;-32,864770;69,987750;-32,864770;0;0
140;154,081376;154,000000;69,997351;-32,897381;69,997351;-32,897381;0;0
141;154,052471;154,000000;70,029262;-32,885255;70,029262;-32,885255;0;0
142;154,074435;154,000000;70,040573;-33,010288;70,040573;-33,010288;0;0
143;154,079345;154,000000;69,931379;-33,043232;69,931379;-33,043232;0;0
144;154,084150;154,000000;70,070607;-33,130755;70,070607;-33,130755;0;0
145;154,078564;154,000000;69,875220;-32,931039;69,875220;-32,931039;0;0
146;154,118489;154,000000;70,027685;-32,973609;70,027685;-32,973609;0;0
147;154,043791;154,000000;69,984386;-33,137493;69,984386;-33,137493;0;0
148;154,086234;154,000000;69,987881;-32,933643;69,987881;-32,933643;0;0
149;154,054594;154,000000;69,942100;-32,919003;69,942100;-32,919003;0;0
150;154,098499;154,000000;69,999303;-32,984507;69,999303;-32,984507;0;0
151;154,084143;154,000000;69,955140;-32,974941;69,955140;-32,974941;0;0
152;154,040531;154,000000;70,009685;-32,919573;70,009685;-32,919573;0;0
153;154,075060;154,000000;69,964330;-33,113714;69,964330;-33,113714;0;0
154;154,106055;154,000000;69,993391;-32,914505;69,993391;-32,914505;0;0
155;154,060106;154,000000;69,981977;-32,944082;69,981977;-32,944082;0;0
156;154,082996;154,000000;69,958729;-33,069223;69,958729;-33,069223;0;0
157;154,071439;154,000000;70,030703;-33,133307;70,030703;-33,133307;0;0
158;154,055513;154,000000;70,000964;-32,990060;70,000964;-32,990060;0;0
159;154,081142;154,000000;69,974178;-32,863545;69,974178;-32,863545;0;0
160;154,066891;154,000000;70,038782;-33,046267;70,038782;-33,046267;0;0
161;154,051202;154,000000;70,006579;-32,881256;70,006579;-32,881256;0;0
162;154,073721;154,000000;69,952089;-33,034950;69,952089;-33,034950;0;0
163;154,034256;154,000000;70,041365;-32,934655;70,041365;-32,934655;0;0
164;154,092315;154,000000;70,037236;-33,077132;70,037236;-33,077132;0;0
165;154,024541;154,000000;69,989402;-32,927693;69,989402;-32,927693;0;0
166;154,073683;154,000000;70,018994;-32,899588;70,018994;-32,899588;0;0
167;154,069646;154,000000;69,918906;-33,003150;69,918906;-33,003150;0;0
168;154,061312;154,000000;70,031491;-33,040991;70,031491;-33,040991;0;0
169;154,061861;154,000000;70,059986;-32,893516;70,059986;-32,893516;0;0
170;154,056713;154,000000;69,948880;-32,988501;69,948880;-32,988501;0;0
171;154,047709;154,000000;69,989006;-33,157743;69,989006;-33,157743;0;0
172;154,052561;154,000000;70,103071;-33,108477;70,103071;-33,108477;0;0
173;154,026424;154,000000;70,013900;-33,000874;70,013900;-33,000874;0;0
174;154,055141;154,000000;70,001538;-32,954429;70,001538;-32,954429;0;0
175;154,077258;154,000000;69,974718;-33,122769;69,974718;-33,122769;0;0
176;154,072516;154,000000;70,072560;-32,922981;70,072560;-32,922981;0;0
177;154,091106;154,000000;69,983200;-33,041661;69,983200;-33,041661;0;0
178;154,087363;154,000000;70,103962;-32,950809;70,103962;-32,950809;0;0
179;154,066335;154,000000;69,999857;-33,136784;69,999857;-33,136784;0;0
180;154,080153;154,000000;70,031540;-33,007695;70,031540;-33,007695;0;0
181;154,079332;154,000000;70,105524;-32,857651;70,105524;-32,857651;0;0
182;154,059976;154,000000;69,944953;-33,097926;69,944953;-33,097926;0;0
183;154,050772;154,000000;70,019715;-32,969725;70,019715;-32,969725;0;0
184;154,045422;154,000000;70,082784;-33,164154;70,082784;-33,164154;0;0
185;154,085465;154,000000;70,002160;-32,954622;70,002160;-32,954622;0;0
186;154,053867;154,000000;69,985198;-32,982257;69,985198;-32,982257;0;0
187;154,072227;154,000000;70,005408;-32,907340;70,005408;-32,907340;0;0
188;154,070548;154,000000;69,998719;-32,933833;69,998719;-32,933833;0;0
189;154,082709;154,000000;69,929774;-32,892366;69,929774;-32,892366;0;0
190;154,025050;154,000000;69,939840;-33,188885;69,939840;-33,188885;0;0
191;154,028877;154,000000;70,028782;-32,961367;70,028782;-32,961367;0;0
192;154,048110;154,000000;69,976494;-33,084560;69,976494;-33,084560;0;0
193;154,048227;154,000000;69,951287;-33,021711;69,951287;-33,021711;0;0
194;154,060064;154,000000;69,978422;-33,163203;69,978422;-33,163203;0;0
195;154,034261;154,000000;69,959994;-33,018127;69,959994;-33,018127;0;0
196;154,020675;154,000000;69,917951;-32,939064;69,917951;-32,939064;0;0
197;154,052311;154,000000;69,997689;-32,871011;69,997689;-32,871011;0;0
198;154,050781;154,000000;69,962991;-33,069931;69,962991;-33,069931;0;0
199;154,056936;154,000000;69,983521;-33,059554;69,983521;-33,059554;0;0
200;154,057366;154,000000;69,969001;-33,088830;69,969001;-33,088830;0;0
201;154,059444;154,000000;70,055607;-33,024400;70,055607;-33,024400;0;0
202;154,061942;154,000000;69,921111;-32,791794;69,921111;-32,791794;0;0
203;154,030162;154,000000;70,020786;-33,020966;70,020786;-33,020966;0;0
204;154,062152;154,000000;69,977187;-33,063146;69,977187;-33,063146;0;0
205;154,077702;154,000000;69,970915;-33,028553;69,970915;-33,028553;0;0
206;154,038961;154,000000;69,977057;-33,106866;69,977057;-33,106866;0;0
207;154,007246;154,000000;69,925393;-32,950596;69,925393;-32,950596;0;0
208;154,039970;154,000000;69,963147;-32,976401;69,963147;-32,976401;0;0
209;154,037519;154,000000;69,993560;-32,952915;69,993560;-32,952915;0;0
210;154,044369;154,000000;70,031583;-33,008544;70,031583;-33,008544;0;0
211;154,020653;154,000000;69,992065;-33,087334;69,992065;-33,087334;0;0
212;154,037776;154,000000;70,027995;-33,058474;70,027995;-33,058474;0;0
213;154,015321;154,000000;69,973193;-33,042314;69,973193;-33,042314;0;0
214;154,031162;154,000000;69,948375;-32,969705;69,948375;-32,969705;0;0
215;154,053967;154,000000;69,998957;-33,033032;69,998957;-33,033032;0;0
216;154,040656;154,000000;70,005925;-33,146963;70,005925;-33,146963;0;0
217;154,040631;154,000000;70,037146;-32,986334;70,037146;-32,986334;0;0
218;154,027154;154,000000;70,026312;-33,153284;70,026312;-33,153284;0;0
219;154,030247;154,000000;70,031346;-32,941776;70,031346;-32,941776;0;0
220;154,016966;154,000000;70,037899;-33,019053;70,037899;-33,019053;0;0
221;154,033796;154,000000;70,025732;-32,863110;70,025732;-32,863110;0;0
222;154,049727;154,000000;70,077076;-32,983784;70,077076;-32,983784;0;0
223;154,033893;154,000000;69,943368;-32,961971;69,943368;-32,961971;0;0
224;154,021799;154,000000;69,990130;-32,918131;69,990130;-32,918131;0;0
225;154,046013;154,000000;70,008781;-33,103125;70,008781;-33,103125;0;0
226;154,021098;154,000000;70,059047;-32,917648;70,059047;-32,917648;0;0
227;154,042304;154,000000;70,036300;-32,987370;70,036300;-32,987370;0;0
228;154,033940;154,000000;69,969589;-33,034045;69,969589;-33,034045;0;0
229;154,022785;154,000000;69,949871;-33,058112;69,949871;-33,058112;0;0
230;153,991396;154,000000;69,923350;-33,179725;69,923350;-33,179725;0;0
231;154,032016;154,000000;70,082827;-32,953735;70,082827;-32,953735;0;0
232;153,993653;154,000000;69,939404;-32,960368;69,939404;-32,960368;0;0
233;154,023436;154,000000;69,988529;-32,985688;69,988529;-32,985688;0;0
234;154,033782;154,000000;69,975304;-33,012904;69,975304;-33,012904;0;0
235;154,011061;154,000000;69,946490;-33,018133;69,946490;-33,018133;0;0
236;154,012741;154,000000;70,009308;-33,221156;70,009308;-33,221156;0;0
237;154,022709;154,000000;69,925872;-33,062260;69,925872;-33,062260;0;0
238;154,033413;154,000000;70,016930;-33,001394;70,016930;-33,001394;0;0
239;154,059148;154,000000;70,043547;-33,029415;70,043547;-33,029415;0;0
240;154,025627;154,000000;69,993072;-32,834405;69,993072;-32,834405;0;0
241;154,010373;154,000000;69,995126;-33,077296;69,995126;-33,077296;0;0
242;153,993567;154,000000;70,018913;-32,960532;70,018913;-32,960532;0;0
243;154,002129;154,000000;69,962931;-33,139826;69,962931;-33,139826;0;0
244;153,993384;154,000000;69,965042;-32,959676;69,965042;-32,959676;0;0
245;153,987501;154,000000;70,009752;-33,066216;70,009752;-33,066216;0;0
246;153,967065;154,000000;70,048893;-33,028677;70,048893;-33,028677;0;0
247;154,037188;154,000000;69,958458;-32,985412;69,958458;-32,985412;0;0
248;153,999247;154,000000;70,036618;-32,987611;70,036618;-32,987611;0;0
249;153,997089;154,000000;70,035359;-32,977284;70,035359;-32,977284;0;0
250;153,976347;154,000000;69,984911;-32,948709;69,984911;-32,948709;0;0
