# YHDA_VERSION=0.6.5
# TEST_SERVICE=RGDH
# PLANT_TYPE=RESGES
# STEP_ID=UE_P20
# STEP_NAME=Düşük ikaz — %20 çıkış gücü
# TESIS_ADI=YHDA Örnek RES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=100
# AUX_SOURCE_PNOM_MW=0
# ONLINE_TOTAL_MW=100
# MAX_ACCESSIBLE_POWER_MW=70
# Q_REQUIRED_OE_MVAR=33
# Q_REQUIRED_UE_MVAR=-33
# TOTAL_UNIT_COUNT=20
# ONLINE_UNIT_COUNT=20
# STEP_Q_TARGET_MVAR=-13.2
# STEP_PSET_MW=20
ZAMAN;SIRA_NO;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar
16.8.2026 09:00:00,0s;1;154,005853;154,000000;20,034071;-0,101808;20,034071;-0,101808;0;0
16.8.2026 09:00:01,0s;2;154,002874;154,000000;19,957936;-0,009329;19,957936;-0,009329;0;0
16.8.2026 09:00:02,0s;3;153,990525;154,000000;19,989207;-0,018415;19,989207;-0,018415;0;0
16.8.2026 09:00:03,0s;4;154,028576;154,000000;19,986171;0,068953;19,986171;0,068953;0;0
16.8.2026 09:00:04,0s;5;153,991557;154,000000;20,024888;-0,006187;20,024888;-0,006187;0;0
16.8.2026 09:00:05,0s;6;154,028543;154,000000;19,972982;0,069736;19,972982;0,069736;0;0
16.8.2026 09:00:06,0s;7;154,019144;154,000000;19,977092;-0,053268;19,977092;-0,053268;0;0
16.8.2026 09:00:07,0s;8;154,000027;154,000000;20,039972;0,017073;20,039972;0,017073;0;0
16.8.2026 09:00:08,0s;9;154,011543;154,000000;19,994356;-0,033422;19,994356;-0,033422;0;0
16.8.2026 09:00:09,0s;10;153,985228;154,000000;20,026317;0,032148;20,026317;0,032148;0;0
16.8.2026 09:00:10,0s;11;153,977216;154,000000;20,023999;0,048331;20,023999;0,048331;0;0
16.8.2026 09:00:11,0s;12;154,023675;154,000000;20,049015;-0,059328;20,049015;-0,059328;0;0
16.8.2026 09:00:12,0s;13;154,025355;154,000000;19,988277;-0,037249;19,988277;-0,037249;0;0
16.8.2026 09:00:13,0s;14;154,006017;154,000000;20,013518;0,055850;20,013518;0,055850;0;0
16.8.2026 09:00:14,0s;15;153,996494;154,000000;19,986324;-0,031954;19,986324;-0,031954;0;0
16.8.2026 09:00:15,0s;16;154,007134;154,000000;19,982922;0,012375;19,982922;0,012375;0;0
16.8.2026 09:00:16,0s;17;154,033940;154,000000;19,978520;-0,029501;19,978520;-0,029501;0;0
16.8.2026 09:00:17,0s;18;154,018103;154,000000;19,962926;-0,000929;19,962926;-0,000929;0;0
16.8.2026 09:00:18,0s;19;154,043311;154,000000;19,935968;0,075588;19,935968;0,075588;0;0
16.8.2026 09:00:19,0s;20;154,020137;154,000000;20,011830;-0,016954;20,011830;-0,016954;0;0
16.8.2026 09:00:20,0s;21;154,011463;154,000000;20,019637;-0,002255;20,019637;-0,002255;0;0
16.8.2026 09:00:21,0s;22;154,026191;154,000000;20,008306;-0,013096;20,008306;-0,013096;0;0
16.8.2026 09:00:22,0s;23;154,018692;154,000000;19,948471;0,039105;19,948471;0,039105;0;0
16.8.2026 09:00:23,0s;24;154,019616;154,000000;20,037727;-0,052894;20,037727;-0,052894;0;0
16.8.2026 09:00:24,0s;25;154,012567;154,000000;19,971757;-0,115036;19,971757;-0,115036;0;0
16.8.2026 09:00:25,0s;26;154,021299;154,000000;20,008658;0,096286;20,008658;0,096286;0;0
16.8.2026 09:00:26,0s;27;154,002068;154,000000;20,014475;-0,032884;20,014475;-0,032884;0;0
16.8.2026 09:00:27,0s;28;154,025968;154,000000;20,015785;0,017814;20,015785;0,017814;0;0
16.8.2026 09:00:28,0s;29;154,030538;154,000000;20,009162;0,022524;20,009162;0,022524;0;0
16.8.2026 09:00:29,0s;30;153,995914;154,000000;20,008261;0,017253;20,008261;0,017253;0;0
16.8.2026 09:00:30,0s;31;154,052165;154,000000;19,953208;-0,007235;19,953208;-0,007235;0;0
16.8.2026 09:00:31,0s;32;154,009130;154,000000;20,009212;-0,061634;20,009212;-0,061634;0;0
16.8.2026 09:00:32,0s;33;154,011675;154,000000;19,968863;-0,049703;19,968863;-0,049703;0;0
16.8.2026 09:00:33,0s;34;154,047363;154,000000;20,009693;0,049778;20,009693;0,049778;0;0
16.8.2026 09:00:34,0s;35;154,054598;154,000000;20,035988;-0,151413;20,035988;-0,151413;0;0
16.8.2026 09:00:35,0s;36;154,009296;154,000000;19,986922;-0,111576;19,986922;-0,111576;0;0
16.8.2026 09:00:36,0s;37;154,039599;154,000000;19,977275;-0,278924;19,977275;-0,278924;0;0
16.8.2026 09:00:37,0s;38;154,083657;154,000000;20,033280;-0,294230;20,033280;-0,294230;0;0
16.8.2026 09:00:38,0s;39;154,042220;154,000000;20,048133;-0,440830;20,048133;-0,440830;0;0
16.8.2026 09:00:39,0s;40;154,044631;154,000000;20,014557;-0,504037;20,014557;-0,504037;0;0
16.8.2026 09:00:40,0s;41;154,049744;154,000000;20,012007;-0,660652;20,012007;-0,660652;0;0
16.8.2026 09:00:41,0s;42;154,060309;154,000000;19,949966;-0,792595;19,949966;-0,792595;0;0
16.8.2026 09:00:42,0s;43;154,029737;154,000000;19,983848;-0,963365;19,983848;-0,963365;0;0
16.8.2026 09:00:43,0s;44;154,055018;154,000000;19,984024;-1,004110;19,984024;-1,004110;0;0
16.8.2026 09:00:44,0s;45;154,049074;154,000000;19,926864;-1,150696;19,926864;-1,150696;0;0
16.8.2026 09:00:45,0s;46;154,040065;154,000000;20,010503;-1,375884;20,010503;-1,375884;0;0
16.8.2026 09:00:46,0s;47;153,995125;154,000000;20,008023;-1,565625;20,008023;-1,565625;0;0
16.8.2026 09:00:47,0s;48;154,064889;154,000000;20,008588;-1,731590;20,008588;-1,731590;0;0
16.8.2026 09:00:48,0s;49;154,053790;154,000000;19,969774;-1,813926;19,969774;-1,813926;0;0
16.8.2026 09:00:49,0s;50;154,011741;154,000000;19,990115;-2,193298;19,990115;-2,193298;0;0
16.8.2026 09:00:50,0s;51;154,059010;154,000000;20,003708;-2,395448;20,003708;-2,395448;0;0
16.8.2026 09:00:51,0s;52;154,033237;154,000000;19,932063;-2,589194;19,932063;-2,589194;0;0
16.8.2026 09:00:52,0s;53;154,041062;154,000000;20,038123;-2,696929;20,038123;-2,696929;0;0
16.8.2026 09:00:53,0s;54;154,054046;154,000000;20,010146;-2,916435;20,010146;-2,916435;0;0
16.8.2026 09:00:54,0s;55;154,054923;154,000000;19,996548;-3,166067;19,996548;-3,166067;0;0
16.8.2026 09:00:55,0s;56;154,060550;154,000000;19,986333;-3,429808;19,986333;-3,429808;0;0
16.8.2026 09:00:56,0s;57;154,032603;154,000000;20,023323;-3,704440;20,023323;-3,704440;0;0
16.8.2026 09:00:57,0s;58;154,047215;154,000000;20,019266;-3,862560;20,019266;-3,862560;0;0
16.8.2026 09:00:58,0s;59;154,038213;154,000000;19,979733;-4,165859;19,979733;-4,165859;0;0
16.8.2026 09:00:59,0s;60;154,057326;154,000000;19,982172;-4,349111;19,982172;-4,349111;0;0
16.8.2026 09:01:00,0s;61;154,062447;154,000000;19,998467;-4,674880;19,998467;-4,674880;0;0
16.8.2026 09:01:01,0s;62;154,044240;154,000000;19,993552;-4,841522;19,993552;-4,841522;0;0
16.8.2026 09:01:02,0s;63;154,011631;154,000000;20,015553;-5,174190;20,015553;-5,174190;0;0
16.8.2026 09:01:03,0s;64;154,072229;154,000000;20,056726;-5,345431;20,056726;-5,345431;0;0
