# YHDA_VERSION=0.5
# TEST_SERVICE=RGDH
# PLANT_TYPE=RESGES
# STEP_ID=UE_P50
# STEP_NAME=Düşük ikaz — %50 çıkış gücü
# TESIS_ADI=YHDA Örnek RES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=100
# AUX_SOURCE_PNOM_MW=0
# ONLINE_TOTAL_MW=100
# MAX_ACCESSIBLE_POWER_MW=70
# Q_REQUIRED_OE_MVAR=33
# Q_REQUIRED_UE_MVAR=-33
# TOTAL_UNIT_COUNT=20
# ONLINE_UNIT_COUNT=20
# STEP_Q_TARGET_MVAR=-33
# STEP_PSET_MW=50
time_s;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar
0;154,020602;154,000000;49,988587;-0,067840;49,988587;-0,067840;0;0
1;153,966948;154,000000;50,008896;0,021660;50,008896;0,021660;0;0
2;154,024222;154,000000;50,016562;0,071942;50,016562;0,071942;0;0
3;154,031184;154,000000;49,948809;0,097507;49,948809;0,097507;0;0
4;153,992648;154,000000;49,993707;0,038614;49,993707;0,038614;0;0
5;154,054287;154,000000;50,032965;0,049975;50,032965;0,049975;0;0
6;154,021005;154,000000;50,009241;-0,033903;50,009241;-0,033903;0;0
7;154,008238;154,000000;49,971043;0,113156;49,971043;0,113156;0;0
8;154,043418;154,000000;50,075099;0,041821;50,075099;0,041821;0;0
9;154,037318;154,000000;49,986629;0,069639;49,986629;0,069639;0;0
10;153,969153;154,000000;49,958655;-0,040500;49,958655;-0,040500;0;0
11;154,006905;154,000000;49,941461;0,085524;49,941461;0,085524;0;0
12;154,013099;154,000000;50,005225;-0,085575;50,005225;-0,085575;0;0
13;154,007661;154,000000;49,976118;0,055733;49,976118;0,055733;0;0
14;153,997829;154,000000;49,947526;0,097856;49,947526;0,097856;0;0
15;154,039816;154,000000;50,040846;0,097145;50,040846;0,097145;0;0
16;154,024478;154,000000;49,977280;-0,198108;49,977280;-0,198108;0;0
17;154,016277;154,000000;50,000752;-0,005974;50,000752;-0,005974;0;0
18;154,012609;154,000000;50,009353;-0,049033;50,009353;-0,049033;0;0
19;153,982608;154,000000;49,951570;-0,049992;49,951570;-0,049992;0;0
20;154,066121;154,000000;50,000188;0,034674;50,000188;0,034674;0;0
21;154,022503;154,000000;50,023845;0,084966;50,023845;0,084966;0;0
22;154,020808;154,000000;50,021593;0,108033;50,021593;0,108033;0;0
23;154,027428;154,000000;50,005527;-0,088230;50,005527;-0,088230;0;0
24;154,033602;154,000000;49,986466;-0,047420;49,986466;-0,047420;0;0
25;154,055392;154,000000;50,028739;-0,008411;50,028739;-0,008411;0;0
26;154,031759;154,000000;49,986121;0,036914;49,986121;0,036914;0;0
27;154,013606;154,000000;50,036265;-0,087736;50,036265;-0,087736;0;0
28;153,999860;154,000000;49,985116;0,010762;49,985116;0,010762;0;0
29;154,037221;154,000000;50,033740;-0,106255;50,033740;-0,106255;0;0
30;154,027476;154,000000;50,033647;-0,060851;50,033647;-0,060851;0;0
31;154,010134;154,000000;50,013398;-0,077489;50,013398;-0,077489;0;0
32;154,015914;154,000000;49,950868;-0,042157;49,950868;-0,042157;0;0
33;154,024548;154,000000;49,935830;-0,203743;49,935830;-0,203743;0;0
34;154,034774;154,000000;49,983180;-0,061193;49,983180;-0,061193;0;0
35;154,012042;154,000000;50,012436;-0,295521;50,012436;-0,295521;0;0
