# YHDA_VERSION=0.7.0
# TEST_SERVICE=RGDH
# PLANT_TYPE=RESGES
# STEP_ID=VCTRL_MINUS1
# STEP_NAME=Gerilim kontrolcüsü — -%1 basamak değişimi
# TESIS_ADI=YHDA Örnek RES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=100
# AUX_SOURCE_PNOM_MW=0
# ONLINE_TOTAL_MW=100
# MAX_ACCESSIBLE_POWER_MW=70
# Q_REQUIRED_OE_MVAR=33
# Q_REQUIRED_UE_MVAR=-33
# TOTAL_UNIT_COUNT=20
# ONLINE_UNIT_COUNT=20
# YDA_VERSION=0.7.0
ZAMAN;SIRA_NO;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar
16.8.2026 08:59:40,0s;1;153,995266;154,000000;70,004982;-0,002320;70,004982;-0,002320;0;0
16.8.2026 08:59:40,1s;2;154,002489;154,000000;69,982264;-0,001653;69,982264;-0,001653;0;0
16.8.2026 08:59:40,2s;3;154,000886;154,000000;70,010004;0,055592;70,010004;0,055592;0;0
16.8.2026 08:59:40,3s;4;154,021681;154,000000;70,043255;0,018527;70,043255;0,018527;0;0
16.8.2026 08:59:40,4s;5;154,010390;154,000000;70,008694;-0,004721;70,008694;-0,004721;0;0
16.8.2026 08:59:40,5s;6;154,010999;154,000000;70,015980;-0,014128;70,015980;-0,014128;0;0
16.8.2026 08:59:40,6s;7;153,985326;154,000000;69,995018;-0,011614;69,995018;-0,011614;0;0
16.8.2026 08:59:40,7s;8;154,003883;154,000000;69,991471;-0,027799;69,991471;-0,027799;0;0
16.8.2026 08:59:40,8s;9;153,995595;154,000000;70,031334;0,007519;70,031334;0,007519;0;0
16.8.2026 08:59:40,9s;10;154,007502;154,000000;70,002790;0,078076;70,002790;0,078076;0;0
16.8.2026 08:59:41,0s;11;153,997632;154,000000;70,003102;-0,072948;70,003102;-0,072948;0;0
16.8.2026 08:59:41,1s;12;154,004974;154,000000;69,971876;-0,035339;69,971876;-0,035339;0;0
16.8.2026 08:59:41,2s;13;153,994684;154,000000;69,977793;0,014219;69,977793;0,014219;0;0
16.8.2026 08:59:41,3s;14;154,009712;154,000000;70,021474;-0,038301;70,021474;-0,038301;0;0
16.8.2026 08:59:41,4s;15;153,982075;154,000000;69,974789;0,025287;69,974789;0,025287;0;0
16.8.2026 08:59:41,5s;16;154,007654;154,000000;69,984061;0,045311;69,984061;0,045311;0;0
16.8.2026 08:59:41,6s;17;154,000238;154,000000;69,967979;0,036611;69,967979;0,036611;0;0
16.8.2026 08:59:41,7s;18;154,008222;154,000000;69,992590;0,047789;69,992590;0,047789;0;0
16.8.2026 08:59:41,8s;19;154,005140;154,000000;69,948436;-0,006859;69,948436;-0,006859;0;0
16.8.2026 08:59:41,9s;20;153,994407;154,000000;69,985248;0,024187;69,985248;0,024187;0;0
16.8.2026 08:59:42,0s;21;153,997130;154,000000;70,008505;0,081801;70,008505;0,081801;0;0
16.8.2026 08:59:42,1s;22;154,006328;154,000000;70,005379;-0,041651;70,005379;-0,041651;0;0
16.8.2026 08:59:42,2s;23;153,993174;154,000000;70,019737;0,010588;70,019737;0,010588;0;0
16.8.2026 08:59:42,3s;24;153,999929;154,000000;70,000092;0,065586;70,000092;0,065586;0;0
16.8.2026 08:59:42,4s;25;154,004884;154,000000;70,017741;0,070341;70,017741;0,070341;0;0
16.8.2026 08:59:42,5s;26;154,001899;154,000000;69,984893;0,084818;69,984893;0,084818;0;0
16.8.2026 08:59:42,6s;27;154,015024;154,000000;69,994882;0,009584;69,994882;0,009584;0;0
16.8.2026 08:59:42,7s;28;153,999697;154,000000;69,993331;-0,039537;69,993331;-0,039537;0;0
16.8.2026 08:59:42,8s;29;154,020095;154,000000;70,049424;-0,076888;70,049424;-0,076888;0;0
16.8.2026 08:59:42,9s;30;154,017820;154,000000;70,001695;-0,016393;70,001695;-0,016393;0;0
16.8.2026 08:59:43,0s;31;154,006927;154,000000;69,964007;0,024885;69,964007;0,024885;0;0
16.8.2026 08:59:43,1s;32;154,016919;154,000000;69,999565;-0,009180;69,999565;-0,009180;0;0
16.8.2026 08:59:43,2s;33;154,011653;154,000000;70,010489;0,047771;70,010489;0,047771;0;0
16.8.2026 08:59:43,3s;34;154,015158;154,000000;69,939069;0,078814;69,939069;0,078814;0;0
