# YHDA_VERSION=0.6.2
# TEST_SERVICE=RGDH
# PLANT_TYPE=RESGES
# STEP_ID=VCTRL_PLUS1
# STEP_NAME=Gerilim kontrolcüsü — +%1 basamak değişimi
# TESIS_ADI=YHDA Örnek RES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=100
# AUX_SOURCE_PNOM_MW=0
# ONLINE_TOTAL_MW=100
# MAX_ACCESSIBLE_POWER_MW=70
# Q_REQUIRED_OE_MVAR=33
# Q_REQUIRED_UE_MVAR=-33
# TOTAL_UNIT_COUNT=20
# ONLINE_UNIT_COUNT=20
ZAMAN;SIRA_NO;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar
16.8.2026 08:59:40,0s;1;154,001633;154,000000;69,997095;-0,081743;69,997095;-0,081743;0;0
16.8.2026 08:59:40,1s;2;154,000936;154,000000;69,989605;-0,040088;69,989605;-0,040088;0;0
16.8.2026 08:59:40,2s;3;154,001858;154,000000;69,997880;0,019521;69,997880;0,019521;0;0
16.8.2026 08:59:40,3s;4;153,989448;154,000000;70,017649;-0,011505;70,017649;-0,011505;0;0
16.8.2026 08:59:40,4s;5;153,992071;154,000000;70,021445;0,030786;70,021445;0,030786;0;0
16.8.2026 08:59:40,5s;6;153,990498;154,000000;69,996046;0,023169;69,996046;0,023169;0;0
16.8.2026 08:59:40,6s;7;153,985286;154,000000;69,957443;0,060117;69,957443;0,060117;0;0
16.8.2026 08:59:40,7s;8;154,005152;154,000000;69,970639;-0,016561;69,970639;-0,016561;0;0
16.8.2026 08:59:40,8s;9;154,007938;154,000000;70,001786;0,012224;70,001786;0,012224;0;0
16.8.2026 08:59:40,9s;10;153,994079;154,000000;70,023061;-0,030107;70,023061;-0,030107;0;0
16.8.2026 08:59:41,0s;11;153,997704;154,000000;70,008326;-0,018590;70,008326;-0,018590;0;0
16.8.2026 08:59:41,1s;12;153,997609;154,000000;70,018803;-0,040076;70,018803;-0,040076;0;0
16.8.2026 08:59:41,2s;13;154,022405;154,000000;69,995795;0,050694;69,995795;0,050694;0;0
16.8.2026 08:59:41,3s;14;153,995083;154,000000;70,055630;-0,036036;70,055630;-0,036036;0;0
16.8.2026 08:59:41,4s;15;154,000775;154,000000;69,979373;0,035100;69,979373;0,035100;0;0
16.8.2026 08:59:41,5s;16;154,018547;154,000000;69,974455;-0,012346;69,974455;-0,012346;0;0
16.8.2026 08:59:41,6s;17;154,002664;154,000000;69,985395;0,032577;69,985395;0,032577;0;0
16.8.2026 08:59:41,7s;18;154,000951;154,000000;70,020872;-0,011637;70,020872;-0,011637;0;0
16.8.2026 08:59:41,8s;19;154,005760;154,000000;70,004860;0,011473;70,004860;0,011473;0;0
16.8.2026 08:59:41,9s;20;154,011482;154,000000;69,980784;0,009703;69,980784;0,009703;0;0
16.8.2026 08:59:42,0s;21;153,999938;154,000000;70,004136;0,042013;70,004136;0,042013;0;0
16.8.2026 08:59:42,1s;22;154,003474;154,000000;69,984414;-0,002784;69,984414;-0,002784;0;0
16.8.2026 08:59:42,2s;23;153,989278;154,000000;70,006415;-0,045879;70,006415;-0,045879;0;0
16.8.2026 08:59:42,3s;24;154,006311;154,000000;70,013823;-0,029520;70,013823;-0,029520;0;0
16.8.2026 08:59:42,4s;25;154,018754;154,000000;70,017604;-0,038404;70,017604;-0,038404;0;0
16.8.2026 08:59:42,5s;26;153,988371;154,000000;70,034515;-0,027142;70,034515;-0,027142;0;0
16.8.2026 08:59:42,6s;27;153,997757;154,000000;70,016833;-0,032551;70,016833;-0,032551;0;0
16.8.2026 08:59:42,7s;28;153,996908;154,000000;69,985962;0,010749;69,985962;0,010749;0;0
16.8.2026 08:59:42,8s;29;153,994844;154,000000;69,949165;0,012970;69,949165;0,012970;0;0
16.8.2026 08:59:42,9s;30;153,983000;154,000000;69,976765;-0,020600;69,976765;-0,020600;0;0
16.8.2026 08:59:43,0s;31;153,995985;154,000000;70,007788;-0,002659;70,007788;-0,002659;0;0
16.8.2026 08:59:43,1s;32;153,993825;154,000000;69,964137;-0,041360;69,964137;-0,041360;0;0
16.8.2026 08:59:43,2s;33;154,006954;154,000000;69,988921;-0,018787;69,988921;-0,018787;0;0
16.8.2026 08:59:43,3s;34;153,998236;154,000000;70,016735;0,011166;70,016735;0,011166;0;0
16.8.2026 08:59:43,4s;35;154,008299;154,000000;69,938501;-0,011651;69,938501;-0,011651;0;0
16.8.2026 08:59:43,5s;36;154,010410;154,000000;70,020624;0,022762;70,020624;0,022762;0;0
16.8.2026 08:59:43,6s;37;153,998072;154,000000;69,980433;0,041170;69,980433;0,041170;0;0
16.8.2026 08:59:43,7s;38;154,000143;154,000000;69,984300;0,078777;69,984300;0,078777;0;0
16.8.2026 08:59:43,8s;39;154,012961;154,000000;69,978498;-0,005196;69,978498;-0,005196;0;0
16.8.2026 08:59:43,9s;40;153,996163;154,000000;70,036210;-0,060613;70,036210;-0,060613;0;0
16.8.2026 08:59:44,0s;41;154,022657;154,000000;70,028796;-0,012395;70,028796;-0,012395;0;0
16.8.2026 08:59:44,1s;42;153,981331;154,000000;69,994872;-0,022931;69,994872;-0,022931;0;0
16.8.2026 08:59:44,2s;43;154,005915;154,000000;69,993594;-0,053307;69,993594;-0,053307;0;0
16.8.2026 08:59:44,3s;44;153,995219;154,000000;70,034949;0,021039;70,034949;0,021039;0;0
16.8.2026 08:59:44,4s;45;153,982048;154,000000;70,006075;-0,022003;70,006075;-0,022003;0;0
16.8.2026 08:59:44,5s;46;154,013344;154,000000;70,010165;-0,057845;70,010165;-0,057845;0;0
16.8.2026 08:59:44,6s;47;153,979473;154,000000;69,989437;-0,030270;69,989437;-0,030270;0;0
16.8.2026 08:59:44,7s;48;154,020765;154,000000;69,967099;0,091868;69,967099;0,091868;0;0
16.8.2026 08:59:44,8s;49;154,003539;154,000000;69,999986;-0,052465;69,999986;-0,052465;0;0
16.8.2026 08:59:44,9s;50;154,009891;154,000000;70,002705;-0,016618;70,002705;-0,016618;0;0
16.8.2026 08:59:45,0s;51;154,001253;154,000000;70,036210;-0,059095;70,036210;-0,059095;0;0
16.8.2026 08:59:45,1s;52;154,012016;154,000000;70,027560;0,067620;70,027560;0,067620;0;0
16.8.2026 08:59:45,2s;53;154,008353;154,000000;70,042329;0,018464;70,042329;0,018464;0;0
16.8.2026 08:59:45,3s;54;153,998857;154,000000;69,998193;0,018920;69,998193;0,018920;0;0
16.8.2026 08:59:45,4s;55;154,018749;154,000000;70,003713;0,017541;70,003713;0,017541;0;0
16.8.2026 08:59:45,5s;56;153,988331;154,000000;69,997093;0,006468;69,997093;0,006468;0;0
16.8.2026 08:59:45,6s;57;154,004881;154,000000;70,014358;0,053234;70,014358;0,053234;0;0
16.8.2026 08:59:45,7s;58;153,988112;154,000000;69,989326;0,005464;69,989326;0,005464;0;0
16.8.2026 08:59:45,8s;59;153,995874;154,000000;69,984771;-0,019172;69,984771;-0,019172;0;0
16.8.2026 08:59:45,9s;60;154,006433;154,000000;69,982825;0,020994;69,982825;0,020994;0;0
16.8.2026 08:59:46,0s;61;154,004450;154,000000;69,950036;0,007502;69,950036;0,007502;0;0
16.8.2026 08:59:46,1s;62;153,993717;154,000000;70,038362;-0,004138;70,038362;-0,004138;0;0
16.8.2026 08:59:46,2s;63;154,006780;154,000000;69,962220;0,021382;69,962220;0,021382;0;0
16.8.2026 08:59:46,3s;64;154,010401;154,000000;69,995559;0,029282;69,995559;0,029282;0;0
16.8.2026 08:59:46,4s;65;153,994210;154,000000;69,947647;-0,089749;69,947647;-0,089749;0;0
16.8.2026 08:59:46,5s;66;154,000999;154,000000;70,057418;-0,040277;70,057418;-0,040277;0;0
16.8.2026 08:59:46,6s;67;154,009588;154,000000;69,989630;-0,016089;69,989630;-0,016089;0;0
16.8.2026 08:59:46,7s;68;153,991221;154,000000;70,010401;0,012505;70,010401;0,012505;0;0
16.8.2026 08:59:46,8s;69;154,004468;154,000000;69,983723;0,050597;69,983723;0,050597;0;0
16.8.2026 08:59:46,9s;70;153,995366;154,000000;70,001400;-0,009234;70,001400;-0,009234;0;0
16.8.2026 08:59:47,0s;71;154,001375;154,000000;69,996434;0,015833;69,996434;0,015833;0;0
16.8.2026 08:59:47,1s;72;153,995957;154,000000;69,971506;0,030440;69,971506;0,030440;0;0
16.8.2026 08:59:47,2s;73;153,990297;154,000000;70,004087;-0,067322;70,004087;-0,067322;0;0
16.8.2026 08:59:47,3s;74;153,986993;154,000000;70,022253;0,018086;70,022253;0,018086;0;0
16.8.2026 08:59:47,4s;75;154,016575;154,000000;70,028748;0,044880;70,028748;0,044880;0;0
16.8.2026 08:59:47,5s;76;154,015282;154,000000;69,986443;0,082960;69,986443;0,082960;0;0
16.8.2026 08:59:47,6s;77;153,993233;154,000000;69,963773;-0,042197;69,963773;-0,042197;0;0
16.8.2026 08:59:47,7s;78;154,014091;154,000000;70,005159;-0,039967;70,005159;-0,039967;0;0
16.8.2026 08:59:47,8s;79;154,010627;154,000000;69,992415;0,004287;69,992415;0,004287;0;0
16.8.2026 08:59:47,9s;80;153,986538;154,000000;70,023051;0,056951;70,023051;0,056951;0;0
16.8.2026 08:59:48,0s;81;153,994746;154,000000;70,038064;-0,030468;70,038064;-0,030468;0;0
16.8.2026 08:59:48,1s;82;154,000575;154,000000;70,002906;-0,016750;70,002906;-0,016750;0;0
16.8.2026 08:59:48,2s;83;153,985701;154,000000;69,990593;-0,026551;69,990593;-0,026551;0;0
16.8.2026 08:59:48,3s;84;153,980861;154,000000;70,038199;-0,007397;70,038199;-0,007397;0;0
16.8.2026 08:59:48,4s;85;154,014045;154,000000;69,956892;0,007945;69,956892;0,007945;0;0
16.8.2026 08:59:48,5s;86;153,998977;154,000000;69,993342;-0,036225;69,993342;-0,036225;0;0
16.8.2026 08:59:48,6s;87;153,996367;154,000000;69,979632;0,052484;69,979632;0,052484;0;0
16.8.2026 08:59:48,7s;88;154,004665;154,000000;70,008107;0,047790;70,008107;0,047790;0;0
