# YHDA_VERSION=0.7.1
# TEST_SERVICE=SFHM
# PLANT_TYPE=EDUEDT
# STEP_ID=LFSM_O_50_4
# STEP_NAME=Sınırlı frekans hassasiyet modu — yüksek frekans / 50,4 Hz
# TESIS_ADI=YHDA Örnek SFHM EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# SFHM_RESERVE_MW=20
# DROOP_PERCENT=4
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
# YDA_VERSION=0.7.1
ZAMAN;SIRA_NO;grid_frequency_hz;active_power_mw;active_power_reference_mw;reserve_mw;soc_pct;stored_energy_mwh;dc_power_mw
16.8.2026 08:59:40,0s;1;50,000507;55,064048;55,000000;20;64,999235;129,998470;55,714981
16.8.2026 08:59:40,1s;2;50,000508;54,944549;55,000000;20;64,998472;129,996944;55,608055
16.8.2026 08:59:40,2s;3;50,000219;54,993036;55,000000;20;64,997708;129,995417;55,669633
16.8.2026 08:59:40,3s;4;49,999370;55,048413;55,000000;20;64,996944;129,993887;55,728344
16.8.2026 08:59:40,4s;5;50,000341;54,907208;55,000000;20;64,996181;129,992362;55,617695
16.8.2026 08:59:40,5s;6;49,999910;54,955270;55,000000;20;64,995418;129,990836;55,585221
16.8.2026 08:59:40,6s;7;50,000318;55,043199;55,000000;20;64,994653;129,989307;55,715557
16.8.2026 08:59:40,7s;8;50,000326;54,979606;55,000000;20;64,993890;129,987780;55,656721
16.8.2026 08:59:40,8s;9;49,999594;55,107484;55,000000;20;64,993124;129,986249;55,758601
16.8.2026 08:59:40,9s;10;50,000119;55,031788;55,000000;20;64,992360;129,984720;55,729105
16.8.2026 08:59:41,0s;11;49,999648;55,021278;55,000000;20;64,991596;129,983192;55,670744
16.8.2026 08:59:41,1s;12;49,999765;54,975611;55,000000;20;64,990832;129,981665;55,641441
16.8.2026 08:59:41,2s;13;49,999598;54,978487;55,000000;20;64,990069;129,980138;55,622821
16.8.2026 08:59:41,3s;14;49,999934;55,014245;55,000000;20;64,989305;129,978609;55,701242
16.8.2026 08:59:41,4s;15;50,000351;54,986175;55,000000;20;64,988541;129,977082;55,632976
16.8.2026 08:59:41,5s;16;49,999879;54,928555;55,000000;20;64,987778;129,975556;55,582991
16.8.2026 08:59:41,6s;17;49,999786;55,026908;55,000000;20;64,987014;129,974028;55,678716
16.8.2026 08:59:41,7s;18;49,999654;54,998578;55,000000;20;64,986250;129,972500;55,638505
16.8.2026 08:59:41,8s;19;50,000121;54,995348;55,000000;20;64,985486;129,970972;55,655739
16.8.2026 08:59:41,9s;20;50,000585;54,951781;55,000000;20;64,984723;129,969446;55,639493
16.8.2026 08:59:42,0s;21;50,000333;55,082573;55,000000;20;64,983958;129,967916;55,750208
16.8.2026 08:59:42,1s;22;50,000241;54,987820;55,000000;20;64,983194;129,966388;55,669198
16.8.2026 08:59:42,2s;23;49,999543;55,104276;55,000000;20;64,982429;129,964858;55,762429
16.8.2026 08:59:42,3s;24;49,999979;55,007282;55,000000;20;64,981665;129,963330;55,696368
16.8.2026 08:59:42,4s;25;49,999970;55,040556;55,000000;20;64,980900;129,961801;55,638508
16.8.2026 08:59:42,5s;26;49,999686;55,019549;55,000000;20;64,980136;129,960272;55,675778
16.8.2026 08:59:42,6s;27;50,000848;54,978462;55,000000;20;64,979373;129,958745;55,584584
16.8.2026 08:59:42,7s;28;50,000288;55,008181;55,000000;20;64,978609;129,957217;55,714583
16.8.2026 08:59:42,8s;29;50,000186;54,999749;55,000000;20;64,977845;129,955689;55,650855
16.8.2026 08:59:42,9s;30;50,000558;54,992334;55,000000;20;64,977081;129,954162;55,611423
16.8.2026 08:59:43,0s;31;50,000296;54,963961;55,000000;20;64,976318;129,952635;55,624013
16.8.2026 08:59:43,1s;32;49,999967;55,065005;55,000000;20;64,975553;129,951106;55,686601
16.8.2026 08:59:43,2s;33;50,000428;55,053091;55,000000;20;64,974788;129,949576;55,703271
16.8.2026 08:59:43,3s;34;50,000110;54,988598;55,000000;20;64,974024;129,948049;55,601042
16.8.2026 08:59:43,4s;35;49,999967;55,014316;55,000000;20;64,973260;129,946521;55,701912
16.8.2026 08:59:43,5s;36;50,000200;55,064125;55,000000;20;64,972496;129,944991;55,745168
