# YHDA_VERSION=0.5
# TEST_SERVICE=SFK
# PLANT_TYPE=DGKCS
# STEP_ID=LFC_SIGNAL_CHECK
# STEP_NAME=LFC/AGC sinyal, alarm ve durum bilgileri kontrolü
# TESIS_ADI=YHDA Örnek DGKÇS SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=304.0
# SFK_MAX_MW=384.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
time_s;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
0;344,000000;344,049454;344,000000;49,997850;0;0;0;1;0;0;1;1;0;8
1;344,000000;344,094773;344,000000;50,000580;0;0;0;1;0;0;1;1;0;8
2;344,000000;344,026967;344,000000;49,998951;0;0;0;1;0;0;1;1;0;8
3;344,000000;343,918312;344,000000;49,999735;0;0;0;1;0;0;1;1;0;8
4;344,000000;343,988057;344,000000;50,001970;0;0;0;1;0;0;1;1;0;8
5;344,000000;344,049507;344,000000;49,998335;0;0;0;1;0;0;1;1;0;8
6;344,000000;343,968058;344,000000;49,999210;0;0;0;1;0;0;1;1;0;8
7;344,000000;344,032300;344,000000;50,002709;0;0;0;1;0;0;1;1;0;8
8;344,000000;344,119996;344,000000;49,999208;0;0;0;1;0;0;1;1;0;8
9;344,000000;344,041962;344,000000;50,000234;0;0;0;1;0;0;1;1;0;8
10;344,000000;343,890685;344,000000;50,000842;0;0;0;1;0;0;1;1;0;8
11;344,000000;343,982580;344,000000;50,000374;0;0;0;1;0;0;1;1;0;8
12;344,000000;344,074260;344,000000;50,000301;0;0;0;1;0;0;1;1;0;8
13;344,000000;343,995805;344,000000;49,999508;0;0;0;1;0;0;1;1;0;8
14;344,000000;344,068572;344,000000;49,998968;0;0;0;1;0;0;1;1;0;8
