# YHDA_VERSION=0.7.0
# TEST_SERVICE=SFK
# PLANT_TYPE=DGKCS
# STEP_ID=MAX_LOAD_DOWN
# STEP_NAME=Maksimum kapasite bölgesi — yük atma testi
# TESIS_ADI=YHDA Örnek DGKÇS SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=304.0
# SFK_MAX_MW=384.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
# YDA_VERSION=0.7.0
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;384,000000;384,000449;384,000000;50,000251;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:01,0s;2;384,000000;383,927539;384,000000;49,998151;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:02,0s;3;384,000000;384,076116;384,000000;50,000449;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:03,0s;4;384,000000;383,972267;384,000000;50,000087;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:04,0s;5;384,000000;384,031079;384,000000;50,000854;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:05,0s;6;384,000000;383,982442;384,000000;49,998990;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:06,0s;7;384,000000;383,885523;384,000000;50,000085;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:07,0s;8;384,000000;384,044992;384,000000;50,001694;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:08,0s;9;384,000000;384,033899;384,000000;49,999272;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:09,0s;10;384,000000;384,027157;384,000000;50,001164;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:10,0s;11;384,000000;383,970832;384,000000;49,997953;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:11,0s;12;384,000000;384,001540;384,000000;49,999186;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:12,0s;13;384,000000;384,063792;384,000000;50,001564;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:13,0s;14;384,000000;383,974342;384,000000;49,998326;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:14,0s;15;384,000000;384,052229;384,000000;50,000073;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:15,0s;16;384,000000;384,117922;384,000000;50,000282;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:16,0s;17;384,000000;384,087147;384,000000;49,997018;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:17,0s;18;384,000000;384,059451;384,000000;50,000471;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:18,0s;19;384,000000;384,037696;384,000000;49,997757;1;0;0;1;0;0;1;1;1;8
