# YHDA_VERSION=0.6.2
# TEST_SERVICE=SFK
# PLANT_TYPE=DGKCS
# STEP_ID=MAX_LOAD_UP
# STEP_NAME=Maksimum kapasite bölgesi — yük alma testi
# TESIS_ADI=YHDA Örnek DGKÇS SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=304.0
# SFK_MAX_MW=384.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;360,000000;360,066959;360,000000;49,997656;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:01,0s;2;360,000000;360,006019;360,000000;49,998917;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:02,0s;3;360,000000;359,927397;360,000000;49,999778;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:03,0s;4;360,000000;359,990170;360,000000;49,999308;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:04,0s;5;360,000000;360,067149;360,000000;50,001545;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:05,0s;6;360,000000;359,968227;360,000000;49,999530;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:06,0s;7;360,000000;359,954161;360,000000;50,000607;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:07,0s;8;360,000000;360,006819;360,000000;49,997940;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:08,0s;9;360,000000;359,992324;360,000000;50,000911;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:09,0s;10;360,000000;359,995349;360,000000;49,998981;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:10,0s;11;360,000000;360,103907;360,000000;49,997465;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:11,0s;12;360,000000;359,883862;360,000000;49,998759;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:12,0s;13;360,000000;360,139675;360,000000;49,999063;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:13,0s;14;360,000000;359,936061;360,000000;49,999915;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:14,0s;15;360,000000;360,000724;360,000000;50,001583;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:15,0s;16;360,000000;359,974464;360,000000;49,997577;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:16,0s;17;360,000000;359,939288;360,000000;50,001614;1;1;0;1;0;0;1;1;1;8
