# YHDA_VERSION=0.6.1
# TEST_SERVICE=SFK
# PLANT_TYPE=DGKCS
# STEP_ID=MIN_LOAD_DOWN
# STEP_NAME=Minimum kapasite bölgesi — yük atma testi
# TESIS_ADI=YHDA Örnek DGKÇS SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=304.0
# SFK_MAX_MW=384.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
time_s;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
0;328,000000;327,907001;328,000000;49,999017;1;1;0;1;0;0;1;1;1;8
1;328,000000;328,012239;328,000000;49,997137;1;1;0;1;0;0;1;1;1;8
2;328,000000;328,031920;328,000000;50,002528;1;1;0;1;0;0;1;1;1;8
3;328,000000;328,049939;328,000000;50,002797;1;1;0;1;0;0;1;1;1;8
4;328,000000;328,017413;328,000000;49,999843;1;1;0;1;0;0;1;1;1;8
5;328,000000;327,825025;328,000000;50,003010;1;1;0;1;0;0;1;1;1;8
6;328,000000;327,974844;328,000000;50,000543;1;1;0;1;0;0;1;1;1;8
7;328,000000;328,034624;328,000000;50,000857;1;1;0;1;0;0;1;1;1;8
8;328,000000;327,930217;328,000000;49,998934;1;1;0;1;0;0;1;1;1;8
9;328,000000;328,112001;328,000000;49,999206;1;1;0;1;0;0;1;1;1;8
10;328,000000;328,063924;328,000000;50,001502;1;1;0;1;0;0;1;1;1;8
11;328,000000;328,017891;328,000000;49,999245;1;1;0;1;0;0;1;1;1;8
12;328,000000;328,076973;328,000000;50,000530;1;1;0;1;0;0;1;1;1;8
13;328,000000;328,001208;328,000000;49,997932;1;1;0;1;0;0;1;1;1;8
14;328,000000;328,050738;328,000000;49,999065;1;1;0;1;0;0;1;1;1;8
15;328,000000;327,939654;328,000000;50,000614;1;1;0;1;0;0;1;1;1;8
16;328,000000;328,050038;328,000000;49,999811;1;1;0;1;0;0;1;1;1;8
17;328,000000;327,994031;328,000000;50,003356;1;1;0;1;0;0;1;1;1;8
18;328,000000;328,103292;328,000000;49,998379;1;1;0;1;0;0;1;1;1;8
19;328,000000;327,902781;328,000000;49,998497;1;1;0;1;0;0;1;1;1;8
20;328,000000;328,033815;328,000000;49,997260;1;1;0;1;0;0;1;1;1;8
21;328,000000;327,970700;328,000000;50,000874;1;1;0;1;0;0;1;1;1;8
22;328,000000;327,933354;328,000000;50,000723;1;1;0;1;0;0;1;1;1;8
23;328,000000;327,972947;328,000000;50,001083;1;1;0;1;0;0;1;1;1;8
24;328,000000;327,915817;328,000000;49,997169;1;1;0;1;0;0;1;1;1;8
25;328,000000;328,011896;328,000000;49,999027;1;1;0;1;0;0;1;1;1;8
26;328,000000;327,898744;328,000000;50,000783;1;1;0;1;0;0;1;1;1;8
27;328,000000;328,073132;328,000000;49,998593;1;1;0;1;0;0;1;1;1;8
