# YHDA_VERSION=0.7.0
# TEST_SERVICE=SFK
# PLANT_TYPE=DGKCS
# STEP_ID=MIN_LOAD_UP
# STEP_NAME=Minimum kapasite bölgesi — yük alma testi
# TESIS_ADI=YHDA Örnek DGKÇS SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=304.0
# SFK_MAX_MW=384.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
# YDA_VERSION=0.7.0
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;304,000000;304,030853;304,000000;49,998718;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:01,0s;2;304,000000;303,890825;304,000000;49,998186;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:02,0s;3;304,000000;303,982015;304,000000;49,999148;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:03,0s;4;304,000000;303,930819;304,000000;49,996674;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:04,0s;5;304,000000;304,040816;304,000000;50,000128;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:05,0s;6;304,000000;303,928237;304,000000;50,001657;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:06,0s;7;304,000000;304,044527;304,000000;50,003174;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:07,0s;8;304,000000;303,994894;304,000000;50,000125;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:08,0s;9;304,000000;304,034491;304,000000;50,000316;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:09,0s;10;304,000000;303,959981;304,000000;50,002352;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:10,0s;11;304,000000;304,184600;304,000000;50,004090;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:11,0s;12;304,000000;303,930947;304,000000;50,000973;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:12,0s;13;304,000000;303,989283;304,000000;50,005074;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:13,0s;14;304,000000;303,995437;304,000000;49,999581;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:14,0s;15;304,000000;303,914555;304,000000;50,000937;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:15,0s;16;304,000000;303,943798;304,000000;49,999221;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:16,0s;17;304,000000;303,964524;304,000000;50,003785;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:17,0s;18;304,000000;304,051029;304,000000;49,998879;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:18,0s;19;304,000000;303,982106;304,000000;49,997246;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:19,0s;20;304,000000;303,892205;304,000000;49,998849;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:20,0s;21;304,000000;303,915552;304,000000;50,001449;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:21,0s;22;304,000000;304,062481;304,000000;49,998446;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:22,0s;23;304,000000;303,930367;304,000000;50,002796;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:23,0s;24;304,000000;304,024915;304,000000;49,999566;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:24,0s;25;304,000000;304,031993;304,000000;50,000099;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:25,0s;26;304,000000;303,973278;304,000000;50,000354;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:26,0s;27;304,000000;304,002632;304,000000;50,002223;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:27,0s;28;304,000000;303,969387;304,000000;50,002957;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:28,0s;29;304,000000;304,058680;304,000000;49,997509;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:29,0s;30;304,000000;303,943426;304,000000;49,997656;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:30,0s;31;328,000000;304,041947;304,000000;50,018530;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:31,0s;32;328,000000;304,051749;304,000000;50,017214;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:32,0s;33;328,000000;304,030758;304,000000;50,014911;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:33,0s;34;328,000000;303,952357;304,000000;50,017094;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:34,0s;35;328,000000;303,993657;328,000000;50,015637;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:35,0s;36;328,000000;303,972020;328,000000;50,016065;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:36,0s;37;328,000000;303,937372;328,000000;50,019509;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:37,0s;38;328,000000;303,921652;328,000000;50,014024;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:38,0s;39;328,000000;304,364549;328,000000;50,017883;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:39,0s;40;328,000000;304,682065;328,000000;50,015650;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:40,0s;41;328,000000;305,007727;328,000000;50,015117;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:41,0s;42;328,000000;305,429630;328,000000;50,014414;0;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:42,0s;43;328,000000;305,679179;328,000000;50,016078;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:43,0s;44;328,000000;305,964417;328,000000;50,013755;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:44,0s;45;328,000000;306,216674;328,000000;50,015850;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:45,0s;46;328,000000;306,665657;328,000000;50,017073;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:46,0s;47;328,000000;307,036294;328,000000;50,016218;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:47,0s;48;328,000000;307,305882;328,000000;50,015108;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:48,0s;49;328,000000;307,645304;328,000000;50,011694;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:49,0s;50;328,000000;307,975664;328,000000;50,015134;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:50,0s;51;328,000000;308,322363;328,000000;50,014158;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:51,0s;52;328,000000;308,565752;328,000000;50,013862;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:52,0s;53;328,000000;308,992615;328,000000;50,014996;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:53,0s;54;328,000000;309,357945;328,000000;50,011648;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:54,0s;55;328,000000;309,649884;328,000000;50,011954;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:55,0s;56;328,000000;310,012601;328,000000;50,010753;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:56,0s;57;328,000000;310,301001;328,000000;50,011921;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:57,0s;58;328,000000;310,694830;328,000000;50,014017;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:58,0s;59;328,000000;311,006408;328,000000;50,013555;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:00:59,0s;60;328,000000;311,260449;328,000000;50,011905;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:00,0s;61;328,000000;311,664516;328,000000;50,010019;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:01,0s;62;328,000000;312,095045;328,000000;50,012825;1;1;0;1;0;0;1;1;1;8
16.8.2026 09:01:02,0s;63;328,000000;312,411572;328,000000;50,009043;1;1;0;1;0;0;1;1;1;8
