# YHDA_VERSION=0.6.1
# TEST_SERVICE=SFK
# PLANT_TYPE=DGKCS
# STEP_ID=PFK_ON_LOAD_DOWN
# STEP_NAME=PFK devrede — yük atma testi
# TESIS_ADI=YHDA Örnek DGKÇS SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=304.0
# SFK_MAX_MW=384.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
time_s;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
0;364,000000;363,941759;364,000000;49,999882;1;1;0;1;0;0;1;1;0;8
1;364,000000;364,051219;364,000000;50,002495;1;1;0;1;0;0;1;1;0;8
2;364,000000;363,998144;364,000000;50,001463;1;1;0;1;0;0;1;1;0;8
3;364,000000;363,880717;364,000000;50,001112;1;1;0;1;0;0;1;1;0;8
4;364,000000;364,011171;364,000000;50,003215;1;1;0;1;0;0;1;1;0;8
5;364,000000;364,098528;364,000000;49,999648;1;1;0;1;0;0;1;1;0;8
6;364,000000;364,030419;364,000000;49,998930;1;1;0;1;0;0;1;1;0;8
7;364,000000;363,968037;364,000000;50,000031;1;1;0;1;0;0;1;1;0;8
8;364,000000;363,958010;364,000000;49,998325;1;1;0;1;0;0;1;1;0;8
9;364,000000;364,029688;364,000000;49,999870;1;1;0;1;0;0;1;1;0;8
10;364,000000;364,056809;364,000000;49,999058;1;1;0;1;0;0;1;1;0;8
11;364,000000;363,893307;364,000000;50,001860;1;1;0;1;0;0;1;1;0;8
12;364,000000;363,989751;364,000000;50,000585;1;1;0;1;0;0;1;1;0;8
13;364,000000;363,975490;364,000000;50,001253;1;1;0;1;0;0;1;1;0;8
14;364,000000;363,955408;364,000000;50,000350;1;1;0;1;0;0;1;1;0;8
