# YHDA_VERSION=0.6.5
# TEST_SERVICE=SFK
# PLANT_TYPE=DGKCS
# STEP_ID=PFK_ON_LOAD_UP
# STEP_NAME=PFK devrede — yük alma testi
# TESIS_ADI=YHDA Örnek DGKÇS SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=800.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=304.0
# SFK_MAX_MW=384.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;324,000000;324,091165;324,000000;49,998072;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:01,0s;2;324,000000;324,042245;324,000000;50,002166;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:02,0s;3;324,000000;323,996228;324,000000;49,998401;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:03,0s;4;324,000000;323,959130;324,000000;50,000485;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:04,0s;5;324,000000;324,019840;324,000000;50,001370;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:05,0s;6;324,000000;323,825430;324,000000;49,997701;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:06,0s;7;324,000000;324,075209;324,000000;50,000168;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:07,0s;8;324,000000;324,005862;324,000000;49,999088;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:08,0s;9;324,000000;323,956469;324,000000;49,996252;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:09,0s;10;324,000000;323,968307;324,000000;49,999416;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:10,0s;11;324,000000;323,950820;324,000000;49,999005;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:11,0s;12;324,000000;324,013516;324,000000;49,999484;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:12,0s;13;324,000000;323,977341;324,000000;49,999195;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:13,0s;14;324,000000;324,028793;324,000000;49,999738;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:14,0s;15;324,000000;324,035397;324,000000;49,997409;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:15,0s;16;324,000000;324,113504;324,000000;50,001293;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:16,0s;17;324,000000;323,891411;324,000000;49,998469;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:17,0s;18;324,000000;324,041664;324,000000;49,999027;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:18,0s;19;324,000000;324,036415;324,000000;50,000403;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:19,0s;20;324,000000;324,011857;324,000000;50,001579;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:20,0s;21;324,000000;324,069463;324,000000;50,001363;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:21,0s;22;324,000000;324,041673;324,000000;50,001087;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:22,0s;23;324,000000;324,011092;324,000000;50,002834;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:23,0s;24;324,000000;323,908749;324,000000;49,998920;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:24,0s;25;324,000000;324,074217;324,000000;49,999532;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:25,0s;26;324,000000;324,013958;324,000000;50,000140;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:26,0s;27;324,000000;323,970264;324,000000;50,001026;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:27,0s;28;324,000000;324,111348;324,000000;50,000435;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:28,0s;29;324,000000;323,986016;324,000000;50,000531;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:29,0s;30;324,000000;324,101764;324,000000;50,002479;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:30,0s;31;348,000000;324,113391;324,000000;50,019257;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:31,0s;32;348,000000;323,925279;324,000000;50,014465;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:32,0s;33;348,000000;324,001691;324,000000;50,019250;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:33,0s;34;348,000000;324,053301;324,000000;50,017823;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:34,0s;35;348,000000;324,004199;348,000000;50,017727;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:35,0s;36;348,000000;324,020699;348,000000;50,017059;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:36,0s;37;348,000000;324,044003;348,000000;50,015133;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:37,0s;38;348,000000;323,990751;348,000000;50,017515;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:38,0s;39;348,000000;324,254867;348,000000;50,016641;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:39,0s;40;348,000000;324,603691;348,000000;50,013052;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:40,0s;41;348,000000;325,053947;348,000000;50,016138;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:41,0s;42;348,000000;325,212017;348,000000;50,014972;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:42,0s;43;348,000000;325,607597;348,000000;50,016792;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:43,0s;44;348,000000;326,095045;348,000000;50,016060;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:44,0s;45;348,000000;326,248512;348,000000;50,016321;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:45,0s;46;348,000000;326,581702;348,000000;50,015307;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:46,0s;47;348,000000;327,048526;348,000000;50,014934;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:47,0s;48;348,000000;327,222786;348,000000;50,013253;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:48,0s;49;348,000000;327,644704;348,000000;50,013655;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:49,0s;50;348,000000;328,051928;348,000000;50,014744;1;1;0;1;0;0;1;1;0;8
16.8.2026 09:00:50,0s;51;348,000000;328,284718;348,000000;50,016841;1;1;0;1;0;0;1;1;0;8
