# YHDA_VERSION=0.6.3
# TEST_SERVICE=SFK
# PLANT_TYPE=EDUEDT
# STEP_ID=AGC_LOWER
# STEP_NAME=AGC — negatif rezerv etkinleştirme
# TESIS_ADI=YHDA Örnek EDT SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.3
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=-40
# SFK_MAX_MW=40
# SFK_RESERVE_MW=40
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct;soc_pct;stored_energy_mwh;available_up_mw;available_down_mw
16.8.2026 09:00:00,0s;1;0;0,091985;0;49,997576;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:01,0s;2;0;0,001767;0;50,000508;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:02,0s;3;0;0,018764;0;50,000375;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:03,0s;4;0;-0,031140;0;49,999196;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:04,0s;5;0;0,058359;0;49,996130;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:05,0s;6;0;0,053959;0;50,005400;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:06,0s;7;0;0,065621;0;49,998963;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:07,0s;8;0;-0,006647;0;49,998905;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:08,0s;9;0;0,041593;0;50,002016;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:09,0s;10;0;0,003461;0;50,002419;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:10,0s;11;0;0,033861;0;49,996437;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:11,0s;12;0;0,112928;0;50,000809;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:12,0s;13;0;0,052509;0;50,000860;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16.8.2026 09:00:13,0s;14;0;-0,088360;0;50,001834;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
