# YHDA_VERSION=0.6.1
# TEST_SERVICE=SFK
# PLANT_TYPE=EDUEDT
# STEP_ID=AGC_RAISE
# STEP_NAME=AGC — pozitif rezerv etkinleştirme
# TESIS_ADI=YHDA Örnek EDT SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=-40
# SFK_MAX_MW=40
# SFK_RESERVE_MW=40
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
time_s;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct;soc_pct;stored_energy_mwh;available_up_mw;available_down_mw
0;0;-0,080511;0;50,003164;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
1;0;0,043910;0;49,999705;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
2;0;-0,113208;0;50,002489;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
3;0;-0,034664;0;50,000212;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
4;0;0,018813;0;49,998864;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
5;0;-0,015038;0;49,998237;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
6;0;-0,054545;0;49,999029;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
7;0;0,064714;0;49,999123;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
8;0;0,043728;0;50,000091;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
9;0;-0,031795;0;50,002283;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
10;0;-0,059882;0;50,000831;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
11;0;0,020159;0;50,001059;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
12;0;0,013937;0;49,999883;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
13;0;-0,086793;0;50,000277;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
14;0;-0,109953;0;50,000287;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
15;0;-0,064274;0;50,002046;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
16;0;-0,042072;0;49,999105;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
17;0;0,022081;0;49,998626;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
18;0;-0,137128;0;50,001235;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
19;0;-0,065231;0;49,999889;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
20;0;-0,002658;0;50,001375;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
21;0;-0,020723;0;50,000358;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
22;0;-0,018456;0;49,999854;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
23;0;-0,087250;0;49,998720;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
24;0;0,082990;0;49,997546;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
25;0;0,057915;0;49,999906;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
26;0;-0,034613;0;49,999481;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
27;0;-0,144125;0;50,002679;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
28;0;-0,040060;0;49,999634;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
29;0;-0,002375;0;49,999282;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
30;30;-0,060045;0;50,020210;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
31;30;0,002972;0;50,019369;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
32;30;0,086116;0;50,020212;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
33;30;-0,004183;0;50,021961;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
34;30;-0,063136;30;50,022875;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
35;30;0,101869;30;50,021662;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
36;30;0,059626;30;50,021278;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
37;30;-0,092426;30;50,024310;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
38;30;1,868200;30;50,019371;1;1;0;1;0;0;1;1;1;8;64,999722;129,999444;45;45
39;30;3,994546;30;50,016392;1;1;0;1;0;0;1;1;1;8;64,999167;129,998333;45;45
40;30;5,927827;30;50,014605;1;1;0;1;0;0;1;1;1;8;64,998333;129,996667;45;45
41;30;7,955982;30;50,016421;1;1;0;1;0;0;1;1;1;8;64,997222;129,994444;45;45
42;30;10,053876;30;50,016024;1;1;0;1;0;0;1;1;1;8;64,995833;129,991667;45;45
43;30;11,932456;30;50,014752;1;1;0;1;0;0;1;1;1;8;64,994167;129,988333;45;45
44;30;14,078017;30;50,014854;1;1;0;1;0;0;1;1;1;8;64,992222;129,984444;45;45
45;30;15,986843;30;50,010185;1;1;0;1;0;0;1;1;1;8;64,990000;129,980000;45;45
46;30;17,967075;30;50,007896;1;1;0;1;0;0;1;1;1;8;64,987500;129,975000;45;45
47;30;20,055592;30;50,004343;1;1;0;1;0;0;1;1;1;8;64,984722;129,969444;45;45
48;30;22,056331;30;50,004537;1;1;0;1;0;0;1;1;1;8;64,981667;129,963333;45;45
49;30;24,104712;30;50,000975;1;1;0;1;0;0;1;1;1;8;64,978333;129,956667;45;45
50;30;26,016816;30;50,004530;1;1;0;1;0;0;1;1;1;8;64,974722;129,949444;45;45
51;30;28,112063;30;49,999536;1;1;0;1;0;0;1;1;1;8;64,970833;129,941667;45;45
52;30;30,008364;30;50,001485;1;1;0;1;0;0;1;1;1;8;64,966667;129,933333;45;45
53;30;29,996294;30;50,000053;1;1;0;1;0;0;1;1;1;8;64,962500;129,925000;45;45
54;30;29,947951;30;49,999116;1;1;0;1;0;0;1;1;1;8;64,958333;129,916667;45;45
55;30;29,962307;30;50,001210;1;1;0;1;0;0;1;1;1;8;64,954167;129,908333;45;45
56;30;30,071865;30;50,000100;1;1;0;1;0;0;1;1;1;8;64,950000;129,900000;45;45
57;30;30,003293;30;49,999385;1;1;0;1;0;0;1;1;1;8;64,945833;129,891667;45;45
58;30;30,000784;30;50,001753;1;1;0;1;0;0;1;1;1;8;64,941667;129,883333;45;45
59;30;29,943402;30;49,998174;1;1;0;1;0;0;1;1;1;8;64,937500;129,875000;45;45
60;30;29,844829;30;49,998804;1;1;0;1;0;0;1;1;1;8;64,933333;129,866667;45;45
61;30;29,910295;30;50,001646;1;1;0;1;0;0;1;1;1;8;64,929167;129,858333;45;45
62;30;29,994706;30;49,997074;1;1;0;1;0;0;1;1;1;8;64,925000;129,850000;45;45
63;30;30,070458;30;49,996250;1;1;0;1;0;0;1;1;1;8;64,920833;129,841667;45;45
64;30;29,983514;30;50,002380;1;1;0;1;0;0;1;1;1;8;64,916667;129,833333;45;45
65;30;29,972105;30;49,999021;1;1;0;1;0;0;1;1;1;8;64,912500;129,825000;45;45
66;30;30,026669;30;49,996657;1;1;0;1;0;0;1;1;1;8;64,908333;129,816667;45;45
67;30;30,010485;30;49,997813;1;1;0;1;0;0;1;1;1;8;64,904167;129,808333;45;45
68;30;29,986566;30;49,998871;1;1;0;1;0;0;1;1;1;8;64,900000;129,800000;45;45
69;30;30,035252;30;49,998653;1;1;0;1;0;0;1;1;1;8;64,895833;129,791667;45;45
