# YHDA_VERSION=0.6.1
# TEST_SERVICE=SFK
# PLANT_TYPE=EDUEDT
# STEP_ID=ENERGY_RESERVE
# STEP_NAME=Rezerv enerji / SoC yeterlilik kaydı
# TESIS_ADI=YHDA Örnek EDT SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=-40
# SFK_MAX_MW=40
# SFK_RESERVE_MW=40
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
time_s;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct;soc_pct;stored_energy_mwh;available_up_mw;available_down_mw
0;0;-0,090912;0;50,000585;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
1;0;0,031717;0;49,999257;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
2;0;-0,063339;0;49,998242;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
3;0;0,000857;0;49,999365;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
4;0;0,121438;0;49,999230;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
5;0;-0,055321;0;49,999006;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
6;0;-0,031570;0;49,998799;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
7;0;-0,019370;0;49,999011;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
8;0;0,053006;0;50,001908;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
9;0;0,026951;0;49,996974;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
10;0;0,072587;0;50,000766;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
11;0;0,012458;0;49,999616;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
12;0;-0,044351;0;49,996944;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
13;0;0,047664;0;50,000382;1;1;0;1;0;0;1;1;1;8;65,000000;130,000000;45;45
