# YHDA_VERSION=0.6.3
# TEST_SERVICE=SFK
# PLANT_TYPE=EDUEDT
# STEP_ID=LFC_SIGNAL_CHECK
# STEP_NAME=AGC/LFC arayüz ve durum sinyalleri
# TESIS_ADI=YHDA Örnek EDT SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.3
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=-40
# SFK_MAX_MW=40
# SFK_RESERVE_MW=40
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct;soc_pct;stored_energy_mwh;available_up_mw;available_down_mw
16.8.2026 09:00:00,0s;1;0,000000;-0,027366;0,000000;50,000448;0;0;0;1;0;0;1;1;0;8;65;130;45;45
16.8.2026 09:00:01,0s;2;0,000000;-0,116894;0,000000;50,001035;0;0;0;1;0;0;1;1;0;8;65;130;45;45
16.8.2026 09:00:02,0s;3;0,000000;0,042651;0,000000;49,998204;0;0;0;1;0;0;1;1;0;8;65;130;45;45
16.8.2026 09:00:03,0s;4;0,000000;-0,028528;0,000000;49,999062;0;0;0;1;0;0;1;1;0;8;65;130;45;45
16.8.2026 09:00:04,0s;5;0,000000;0,021101;0,000000;50,000134;0;0;0;1;0;0;1;1;0;8;65;130;45;45
16.8.2026 09:00:05,0s;6;0,000000;-0,002870;0,000000;50,002568;0;0;0;1;0;0;1;1;0;8;65;130;45;45
16.8.2026 09:00:06,0s;7;0,000000;0,059404;0,000000;49,998903;0;0;0;1;0;0;1;1;0;8;65;130;45;45
16.8.2026 09:00:07,0s;8;0,000000;0,053360;0,000000;50,002221;0;0;0;1;0;0;1;1;0;8;65;130;45;45
16.8.2026 09:00:08,0s;9;0,000000;0,027681;0,000000;49,997878;0;0;0;1;0;0;1;1;0;8;65;130;45;45
16.8.2026 09:00:09,0s;10;0,000000;-0,040947;0,000000;49,998388;0;0;0;1;0;0;1;1;0;8;65;130;45;45
