# YHDA_VERSION=0.6.4
# TEST_SERVICE=SFK
# PLANT_TYPE=HES
# STEP_ID=LFC_SIGNAL_CHECK
# STEP_NAME=LFC/AGC sinyal, alarm ve durum bilgileri kontrolü
# TESIS_ADI=YHDA Örnek HES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.4
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;215,000000;214,972881;215,000000;49,999690;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:01,0s;2;215,000000;215,023298;215,000000;49,998004;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:02,0s;3;215,000000;215,010157;215,000000;50,001912;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:03,0s;4;215,000000;215,094438;215,000000;49,999688;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:04,0s;5;215,000000;214,998618;215,000000;49,999036;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:05,0s;6;215,000000;214,928105;215,000000;49,999660;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:06,0s;7;215,000000;215,046650;215,000000;50,000386;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:07,0s;8;215,000000;214,995156;215,000000;50,002674;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:08,0s;9;215,000000;214,952414;215,000000;49,999537;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:09,0s;10;215,000000;214,978660;215,000000;50,000934;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:10,0s;11;215,000000;215,004043;215,000000;49,999331;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:11,0s;12;215,000000;214,995533;215,000000;49,998805;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:12,0s;13;215,000000;215,021889;215,000000;49,999356;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:13,0s;14;215,000000;215,000784;215,000000;49,998756;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:14,0s;15;215,000000;215,001016;215,000000;49,997729;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:15,0s;16;215,000000;214,990912;215,000000;49,998307;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:16,0s;17;215,000000;214,927901;215,000000;50,002497;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:17,0s;18;215,000000;214,988920;215,000000;49,998368;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:18,0s;19;215,000000;215,031554;215,000000;49,998453;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:19,0s;20;215,000000;215,031315;215,000000;50,000524;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:20,0s;21;215,000000;214,969721;215,000000;49,999299;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:21,0s;22;215,000000;214,971023;215,000000;49,997763;0;0;0;1;0;0;1;1;0;8
16.8.2026 09:00:22,0s;23;215,000000;214,987787;215,000000;50,001658;0;0;0;1;0;0;1;1;0;8
