# YHDA_VERSION=0.6.2
# TEST_SERVICE=SFK
# PLANT_TYPE=HES
# STEP_ID=MAX_LOAD_DOWN
# STEP_NAME=Maksimum kapasite bölgesi — yük atma testi
# TESIS_ADI=YHDA Örnek HES SFK
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=500.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# SFK_MIN_MW=190.0
# SFK_MAX_MW=240.0
# SFK_RESERVE_MW=24
# AGC_INTERFACE=MYTM OÜK/AGC
# SETPOINT_ROUNDTRIP_S=4
ZAMAN;SIRA_NO;agc_setpoint_mw;active_power_mw;setpoint_feedback_mw;grid_frequency_hz;lmin;lmax;lloc;lrem;lman;lmic;lpwr;genstat;pfco;governor_droop_pct
16.8.2026 09:00:00,0s;1;240,000000;240,085023;240,000000;49,999062;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:01,0s;2;240,000000;239,922668;240,000000;49,998931;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:02,0s;3;240,000000;239,911635;240,000000;49,998710;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:03,0s;4;240,000000;240,027534;240,000000;49,996593;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:04,0s;5;240,000000;239,960515;240,000000;49,998526;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:05,0s;6;240,000000;240,067305;240,000000;50,002630;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:06,0s;7;240,000000;239,916069;240,000000;50,004215;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:07,0s;8;240,000000;240,115976;240,000000;49,997737;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:08,0s;9;240,000000;240,089192;240,000000;49,998998;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:09,0s;10;240,000000;240,093527;240,000000;49,998004;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:10,0s;11;240,000000;240,059675;240,000000;50,001823;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:11,0s;12;240,000000;239,956387;240,000000;49,999567;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:12,0s;13;240,000000;239,899095;240,000000;50,000354;1;0;0;1;0;0;1;1;1;8
16.8.2026 09:00:13,0s;14;240,000000;240,027630;240,000000;50,002110;1;0;0;1;0;0;1;1;1;8
